 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -1.1718 -0.9805 -0.8141 -0.6724 -0.5550 -0.4591 -0.3801 -0.3139 -0.2557 -0.2022
 -0.1551 -0.1118 -0.0690 -0.0265  0.0140  0.0970  0.1521  0.1852  0.2010  0.2023
  0.1920  0.1723  0.1454  0.1141  0.0803  0.0448  0.0074 -0.0324 -0.0751 -0.1217
 -0.1729
 -1.1789 -0.9809 -0.8046 -0.6503 -0.5182 -0.4078 -0.3170 -0.2420 -0.1786 -0.1227
 -0.0743 -0.0354 -0.0061  0.0176  0.0409  0.1046  0.1566  0.1877  0.2020  0.2026
  0.1915  0.1708  0.1426  0.1094  0.0739  0.0373 -0.0003 -0.0390 -0.0794 -0.1224
 -0.1693
 -1.1994 -0.9979 -0.8159 -0.6541 -0.5125 -0.3916 -0.2906 -0.2073 -0.1387 -0.0811
 -0.0317  0.0104  0.0451  0.0716  0.0907  0.1254  0.1640  0.1930  0.2060  0.2060
  0.1944  0.1731  0.1437  0.1086  0.0707  0.0321 -0.0068 -0.0460 -0.0857 -0.1270
 -0.1700
 -1.2189 -1.0165 -0.8337 -0.6672 -0.5202 -0.3923 -0.2840 -0.1938 -0.1196 -0.0584
 -0.0074  0.0356  0.0720  0.1023  0.1266  0.1623  0.1822  0.2020  0.2132  0.2123
  0.2005  0.1787  0.1485  0.1118  0.0715  0.0300 -0.0114 -0.0523 -0.0929 -0.1338
 -0.1750
 -1.2374 -1.0349 -0.8483 -0.6813 -0.5307 -0.3987 -0.2855 -0.1904 -0.1118 -0.0471
  0.0065  0.0511  0.0886  0.1202  0.1486  0.2153  0.2112  0.2147  0.2236
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  i   
 -2.3821 -2.3102 -2.2369 -2.1492 -1.9979 -1.7775 -1.4950 -1.1566 -0.7970 -0.5261
 -0.3433 -0.2167 -0.1232 -0.0499  0.0100  0.1237  0.2038  0.2573  0.2855
 -2.1197 -2.0311 -1.9506 -1.8658 -1.7601 -1.6113 -1.3875 -1.0676 -0.7554 -0.5074
 -0.3326 -0.2096 -0.1184 -0.0470  0.0108  0.1183  0.1923  0.2406  0.2661  0.2718
 -1.9020 -1.7938 -1.7017 -1.6160 -1.5240 -1.4083 -1.2410 -0.9925 -0.7275 -0.5013
