 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F475W
 -2.1316 -1.9627 -1.8091 -1.6653 -1.5310 -1.2372 -1.0025 -0.8143 -0.6578 -0.5246
 -0.4116 -0.3158 -0.2340 -0.1633 -0.1015 -0.0471  0.0016  0.0444  0.0805  0.1080
  0.1210
 -4.7138 -4.2405 -3.8329 -3.4899 -3.2112 -2.9932 -2.8211 -2.6807 -2.5460 -2.3739
 -2.1772 -1.9974 -1.8399 -1.6949 -1.5583 -1.2562 -1.0109 -0.8156 -0.6570 -0.5252
 -0.4151 -0.3234 -0.2464 -0.1807 -0.1240 -0.0744 -0.0308  0.0074  0.0410  0.0697
  0.0893
 -4.8605 -4.3629 -3.9304 -3.5568 -3.2416 -2.9832 -2.7745 -2.6003 -2.4483 -2.3119
 -2.1786 -2.0307 -1.8742 -1.7283 -1.5906 -1.2817 -1.0259 -0.8216 -0.6583 -0.5259
 -0.4174 -0.3286 -0.2557 -0.1950 -0.1435 -0.0992 -0.0606 -0.0267  0.0032  0.0286
  0.0491
 -5.0130 -4.5074 -4.0589 -3.6622 -3.3182 -3.0274 -2.7870 -2.5886 -2.4195 -2.2681
 -2.1294 -2.0014 -1.8780 -1.7531 -1.6260 -1.3178 -1.0523 -0.8376 -0.6671 -0.5312
 -0.4221 -0.3344 -0.2642 -0.2075 -0.1610 -0.1221 -0.0889 -0.0600 -0.0346 -0.0125
  0.0057
 -5.1571 -4.6549 -4.2009 -3.7907 -3.4258 -3.1086 -2.8392 -2.6141 -2.4259 -2.2635
 -2.1175 -1.9826 -1.8574 -1.7410 -1.6303 -1.3533 -1.0862 -0.8610 -0.6815 -0.5398
 -0.4280 -0.3397 -0.2706 -0.2166 -0.1742 -0.1404 -0.1128 -0.0895 -0.0692 -0.0517
 -0.0354
 -5.2927 -4.8054 -4.3378 -3.9280 -3.5527 -3.2175 -2.9240 -2.6731 -2.4614 -2.2820
 -2.1265 -1.9869 -1.8578 -1.7375 -1.6035 -1.3882 -1.1276 -0.8918 -0.7015
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = F475W
 -4.9371 -4.4683 -4.0787 -3.7606 -3.4586 -3.1917 -2.9553 -2.7389 -2.5357 -2.3599
 -2.1940 -2.0397 -1.8977 -1.7680 -1.6495 -1.3942 -1.1717 -0.9724 -0.7935
 -5.0151 -4.5340 -4.1021 -3.7350 -3.4223 -3.1399 -2.8950 -2.6752 -2.4703 -2.2919
 -2.1248 -1.9697 -1.8270 -1.6965 -1.5773 -1.3240 -1.1146 -0.9269 -0.7503 -0.5830
 -4.7747 -4.6067 -4.1648 -3.7747 -3.4312 -3.1299 -2.8703 -2.6448 -2.4387 -2.2570
