 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -8.7154 -7.8732 -7.3270 -7.0299 -6.9102 -6.8038 -6.5692 -6.1837 -5.7248 -5.3469
 -5.0392 -4.7604 -4.4983 -4.2504 -4.0150 -3.4723 -2.9759 -2.5137 -2.0853 -1.6892
 -1.3368 -1.0575 -0.8467 -0.6785
 -8.9863 -7.9905 -7.2643 -6.7794 -6.4766 -6.3003 -6.1947 -6.0436 -5.7601 -5.3802
 -5.0309 -4.7386 -4.4675 -4.2111 -3.9676 -3.4107 -2.9111 -2.4574 -2.0460 -1.6712
 -1.3366 -1.0649 -0.8607 -0.7027 -0.5725 -0.4614 -0.3632 -0.2733 -0.1905 -0.1224
 -9.4202 -8.3138 -7.4283 -6.7835 -6.3364 -6.0315 -5.8152 -5.6561 -5.5236 -5.3448
 -5.0697 -4.7648 -4.4867 -4.2231 -3.9717 -3.3965 -2.8877 -2.4359 -2.0342 -1.6738
 -1.3529 -1.0866 -0.8851 -0.7328 -0.6111 -0.5090 -0.4211 -0.3440 -0.2751 -0.2135
 -0.1620
 -9.9256 -8.7800 -7.7790 -6.9836 -6.3960 -5.9740 -5.6694 -5.4339 -5.2383 -5.0726
 -4.9207 -4.7376 -4.5115 -4.2667 -4.0156 -3.4226 -2.8989 -2.4429 -2.0453 -1.6930
 -1.3819 -1.1198 -0.9182 -0.7680 -0.6519 -0.5572 -0.4776 -0.4089 -0.3495 -0.2989
 -0.2567
-10.4408 -9.2806 -8.2434 -7.3368 -6.6182 -6.0743 -5.6712 -5.3676 -5.1241 -4.9130
 -4.7245 -4.5566 -4.3934 -4.2239 -4.0343 -3.4759 -2.9354 -2.4696 -2.0708 -1.7221
 -1.4163 -1.1573 -0.9546 -0.8044 -0.6919 -0.6034 -0.5311 -0.4703 -0.4186 -0.3748
 -0.3393
-10.9076 -9.8461 -8.7801 -7.8063 -6.9830 -6.3242 -5.8142 -5.4240 -5.1211 -4.8733
 -4.6562 -4.4582 -4.2753 -4.1052 -3.9451 -3.5169 -3.0045 -2.5255 -2.1198 -1.7694
 -1.4638 -1.2043 -0.9982 -0.8448 -0.7328 -0.6483 -0.5821 -0.5283 -0.4837 -0.4467
 -0.4164
-11.2660-10.3343 -9.3239 -8.3307 -7.4397 -6.6867 -6.0772 -5.5952 -5.2161 -4.9137
 -4.6631 -4.4429 -4.2403 -4.0493 -3.8708 -3.4704 -3.0577 -2.6001 -2.1843 -1.8275
 -1.5183 -1.2552 -1.0438 -0.8847 -0.7702 -0.6877 -0.6264 -0.5789 -0.5411 -0.5109
 -0.4856
-11.5173-10.7231 -9.8136 -8.8622 -7.9455 -7.1292 -6.4356 -5.8667 -5.4070 -5.0377
 -4.7367 -4.4837 -4.2608 -4.0549 -3.8597 -3.4235 -3.0461 -2.6627 -2.2615
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F390M
-10.8789-10.1835 -9.4571 -8.6468 -7.8585 -7.2300 -6.8149 -6.4985 -6.2421 -6.0221
 -5.8064 -5.5959 -5.3912 -5.1913 -4.9943 -4.5041 -4.0013 -3.4651 -2.8827
 -9.8448 -9.5780 -9.0878 -8.4969 -7.7637 -7.0753 -6.5846 -6.2303 -5.9470 -5.7066
 -5.4780 -5.2585 -5.0468 -4.8414 -4.6404 -4.1494 -3.6589 -3.1544 -2.6334 -2.1158
 -9.0812 -8.8917 -8.5906 -8.2261 -7.7187 -7.0553 -6.4781 -6.0569 -5.7398 -5.4756
 -5.2350 -5.0069 -4.7888 -4.5789 -4.3753 -3.8847 -3.4058 -2.9277 -2.4515 -1.9892
 -1.5649
 -8.6408 -8.1194 -7.9705 -7.7932 -7.5118 -7.0758 -6.5014 -5.9952 -5.6222 -5.3271
 -5.0732 -4.8357 -4.6102 -4.3949 -4.1875 -3.6949 -3.2239 -2.7652 -2.3218 -1.8999
 -1.5103 -1.1836
 -8.6696 -7.8527 -7.3812 -7.1997 -7.1037 -6.8953 -6.5380 -6.0497 -5.6013 -5.2605
 -4.9844 -4.7365 -4.5028 -4.2807 -4.0678 -3.5685 -3.1002 -2.6541 -2.2336 -1.8409
 -1.4791 -1.1687 -0.9278 -0.7397
 -8.9651 -7.9439 -7.2354 -6.7972 -6.5674 -6.4660 -6.3384 -6.0720 -5.6796 -5.2772
 -4.9608 -4.6985 -4.4563 -4.2268 -4.0074 -3.4966 -3.0257 -2.5862 -2.1803 -1.8079
 -1.4677 -1.1707 -0.9364 -0.7576 -0.6139 -0.4933 -0.3878 -0.2912 -0.2030 -0.1300
 -9.4584 -8.2836 -7.3767 -6.7436 -6.3280 -6.0677 -5.9094 -5.7976 -5.6342 -5.3536
 -5.0076 -4.7119 -4.4593 -4.2227 -3.9969 -3.4717 -2.9931 -2.5548 -2.1575 -1.7983
 -1.4734 -1.1876 -0.9573 -0.7826 -0.6470 -0.5358 -0.4412 -0.3588 -0.2855 -0.2197
 -0.1637
-10.0343 -8.8047 -7.7437 -6.9295 -6.3494 -5.9486 -5.6734 -5.4739 -5.3214 -5.1870
 -5.0154 -4.7650 -4.5006 -4.2575 -4.0260 -3.4865 -2.9965 -2.5545 -2.1604 -1.8087
 -1.4935 -1.2164 -0.9885 -0.8151 -0.6838 -0.5796 -0.4937 -0.4206 -0.3578 -0.3040
 -0.2579
-10.5740 -9.3798 -8.2575 -7.3030 -6.5633 -6.0222 -5.6353 -5.3537 -5.1348 -4.9527
 -4.7965 -4.6516 -4.4824 -4.2864 -4.0741 -3.5292 -3.0259 -2.5753 -2.1804 -1.8317
 -1.5217 -1.2500 -1.0243 -0.8507 -0.7215 -0.6226 -0.5438 -0.4782 -0.4232 -0.3775
 -0.3400
-11.0501 -9.9396 -8.8328 -7.8153 -6.9526 -6.2732 -5.7619 -5.3828 -5.0971 -4.8686
