 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  B   
 -0.7735 -0.6365 -0.5162 -0.4113
 -5.1199 -4.8827 -4.6837 -4.5083 -4.3462 -4.1885 -4.0264 -3.8428 -3.6083 -3.3402
 -3.0776 -2.8411 -2.6326 -2.4446 -2.2690 -1.8721 -1.5501 -1.2976 -1.0928 -0.9204
 -0.7727 -0.6442 -0.5317 -0.4332 -0.3459 -0.2676 -0.1964 -0.1278 -0.0682 -0.0296
 -5.1713 -4.8421 -4.5656 -4.3366 -4.1422 -3.9678 -3.8016 -3.6364 -3.4509 -3.2338
 -3.0075 -2.7937 -2.5994 -2.4220 -2.2549 -1.8659 -1.5398 -1.2858 -1.0841 -0.9170
 -0.7755 -0.6540 -0.5488 -0.4570 -0.3763 -0.3042 -0.2393 -0.1798 -0.1233 -0.0750
 -0.0458
 -5.3016 -4.9094 -4.5628 -4.2642 -4.0108 -3.7942 -3.6046 -3.4355 -3.2789 -3.1124
 -2.9314 -2.7465 -2.5687 -2.4027 -2.2455 -1.8705 -1.5405 -1.2822 -1.0809 -0.9173
 -0.7803 -0.6643 -0.5655 -0.4803 -0.4062 -0.3404 -0.2813 -0.2279 -0.1787 -0.1335
 -0.0958
 -5.5047 -5.0531 -4.6506 -4.2958 -3.9878 -3.7240 -3.4976 -3.3007 -3.1273 -2.9694
 -2.8191 -2.6744 -2.5309 -2.3845 -2.2373 -1.8797 -1.5489 -1.2839 -1.0802 -0.9181
 -0.7845 -0.6728 -0.5793 -0.5002 -0.4326 -0.3734 -0.3208 -0.2732 -0.2301 -0.1909
 -0.1554
 -5.8229 -5.2968 -4.8321 -4.4224 -4.0646 -3.7552 -3.4901 -3.2633 -3.0680 -2.8971
 -2.7433 -2.6028 -2.4733 -2.3506 -2.2272 -1.8967 -1.5703 -1.2971 -1.0874 -0.9239
 -0.7917 -0.6827 -0.5928 -0.5186 -0.4567 -0.4039 -0.3580 -0.3165 -0.2788 -0.2449
 -0.2144
 -6.2417 -5.6465 -5.1109 -4.6398 -4.2276 -3.8709 -3.5648 -3.3035 -3.0805 -2.8892
 -2.7227 -2.5749 -2.4410 -2.3172 -2.2000 -1.9094 -1.5996 -1.3189 -1.1004 -0.9324
 -0.7996 -0.6918 -0.6042 -0.5334 -0.4761 -0.4291 -0.3896 -0.3549 -0.3237 -0.2953
 -0.2728
 -6.6764 -6.0498 -5.4692 -4.9425 -4.4735 -4.0664 -3.7153 -3.4151 -3.1593 -2.9407
 -2.7526 -2.5888 -2.4435 -2.3120 -2.1557 -1.9178 -1.6368 -1.3493 -1.1192
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  B   
 -7.1044 -7.0381 -7.0159 -6.9680 -6.8258 -6.5341 -6.0489 -5.3786 -4.6849 -4.0901
 -3.6473 -3.3209 -3.0636 -2.8464 -2.6548 -2.2496 -1.9131 -1.6192 -1.3447
 -6.5460 -6.4733 -6.3902 -6.2938 -6.1623 -5.9612 -5.6324 -5.0877 -4.4666 -3.9164
 -3.4939 -3.1766 -2.9249 -2.7118 -2.5223 -2.1202 -1.7919 -1.5121 -1.2659 -1.0455
 -6.0539 -5.9677 -5.8814 -5.7872 -5.6703 -5.5061 -5.2510 -4.8303 -4.3040 -3.8013
 -3.3947 -3.0817 -2.8324 -2.6216 -2.4339 -2.0335 -1.7090 -1.4385 -1.2060 -1.0021
 -0.8212
 -5.6397 -5.5388 -5.4415 -5.3432 -5.2338 -5.0959 -4.8994 -4.5857 -4.1577 -3.7117
 -3.3255 -3.0174 -2.7698 -2.5608 -2.3748 -1.9755 -1.6524 -1.3881 -1.1650 -0.9724
 -0.8037 -0.6539
 -5.3193 -5.1942 -5.0781 -4.9668 -4.8538 -4.7281 -4.5698 -4.3398 -4.0069 -3.6260
 -3.2695 -2.9709 -2.7264 -2.5197 -2.3360 -1.9382 -1.6142 -1.3535 -1.1375 -0.9531
 -0.7937 -0.6534 -0.5293 -0.4208
 -5.1503 -4.9593 -4.8060 -4.6691 -4.5399 -4.4102 -4.2685 -4.0918 -3.8429 -3.5317
 -3.2149 -2.9329 -2.6949 -2.4918 -2.3115 -1.9168 -1.5905 -1.3307 -1.1196 -0.9417
 -0.7894 -0.6570 -0.5405 -0.4379 -0.3467 -0.2648 -0.1905 -0.1225 -0.0634 -0.0245
 -5.1309 -4.8611 -4.6452 -4.4652 -4.3051 -4.1557 -4.0093 -3.8551 -3.6665 -3.4232
 -3.1535 -2.8962 -2.6692 -2.4722 -2.2964 -1.9083 -1.5792 -1.3175 -1.1090 -0.9361
 -0.7893 -0.6632 -0.5536 -0.4577 -0.3735 -0.2991 -0.2334 -0.1726 -0.1150 -0.0673
 -0.0382
 -5.2294 -4.8803 -4.5805 -4.3316 -4.1256 -3.9493 -3.7897 -3.6367 -3.4814 -3.2962
 -3.0789 -2.8545 -2.6448 -2.4568 -2.2873 -1.9096 -1.5791 -1.3129 -1.1043 -0.9345
 -0.7920 -0.6708 -0.5671 -0.4776 -0.3998 -0.3317 -0.2715 -0.2178 -0.1685 -0.1230
 -0.0858
 -5.3948 -4.9876 -4.6254 -4.3096 -4.0403 -3.8122 -3.6151 -3.4400 -3.2804 -3.1269
 -2.9619 -2.7870 -2.6100 -2.4391 -2.2790 -1.9156 -1.5865 -1.3145 -1.1027 -0.9340
 -0.7946 -0.6774 -0.5786 -0.4948 -0.4232 -0.3615 -0.3075 -0.2594 -0.2163 -0.1778
 -0.1433
 -5.6610 -5.1876 -4.7671 -4.3951 -4.0700 -3.7896 -3.5492 -3.3412 -3.1578 -2.9927
 -2.8379 -2.6885 -2.5458 -2.4077 -2.2701 -1.9296 -1.6067 -1.3284 -1.1102 -0.9394
 -0.8011 -0.6864 -0.5910 -0.5117 -0.4454 -0.3896 -0.3419 -0.3001 -0.2628 -0.2292
 -0.2007
 -6.0525 -5.4992 -5.0076 -4.5744 -4.1946 -3.8642 -3.5789 -3.3338 -3.1226 -2.9383
 -2.7743 -2.6246 -2.4868 -2.3594 -2.2394 -1.9421 -1.6339 -1.3511 -1.1244 -0.9485
 -0.8091 -0.6954 -0.6022 -0.5261 -0.4640 -0.4134 -0.3716 -0.3360 -0.3049 -0.2775
 -0.2579
 -6.5183 -5.9131 -5.3539 -4.8523 -4.4124 -4.0284 -3.6957 -3.4096 -3.1642 -2.9533
 -2.7706 -2.6100 -2.4662 -2.3354 -2.1869 -1.9531 -1.6681 -1.3826 -1.1453
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  B   
 -7.3438 -7.2969 -7.2815 -7.2197 -7.0501 -6.7260 -6.2082 -5.5083 -4.8388 -4.2136
 -3.7229 -3.3664 -3.0957 -2.8744 -2.6831 -2.2813 -1.9480 -1.6560 -1.3824
 -6.7884 -6.7317 -6.6683 -6.5838 -6.4567 -6.2506 -5.8956 -5.3014 -4.6544 -4.0573
 -3.5857 -3.2372 -2.9708 -2.7530 -2.5638 -2.1645 -1.8361 -1.5542 -1.3056 -1.0835
