 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  K   
  2.6789  2.6636  2.6372  2.5975  2.5470  2.3907  2.2224  2.0593  1.9030  1.7532
  1.6091  1.4702  1.3363  1.2071  1.0823  0.9614  0.8439  0.7296  0.6183  0.5100
  0.4048
  2.9389  2.8995  2.8570  2.8136  2.7711  2.7317  2.6976  2.6695  2.6458  2.6236
  2.6017  2.5808  2.5616  2.5402  2.5101  2.3842  2.2202  2.0573  1.9008  1.7510
  1.6070  1.4683  1.3345  1.2053  1.0808  0.9605  0.8439  0.7307  0.6207  0.5136
  0.4093
  2.9033  2.8777  2.8457  2.8085  2.7684  2.7274  2.6875  2.6504  2.6170  2.5867
  2.5579  2.5291  2.5001  2.4720  2.4453  2.3591  2.2193  2.0583  1.9021  1.7524
  1.6086  1.4702  1.3365  1.2073  1.0827  0.9626  0.8465  0.7342  0.6252  0.5192
  0.4161
  2.8274  2.8230  2.8080  2.7845  2.7535  2.7178  2.6795  2.6407  2.6026  2.5663
  2.5319  2.4984  2.4647  2.4304  2.3958  2.3109  2.2030  2.0583  1.9035  1.7541
  1.6107  1.4726  1.3393  1.2102  1.0854  0.9650  0.8488  0.7366  0.6282  0.5229
  0.4207
  2.7102  2.7277  2.7339  2.7287  2.7137  2.6900  2.6600  2.6261  2.5899  2.5528
  2.5158  2.4790  2.4422  2.4050  2.3616  2.2396  2.1713  2.0573  1.9050
 [Fe/H] = -0.50 [alpha/Fe] = 0.20 BC value =  K   
  3.3123  3.3197  3.3210  3.3134  3.2945  3.2604  3.2095  3.1451  3.0706  2.9932
  2.9135  2.8383  2.7649  2.6932  2.6231  2.4510
  3.2288  3.2416  3.2503  3.2515  3.2420  3.2187  3.1787  3.1214  3.0522  2.9775
  2.9013  2.8255  2.7510  2.6780  2.6066  2.4332  2.2646  2.0987  1.9359
  3.1502  3.1640  3.1766  3.1842  3.1830  3.1697  3.1407  3.0939  3.0329  2.9633
  2.8896  2.8147  2.7401  2.6665  2.5943  2.4196  2.2515  2.0879  1.9283  1.7733
  1.6220
  3.0765  3.0869  3.0999  3.1115  3.1174  3.1134  3.0955  3.0602  3.0095  2.9474
  2.8784  2.8059  2.7322  2.6587  2.5862  2.4102  2.2418  2.0793  1.9217  1.7691
  1.6204  1.4755  1.3344
  3.0131  3.0157  3.0249  3.0366  3.0465  3.0500  3.0423  3.0188  2.9793  2.9267
  2.8647  2.7968  2.7256  2.6532  2.5808  2.4042  2.2351  2.0729  1.9165  1.7654
  1.6186  1.4759  1.3373  1.2024  1.0708
  2.9665  2.9550  2.9557  2.9638  2.9740  2.9814  2.9815  2.9690  2.9409  2.8990
  2.8460  2.7848  2.7182  2.6483  2.5770  2.4005  2.2309  2.0685  1.9126  1.7625
  1.6171  1.4761  1.3393  1.2065  1.0772  0.9510
  2.9547  2.9175  2.8980  2.8952  2.9022  2.9113  2.9159  2.9116  2.8941  2.8630
  2.8201  2.7675  2.7075  2.6422  2.5735  2.3984  2.2285  2.0659  1.9101  1.7604
