 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  H   
  2.5687  2.6032  2.6524  2.6940  2.7215  2.7348  2.7344  2.7210  2.6950  2.6589
  2.6152  2.5657  2.5119  2.4551  2.3965  2.2460  2.0945  1.9457  1.8003  1.6583
  1.5197  1.3844  1.2523  1.1233  0.9973  0.8742
  2.5366  2.5227  2.5281  2.5536  2.5940  2.6377  2.6659  2.6712  2.6581  2.6312
  2.5947  2.5511  2.5022  2.4490  2.3924  2.2435  2.0920  1.9431  1.7981  1.6569
  1.5195  1.3854  1.2547  1.1272  1.0029  0.8815  0.7629  0.6472  0.5348  0.4283
  2.5417  2.5148  2.4942  2.4849  2.4886  2.5016  2.5194  2.5405  2.5604  2.5683
  2.5569  2.5275  2.4864  2.4385  2.3858  2.2407  2.0899  1.9410  1.7962  1.6558
  1.5194  1.3865  1.2571  1.1308  1.0077  0.8877  0.7706  0.6563  0.5448  0.4365
  0.3335
  2.5547  2.5247  2.4963  2.4717  2.4537  2.4433  2.4390  2.4366  2.4340  2.4338
  2.4397  2.4455  2.4384  2.4128  2.3719  2.2368  2.0877  1.9391  1.7946  1.6549
  1.5194  1.3876  1.2593  1.1342  1.0123  0.8934  0.7774  0.6643  0.5540  0.4464
  0.3402
  2.5667  2.5382  2.5084  2.4788  2.4509  2.4264  2.4061  2.3895  2.3743  2.3587
  2.3438  2.3328  2.3293  2.3280  2.3173  2.2262  2.0831  1.9353  1.7911  1.6517
  1.5170  1.3863  1.2589  1.1347  1.0138  0.8959  0.7808  0.6687  0.5593  0.4526
  0.3485
  2.5666  2.5439  2.5179  2.4889  2.4586  2.4283  2.3992  2.3722  2.3473  2.3235
  2.3002  2.2770  2.2557  2.2391  2.2285  2.1861  2.0768  1.9329  1.7895  1.6508
  1.5170  1.3875  1.2616  1.1386  1.0186  0.9017  0.7877  0.6767  0.5684  0.4626
  0.3594
  2.5434  2.5307  2.5125  2.4894  2.4624  2.4324  2.4011  2.3697  2.3387  2.3086
  2.2792  2.2501  2.2214  2.1936  2.1685  2.1206  2.0479  1.9276  1.7872  1.6492
  1.5161  1.3876  1.2632  1.1420  1.0235  0.9076  0.7945  0.6843  0.5770  0.4722
  0.3700
  2.4904  2.4907  2.4838  2.4702  2.4510  2.4267  2.3985  2.3679  2.3360  2.3035
  2.2706  2.2376  2.2045  2.1715  2.1373  2.0297  1.9964  1.9194  1.7842
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  H   
  2.9743  2.9808  2.9777  2.9650  2.9423  2.9087  2.8645  2.8109  2.7550  2.6904
  2.6307  2.5722  2.5154  2.4590  2.4039  2.2643
  2.9239  2.9407  2.9473  2.9431  2.9274  2.9001  2.8610  2.8110  2.7537  2.6934
  2.6326  2.5727  2.5142  2.4566  2.3996  2.2565  2.1121  1.9655  1.8160
  2.8661  2.8906  2.9057  2.9100  2.9024  2.8826  2.8503  2.8058  2.7526  2.6944
  2.6341  2.5737  2.5141  2.4554  2.3970  2.2509  2.1049  1.9589  1.8120  1.6655
  1.5212
  2.8009  2.8305  2.8529  2.8657  2.8672  2.8563  2.8324  2.7953  2.7478  2.6934
  2.6352  2.5752  2.5151  2.4554  2.3961  2.2475  2.0994  1.9532  1.8079  1.6638
  1.5221  1.3830  1.2466
  2.7312  2.7635  2.7913  2.8112  2.8212  2.8195  2.8050  2.7767  2.7366  2.6878
