#Teff  logT  BCv    Mv    logL  B-V   Bt-Vt    U-B     V-Rc   V-Ic    V-Ks    J-H     H-K     Ks-W1  Msun   b-y       M_J    M_K    Mbol 
46000 4.663 -4.05  -5.7   5.80 -0.32  ...     -1.22    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -9.75
43000 4.633 -3.92  -5.5   5.67 -0.32  ...     -1.20    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -9.42
41500 4.618 -3.77  -5.4   5.58 -0.32  ...     -1.19    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -9.20
40000 4.602 -3.65  -5.2   5.46 -0.32  ...     -1.18    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -8.90
39000 4.591 -3.57  -5.1   5.37 -0.32  ...     -1.17    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -8.67
37300 4.573 -3.45  -4.9   5.24 -0.32  ...     -1.16    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -8.35 
36500 4.562 -3.38  -4.8   5.17 -0.32  ...     -1.15    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -8.18 
35000 4.544 -3.26  -4.6   5.05 -0.32  ...     -1.14    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -7.87 
34500 4.538 -3.22  -4.5   4.99 -0.32  ...     -1.13    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -7.72 
33000 4.519 -3.13  -4.3   4.87 -0.32  ...     -1.12    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -7.43
1325  3.122 ...    ...    ...   ...    ...     ...     ...    ...     ...     1.02    0.45    ...    ...    ...      14.21  12.87  ...   
1280  3.107 ...    ...    ...   ...    ...     ...     ...    ...     ...     0.86    0.27    ...    ...    ...      14.12  13.19  ...   
1240  3.093 ...    ...    ...   ...    ...     ...     ...    ...     ...     0.68    0.08    ...    ...    ...      14.14  13.69  ...   
1205  3.081 ...    ...    ...   ...    ...     ...     ...    ...     ...     0.35   -0.19    ...    ...    ...      14.32  14.51  ...   
1185  3.073 ...    ...    ...   ...    ...     ...     ...    ...     ...     0.2    -0.06    ...    ...    ...      14.48  14.66  ...   
1160  3.064 ...    ...    ...   ...    ...     ...     ...    ...     ...     0.2    -0.08    ...    ...    ...      14.68  14.90  ...   
1055  3.023 ...    ...    ...   ...    ...     ...     ...    ...     ...     0.2    -0.10    ...    ...    ...      14.92  15.18  ...   
970   2.987 ...    ...    ...   ...    ...     ...     ...    ...     ...     0.1    -0.03    ...    ...    ...      15.20  15.54  ...   
950   2.978 ...    ...    ...   ...    ...     ...     ...    ...     ...     0.0     0.00    ...    ...    ...      15.91  16.36  ...   
815   2.911 ...    ...    ...   ...    ...     ...     ...    ...     ...     0.2    -0.05    ...    ...    ...      16.36  16.85  ...   
730   2.863 ...    ...    ...   ...    ...     ...     ...    ...     ...     0.2    -0.05    ...    ...    ...      16.89  17.43  ...   
630   2.799 ...    ...    ...   ...    ...     ...     ...    ...     ...     0.2     ...     ...    ...    ...      17.55  ...    ...   
555   2.744 ...    ...    ...   ...    ...     ...     ...    ...     ...     0.1    -0.20    ...    ...    ...      18.40  18.48  ...   
500   2.699 ...    ...    ...   ...    ...     ...     ...    ...     ...     ...     ...     ...    ...    ...      19.52  19.32  ...   
400   2.602 ...    ...    ...   ...    ...     ...     ...    ...     ...     ...     ...     ...    ...    ...      24     ...    ...   
#SpT   Teff  logT  BCv    Mv     logL  B-V   Bt-Vt    U-B     V-Rc   V-Ic    V-Ks    J-H     H-K     Ks-W1  Msun  lgAge  b-y    #SpT   M_J    M_Ks   Mbol  
