 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  U   
 -5.4820 -5.2683 -5.0266 -4.7646 -4.4932 -3.8231 -3.1878 -2.6087 -2.0996 -1.6675
 -5.7598 -5.7320 -5.7162 -5.7020 -5.6811 -5.6470 -5.5934 -5.5144 -5.4048 -5.2634
 -5.0908 -4.8879 -4.6563 -4.4035 -4.1416 -3.5018 -2.9070 -2.3723 -1.9097 -1.5217
 -1.2113
 -5.5384 -5.4383 -5.3752 -5.3342 -5.3008 -5.2633 -5.2131 -5.1434 -5.0488 -4.9253
 -4.7711 -4.5859 -4.3707 -4.1321 -3.8815 -3.2678 -2.7050 -2.2014 -1.7681 -1.4082
 -1.1198 -0.9034
 -5.5602 -5.3651 -5.2254 -5.1190 -5.0386 -4.9777 -4.9203 -4.8521 -4.7658 -4.6563
 -4.5196 -4.3535 -4.1575 -3.9351 -3.6966 -3.1026 -2.5622 -2.0810 -1.6658 -1.3226
 -1.0481 -0.8408 -0.6920 -0.5835
 -5.7821 -5.4765 -5.2304 -5.0412 -4.9030 -4.8041 -4.7255 -4.6506 -4.5632 -4.4582
 -4.3321 -4.1818 -4.0042 -3.7993 -3.5734 -2.9946 -2.4671 -2.0011 -1.5973 -1.2624
 -0.9948 -0.7911 -0.6452 -0.5425 -0.4673 -0.4082 -0.3589 -0.3150 -0.2730 -0.2310
 -6.1133 -5.7235 -5.3935 -5.1184 -4.8949 -4.7175 -4.5816 -4.4829 -4.4049 -4.3187
 -4.2057 -4.0650 -3.9003 -3.7119 -3.5003 -2.9352 -2.4130 -1.9559 -1.5589 -1.2261
 -0.9592 -0.7540 -0.6060 -0.5038 -0.4327 -0.3806 -0.3399 -0.3063 -0.2767 -0.2480
 -0.2175
 -6.5694 -6.0791 -5.6639 -5.3122 -5.0164 -4.7701 -4.5677 -4.4032 -4.2700 -4.1596
 -4.0606 -3.9549 -3.8217 -3.6557 -3.4632 -2.9170 -2.3954 -1.9412 -1.5470 -1.2125
 -0.9410 -0.7298 -0.5751 -0.4685 -0.3971 -0.3483 -0.3135 -0.2870 -0.2658 -0.2474
 -0.2300
 -7.2087 -6.5834 -6.0572 -5.6140 -5.2403 -4.9247 -4.6584 -4.4346 -4.2461 -4.0846
 -3.9420 -3.8126 -3.6910 -3.5647 -3.4154 -2.9287 -2.4066 -1.9500 -1.5552 -1.2167
 -0.9370 -0.7162 -0.5514 -0.4363 -0.3606 -0.3118 -0.2802 -0.2589 -0.2438 -0.2327
 -0.2237
 -8.0558 -7.2925 -6.6276 -6.0657 -5.5919 -5.1921 -4.8535 -4.5653 -4.3189 -4.1066
 -3.9202 -3.7524 -3.5980 -3.4546 -3.3184 -2.9373 -2.4524 -1.9901 -1.5914 -1.2470
 -0.9565 -0.7222 -0.5428 -0.4141 -0.3284 -0.2746 -0.2422 -0.2233 -0.2125 -0.2068
 -0.2039
 -9.0051 -8.1401 -7.3636 -6.6750 -6.0865 -5.5841 -5.1570 -4.7929 -4.4809 -4.2119
 -3.9773 -3.7696 -3.5820 -3.4098 -3.2502 -2.8905 -2.4977 -2.0516 -1.6462 -1.2948
 -0.9937 -0.7448 -0.5489 -0.4033 -0.3030 -0.2392 -0.2018 -0.1816 -0.1724 -0.1702
 -0.1721
 -9.9309 -9.0107 -8.1613 -7.3912 -6.7014 -6.0994 -5.5764 -5.1252 -4.7365 -4.4020
 -4.1120 -3.8582 -3.6330 -3.4302 -3.2108 -2.7883 -2.5425 -2.1345 -1.7196
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  U   
 -6.7254 -6.7409 -6.7464 -6.7359 -6.7058 -6.6476 -6.5529 -6.4195 -6.2629 -6.0971
 -5.9261 -5.7432 -5.5383 -5.3081 -5.0551 -4.3812 -3.7070 -3.0715 -2.4977
 -6.1915 -6.2024 -6.2071 -6.2000 -6.1761 -6.1307 -6.0582 -5.9523 -5.8175 -5.6628
 -5.4935 -5.3074 -5.0985 -4.8660 -4.6154 -3.9644 -3.3279 -2.7437 -2.2349 -1.7964
 -5.7458 -5.7418 -5.7394 -5.7314 -5.7116 -5.6753 -5.6177 -5.5331 -5.4200 -5.2817
 -5.1223 -4.9428 -4.7408 -4.5161 -4.2746 -3.6535 -3.0547 -2.5099 -2.0398 -1.6436
 -1.3182
 -5.4390 -5.3946 -5.3685 -5.3489 -5.3262 -5.2934 -5.2450 -5.1753 -5.0808 -4.9602
 -4.8154 -4.6480 -4.4577 -4.2451 -4.0153 -3.4223 -2.8559 -2.3405 -1.8954 -1.5246
 -1.2224 -0.9860
 -5.3763 -5.2398 -5.1428 -5.0785 -5.0334 -4.9932 -4.9460 -4.8844 -4.8028 -4.6981
 -4.5689 -4.4159 -4.2394 -4.0403 -3.8226 -3.2528 -2.7109 -2.2189 -1.7908 -1.4350
 -1.1470 -0.9211 -0.7533 -0.6289
 -5.5300 -5.2828 -5.0995 -4.9686 -4.8701 -4.7919 -4.7285 -4.6643 -4.5877 -4.4933
 -4.3776 -4.2388 -4.0766 -3.8914 -3.6860 -3.1355 -2.6093 -2.1350 -1.7193 -1.3712
 -1.0902 -0.8694 -0.7045 -0.5861 -0.4995 -0.4330 -0.3779 -0.3292 -0.2825 -0.2360
 -5.8373 -5.4945 -5.2097 -4.9810 -4.8034 -4.6705 -4.5747 -4.5036 -4.4331 -4.3458
 -4.2381 -4.1102 -3.9608 -3.7894 -3.5964 -3.0640 -2.5468 -2.0836 -1.6768 -1.3317
 -1.0513 -0.8303 -0.6641 -0.5453 -0.4623 -0.4023 -0.3560 -0.3181 -0.2846 -0.2522
 -0.2179
 -6.2476 -5.8137 -5.4453 -5.1347 -4.8777 -4.6686 -4.5018 -4.3730 -4.2770 -4.1979
 -4.1155 -4.0118 -3.8801 -3.7234 -3.5449 -3.0328 -2.5206 -2.0624 -1.6603 -1.3149
 -1.0303 -0.8043 -0.6326 -0.5093 -0.4249 -0.3675 -0.3272 -0.2964 -0.2717 -0.2506
 -0.2300
 -6.8100 -6.2572 -5.7898 -5.3946 -5.0613 -4.7823 -4.5512 -4.3615 -4.2070 -4.0794
 -3.9693 -3.8686 -3.7668 -3.6483 -3.5020 -3.0305 -2.5224 -2.0647 -1.6636 -1.3155
 -1.0236 -0.7891 -0.6088 -0.4775 -0.3879 -0.3295 -0.2919 -0.2665 -0.2482 -0.2343
 -0.2229
 -7.6092 -6.9017 -6.2998 -5.7933 -5.3676 -5.0101 -4.7096 -4.4573 -4.2457 -4.0667
 -3.9117 -3.7729 -3.6451 -3.5255 -3.4068 -3.0400 -2.5576 -2.0984 -1.6956 -1.3430
 -1.0414 -0.7943 -0.6009 -0.4571 -0.3572 -0.2926 -0.2531 -0.2296 -0.2156 -0.2072
 -0.2021
 -8.5967 -7.7523 -7.0082 -6.3647 -5.8211 -5.3635 -4.9785 -4.6537 -4.3782 -4.1433
