 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  I   
 -0.2701 -0.0759  0.0815  0.2058  0.3011  0.3726  0.4250  0.4624  0.4874  0.5012
  0.5051  0.5049  0.5087  0.5203  0.5383  0.5908  0.6311  0.6531  0.6589  0.6501
  0.6293  0.5994  0.5629  0.5226  0.4800  0.4356  0.3889  0.3401  0.2884  0.2333
  0.1745
 -0.2690 -0.0727  0.0876  0.2158  0.3158  0.3923  0.4499  0.4925  0.5234  0.5451
  0.5595  0.5671  0.5688  0.5678  0.5695  0.5984  0.6345  0.6546  0.6594  0.6505
  0.6296  0.5992  0.5617  0.5198  0.4759  0.4309  0.3845  0.3368  0.2873  0.2353
  0.1801
 -0.2644 -0.0734  0.0877  0.2172  0.3195  0.3984  0.4588  0.5049  0.5399  0.5662
  0.5856  0.6000  0.6102  0.6163  0.6185  0.6214  0.6410  0.6588  0.6626  0.6537
  0.6331  0.6025  0.5642  0.5206  0.4748  0.4283  0.3813  0.3337  0.2853  0.2354
  0.1835
 -0.2525 -0.0668  0.0894  0.2195  0.3219  0.4019  0.4636  0.5114  0.5489  0.5783
  0.6013  0.6192  0.6332  0.6441  0.6522  0.6590  0.6596  0.6666  0.6688  0.6595
  0.6392  0.6088  0.5700  0.5251  0.4771  0.4282  0.3794  0.3308  0.2822  0.2332
  0.1831
 -0.2373 -0.0585  0.0950  0.2226  0.3263  0.4068  0.4695  0.5183  0.5568  0.5878
  0.6131  0.6334  0.6497  0.6626  0.6706  0.7112  0.6903  0.6780  0.6780
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  I   
 -1.4603 -1.3333 -1.2130 -1.0841 -0.9259 -0.7189 -0.4469 -0.1324  0.1015  0.2433
  0.3301  0.3922  0.4433  0.4882  0.5288  0.6120  0.6735  0.7152  0.7346
 -1.2065 -1.0657 -0.9429 -0.8244 -0.6945 -0.5331 -0.3172 -0.0722  0.1258  0.2550
  0.3367  0.3954  0.4439  0.4869  0.5255  0.6042  0.6615  0.6990  0.7146  0.7095
 -1.0117 -0.8536 -0.7224 -0.6074 -0.4956 -0.3701 -0.2092 -0.0202  0.1460  0.2643
  0.3428  0.3989  0.4451  0.4862  0.5234  0.5988  0.6525  0.6864  0.6996  0.6940
  0.6733
 -0.8624 -0.6895 -0.5470 -0.4283 -0.3242 -0.2227 -0.1058  0.0361  0.1715  0.2767
  0.3507  0.4043  0.4478  0.4867  0.5224  0.5949  0.6454  0.6766  0.6881  0.6821
  0.6625  0.6327
 -0.6951 -0.5409 -0.4030 -0.2835 -0.1808 -0.0900 -0.0015  0.1008  0.2065  0.2959
  0.3631  0.4128  0.4532  0.4892  0.5228  0.5924  0.6402  0.6691  0.6793  0.6730
  0.6540  0.6253  0.5898  0.5495
 -0.4910 -0.3295 -0.2102 -0.1201 -0.0428  0.0308  0.1017  0.1744  0.2525  0.3242
  0.3819  0.4262  0.4623  0.4946  0.5253  0.5914  0.6368  0.6635  0.6728  0.6662
  0.6475  0.6196  0.5848  0.5454  0.5023  0.4553  0.4040  0.3478  0.2891  0.2322
 -0.4078 -0.2177 -0.0683  0.0452  0.1299  0.1919  0.2370  0.2753  0.3176  0.3643
  0.4084  0.4455  0.4765  0.5042  0.5311  0.5923  0.6353  0.6600  0.6684  0.6617
  0.6431  0.6154  0.5809  0.5418  0.4994  0.4539  0.4052  0.3528  0.2963  0.2372
  0.1796
 -0.3829 -0.1786 -0.0130  0.1179  0.2189  0.2958  0.3537  0.3966  0.4273  0.4480
  0.4632  0.4788  0.4978  0.5192  0.5412  0.5953  0.6360  0.6588  0.6661  0.6594
  0.6407  0.6131  0.5785  0.5390  0.4965  0.4516  0.4040  0.3542  0.3013  0.2447
  0.1852
 -0.3817 -0.1696  0.0054  0.1461  0.2568  0.3423  0.4075  0.4568  0.4939  0.5208
  0.5381  0.5467  0.5499  0.5537  0.5624  0.6022  0.6395  0.6604  0.6664  0.6593
  0.6405  0.6124  0.5773  0.5369  0.4935  0.4482  0.4011  0.3523  0.3015  0.2482
  0.1916
 -0.3938 -0.1773  0.0038  0.1511  0.2684  0.3597  0.4299  0.4835  0.5240  0.5544
  0.5768  0.5925  0.6025  0.6073  0.6089  0.6183  0.6453  0.6644  0.6692  0.6618
  0.6431  0.6147  0.5791  0.5379  0.4933  0.4468  0.3992  0.3507  0.3010  0.2498
  0.1964
 -0.4038 -0.1879 -0.0046  0.1475  0.2691  0.3647  0.4385  0.4953  0.5388  0.5721
  0.5975  0.6167  0.6312  0.6419  0.6491  0.6543  0.6589  0.6713  0.6747  0.6668
  0.6481  0.6198  0.5838  0.5417  0.4957  0.4476  0.3986  0.3492  0.2995  0.2490
  0.1975
 -0.4099 -0.1978 -0.0142  0.1394  0.2655  0.3645  0.4416  0.5010  0.5468  0.5826
  0.6106  0.6325  0.6495  0.6628  0.6830  0.7102  0.6803  0.6811  0.6829
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  I   
 -1.7031 -1.6029 -1.5068 -1.3948 -1.2366 -0.9811 -0.6270 -0.2257  0.0679  0.2450
  0.3459  0.4112  0.4614  0.5047  0.5428  0.6219  0.6802  0.7203  0.7420
 -1.4503 -1.3318 -1.2274 -1.1199 -0.9852 -0.7936 -0.5129 -0.1843  0.0812  0.2503
  0.3495  0.4134  0.4618  0.5031  0.5400  0.6154  0.6705  0.7076  0.7252  0.7230
 -1.2457 -1.1042 -0.9863 -0.8785 -0.7627 -0.6152 -0.4066 -0.1470  0.0865  0.2499
  0.3506  0.4151  0.4626  0.5025  0.5383  0.6112  0.6636  0.6977  0.7128  0.7092
  0.6903
 -1.0854 -0.9208 -0.7854 -0.6707 -0.5639 -0.4474 -0.2968 -0.1002  0.0967  0.2498
  0.3513  0.4171  0.4643  0.5030  0.5375  0.6081  0.6580  0.6899  0.7032  0.6990
  0.6807  0.6517
 -0.9068 -0.7707 -0.6233 -0.4988 -0.3914 -0.2899 -0.1792 -0.0373  0.1197  0.2557
  0.3542  0.4206  0.4676  0.5050  0.5379  0.6060  0.6537  0.6836  0.6957  0.6911
  0.6733  0.6455  0.6098  0.5686
 -0.7136 -0.5765 -0.4584 -0.3478 -0.2446 -0.1494 -0.0588  0.0419  0.1594  0.2724
  0.3625  0.4270  0.4732  0.5092  0.5403  0.6052  0.6508  0.6786  0.6899  0.6853
  0.6678  0.6407  0.6061  0.5661  0.5218  0.4736  0.4204  0.3620  0.3021  0.2440
 -0.5503 -0.3727 -0.2383 -0.1386 -0.0624  0.0030  0.0676  0.1368  0.2173  0.3032
