 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -0.0474 -0.0188 -0.0008  0.0082  0.0101  0.0074  0.0017 -0.0053 -0.0131 -0.0215
 -0.0332
 -2.0365 -1.8925 -1.7501 -1.6088 -1.4687 -1.3340 -1.2063 -1.0888 -0.9828 -0.8878
 -0.8020 -0.7236 -0.6514 -0.5852 -0.4994 -0.3888 -0.3193 -0.2240 -0.1466
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =F350LP
 -3.1092 -3.1027 -3.1143 -3.1022 -3.0254 -2.8508 -2.5523 -2.1512 -1.7872 -1.4715
 -1.2139 -1.0148 -0.8622 -0.7436 -0.6487 -0.4709 -0.3376 -0.2319 -0.1443
 -2.8851 -2.8688 -2.8455 -2.8124 -2.7510 -2.6352 -2.4287 -2.0976 -1.7551 -1.4505
 -1.1980 -0.9992 -0.8456 -0.7262 -0.6308 -0.4541 -0.3239 -0.2216 -0.1394 -0.0720
 -2.6826 -2.6470 -2.6154 -2.5796 -2.5284 -2.4434 -2.2941 -2.0386 -1.7377 -1.4507
 -1.2032 -1.0027 -0.8451 -0.7220 -0.6241 -0.4456 -0.3162 -0.2158 -0.1365 -0.0725
 -0.0203
 -2.5114 -2.4560 -2.4095 -2.3661 -2.3181 -2.2536 -2.1507 -1.9660 -1.7161 -1.4552
 -1.2171 -1.0165 -0.8548 -0.7267 -0.6248 -0.4424 -0.3127 -0.2131 -0.1356 -0.0739
 -0.0240  0.0166
 -2.3757 -2.2999 -2.2361 -2.1803 -2.1275 -2.0707 -1.9967 -1.8719 -1.6781 -1.4519
 -1.2301 -1.0338 -0.8699 -0.7373 -0.6308 -0.4425 -0.3119 -0.2125 -0.1359 -0.0759
 -0.0279  0.0107  0.0415  0.0662
 -2.2370 -2.1738 -2.0962 -2.0272 -1.9648 -1.9049 -1.8413 -1.7564 -1.6173 -1.4326
 -1.2347 -1.0486 -0.8865 -0.7512 -0.6407 -0.4451 -0.3128 -0.2132 -0.1370 -0.0781
 -0.0317  0.0050  0.0338  0.0562  0.0737  0.0869  0.0957  0.1005  0.1010  0.0960
 -2.1218 -2.0250 -1.9498 -1.8853 -1.8235 -1.7615 -1.6979 -1.6288 -1.5327 -1.3921
 -1.2249 -1.0557 -0.9004 -0.7657 -0.6527 -0.4496 -0.3149 -0.2147 -0.1384 -0.0802
 -0.0352 -0.0002  0.0267  0.0467  0.0616  0.0724  0.0796  0.0835  0.0840  0.0797
  0.0699
 -2.0644 -1.9320 -1.8196 -1.7295 -1.6583 -1.5995 -1.5456 -1.4886 -1.4194 -1.3219
 -1.1931 -1.0492 -0.9074 -0.7779 -0.6650 -0.4557 -0.3177 -0.2166 -0.1401 -0.0820
 -0.0379 -0.0044  0.0205  0.0382  0.0503  0.0584  0.0632  0.0654  0.0648  0.0607
  0.0517
 -2.0501 -1.9022 -1.7665 -1.6468 -1.5458 -1.4626 -1.3921 -1.3290 -1.2648 -1.1906
 -1.0998 -0.9967 -0.8869 -0.7764 -0.6718 -0.4617 -0.3199 -0.2178 -0.1408 -0.0826
 -0.0391 -0.0069  0.0162  0.0316  0.0409  0.0459  0.0477  0.0475  0.0450  0.0397
  0.0313
 -2.0589 -1.9044 -1.7588 -1.6225 -1.4995 -1.3921 -1.3001 -1.2194 -1.1446 -1.0687
 -0.9859 -0.8981 -0.8120 -0.7303 -0.6518 -0.4689 -0.3245 -0.2205 -0.1425 -0.0837
 -0.0402 -0.0087  0.0131  0.0267  0.0337  0.0356  0.0340  0.0303  0.0251  0.0186
  0.0091
 -2.0775 -1.9225 -1.7725 -1.6291 -1.4939 -1.3697 -1.2587 -1.1605 -1.0728 -0.9909
 -0.9097 -0.8269 -0.7453 -0.6694 -0.6013 -0.4573 -0.3289 -0.2233 -0.1441 -0.0844
 -0.0404 -0.0090  0.0119  0.0242  0.0293  0.0286  0.0237  0.0165  0.0078 -0.0020
 -0.0148
 -2.0923 -1.9422 -1.7943 -1.6488 -1.5092 -1.3763 -1.2526 -1.1401 -1.0391 -0.9482
 -0.8639 -0.7837 -0.7064 -0.6330 -0.5203 -0.4269 -0.3331 -0.2262 -0.1456
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =F350LP
 -3.2431 -3.2621 -3.2837 -3.2650 -3.1758 -2.9842 -2.6766 -2.2278 -1.8641 -1.5394
 -1.2641 -1.0477 -0.8816 -0.7529 -0.6513 -0.4666 -0.3330 -0.2279 -0.1409
 -3.0209 -3.0289 -3.0350 -3.0268 -2.9836 -2.8696 -2.6288 -2.2316 -1.8554 -1.5281
 -1.2550 -1.0382 -0.8703 -0.7400 -0.6372 -0.4525 -0.3208 -0.2182 -0.1361 -0.0688
 -2.8137 -2.8043 -2.7979 -2.7853 -2.7516 -2.6719 -2.5062 -2.2089 -1.8592 -1.5402
 -1.2689 -1.0490 -0.8758 -0.7408 -0.6343 -0.4460 -0.3142 -0.2129 -0.1331 -0.0686
 -0.0159
 -2.6312 -2.6005 -2.5774 -2.5554 -2.5246 -2.4685 -2.3594 -2.1499 -1.8582 -1.5598
