 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F098M
  0.4086  0.4051  0.4072  0.4141  0.4231  0.4383  0.4374  0.4230  0.3966  0.3591
  0.3125  0.2602
  0.5611  0.5734  0.5736  0.5618  0.5410  0.5155  0.4902  0.4697  0.4527  0.4368
  0.4229  0.4134  0.4100  0.4125  0.4187  0.4317  0.4293  0.4134  0.3856  0.3473
  0.3005  0.2480  0.1932  0.1386
  0.5885  0.6178  0.6258  0.6159  0.5961  0.5712  0.5421  0.5131  0.4874  0.4642
  0.4438  0.4280  0.4185  0.4157  0.4181  0.4277  0.4241  0.4067  0.3779  0.3388
  0.2917  0.2388  0.1830  0.1267  0.0707  0.0147 -0.0424 -0.1024 -0.1645 -0.2251
  0.5732  0.6120  0.6366  0.6470  0.6434  0.6264  0.5975  0.5611  0.5252  0.4946
  0.4690  0.4481  0.4329  0.4241  0.4218  0.4264  0.4213  0.4027  0.3729  0.3332
  0.2856  0.2322  0.1753  0.1174  0.0598  0.0028 -0.0540 -0.1119 -0.1723 -0.2349
 -0.2964
  0.5585  0.5964  0.6230  0.6397  0.6464  0.6434  0.6309  0.6090  0.5781  0.5418
  0.5056  0.4750  0.4528  0.4383  0.4304  0.4275  0.4210  0.4011  0.3704  0.3303
  0.2821  0.2281  0.1701  0.1102  0.0506 -0.0082 -0.0664 -0.1241 -0.1827 -0.2434
 -0.3068
  0.5513  0.5862  0.6107  0.6266  0.6354  0.6374  0.6323  0.6204  0.6020  0.5782
  0.5508  0.5214  0.4922  0.4671  0.4489  0.4320  0.4231  0.4020  0.3701  0.3294
  0.2807  0.2257  0.1665  0.1047  0.0425 -0.0188 -0.0792 -0.1385 -0.1974 -0.2567
 -0.3179
  0.5524  0.5833  0.6048  0.6183  0.6255  0.6277  0.6254  0.6187  0.6072  0.5916
  0.5730  0.5526  0.5316  0.5098  0.4881  0.4459  0.4278  0.4057  0.3729  0.3317
  0.2828  0.2273  0.1670  0.1036  0.0390 -0.0252 -0.0881 -0.1497 -0.2102 -0.2701
 -0.3303
  0.5697  0.5923  0.6082  0.6182  0.6224  0.6225  0.6195  0.6142  0.6064  0.5960
  0.5831  0.5685  0.5531  0.5374  0.5213  0.4776  0.4395  0.4120  0.3783  0.3365
  0.2875  0.2318  0.1708  0.1061  0.0393 -0.0276 -0.0937 -0.1581 -0.2211 -0.2830
 -0.3440
  0.6094  0.6200  0.6269  0.6299  0.6302  0.6266  0.6211  0.6144  0.6069  0.5986
  0.5892  0.5785  0.5667  0.5542  0.5485  0.5271  0.4582  0.4209  0.3863
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value = F098M
  0.0212  0.0180  0.0234  0.0454  0.0915  0.1710  0.2707  0.3657  0.4167  0.4363
  0.4438  0.4503  0.4592  0.4701  0.4806  0.4987  0.5004  0.4892  0.4691
  0.1788  0.1721  0.1676  0.1724  0.1934  0.2356  0.3007  0.3701  0.4126  0.4290
  0.4336  0.4369  0.4431  0.4519  0.4614  0.4772  0.4774  0.4651  0.4429  0.4101
  0.3135  0.3091  0.2996  0.2924  0.2938  0.3092  0.3421  0.3856  0.4171  0.4298
  0.4317  0.4316  0.4344  0.4406  0.4485  0.4628  0.4619  0.4481  0.4240  0.3896
  0.3452
  0.4182  0.4219  0.4144  0.4019  0.3907  0.3864  0.3936  0.4127  0.4304  0.4375
  0.4363  0.4328  0.4317  0.4346  0.4403  0.4525  0.4508  0.4359  0.4101  0.3745
  0.3299  0.2788
  0.4992  0.5045  0.5050  0.4949  0.4793  0.4634  0.4524  0.4506  0.4533  0.4524
  0.4467  0.4395  0.4344  0.4334  0.4361  0.4454  0.4427  0.4269  0.4000  0.3634
  0.3184  0.2672  0.2125  0.1566
  0.5485  0.5653  0.5684  0.5640  0.5522  0.5341  0.5135  0.4965  0.4849  0.4746
  0.4631  0.4514  0.4420  0.4368  0.4359  0.4410  0.4371  0.4204  0.3927  0.3554
  0.3098  0.2583  0.2030  0.1463  0.0893  0.0323 -0.0267 -0.0889 -0.1523 -0.2144
  0.5589  0.5987  0.6206  0.6252  0.6150  0.5955  0.5716  0.5457  0.5228  0.5034
  0.4854  0.4685  0.4545  0.4448  0.4398  0.4392  0.4339  0.4161  0.3878  0.3499
  0.3039  0.2519  0.1959  0.1379  0.0796  0.0219 -0.0364 -0.0965 -0.1591 -0.2231
 -0.2859
  0.5478  0.5918  0.6231  0.6419  0.6486  0.6442  0.6293  0.6044  0.5727  0.5411
  0.5136  0.4906  0.4719  0.4575  0.4480  0.4403  0.4331  0.4142  0.3849  0.3467
