 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  H   
 [Fe/H] =  0.25 [alpha/Fe] = 0.00 BC value =  H   
  3.0511  3.0416  3.0221  2.9907  2.9482  2.8964  2.8364  2.7695  2.6980  2.6274
  2.5585  2.4919  2.4280  2.3669  2.3086  2.1721  2.0457  1.9222  1.7950
  3.0240  3.0220  3.0099  2.9870  2.9531  2.9076  2.8509  2.7848  2.7150  2.6447
  2.5756  2.5083  2.4434  2.3810  2.3210  2.1792  2.0474  1.9209  1.7924  1.6583
  2.9862  2.9919  2.9878  2.9733  2.9476  2.9102  2.8606  2.7999  2.7327  2.6635
  2.5944  2.5265  2.4607  2.3971  2.3356  2.1891  2.0516  1.9207  1.7908  1.6579
  1.5233
  2.9410  2.9525  2.9560  2.9499  2.9331  2.9048  2.8641  2.8109  2.7483  2.6811
  2.6127  2.5446  2.4781  2.4135  2.3507  2.2002  2.0575  1.9221  1.7901  1.6576
  1.5241  1.3910
  2.8901  2.9059  2.9153  2.9165  2.9082  2.8891  2.8582  2.8144  2.7586  2.6952
  2.6285  2.5609  2.4941  2.4287  2.3649  2.2114  2.0645  1.9249  1.7905  1.6579
  1.5255  1.3941  1.2645  1.1370
  2.8168  2.8450  2.8632  2.8728  2.8729  2.8625  2.8411  2.8075  2.7607  2.7034
  2.6400  2.5739  2.5074  2.4417  2.3772  2.2217  2.0721  1.9290  1.7921  1.6588
  1.5272  1.3970  1.2690  1.1431  1.0197  0.8988  0.7802  0.6643  0.5533  0.4480
  2.6877  2.7140  2.7508  2.7915  2.8150  2.8201  2.8104  2.7878  2.7519  2.7032
  2.6453  2.5822  2.5171  2.4517  2.3871  2.2303  2.0791  1.9336  1.7945  1.6604
