 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  I   
 -0.6529 -0.4597 -0.3049 -0.1847 -0.0690  0.0275  0.1058  0.1717  0.2330  0.2870
  0.3385  0.3870  0.4321  0.4737  0.5122  0.5971  0.6631  0.7118  0.7456
 -0.6970 -0.4979 -0.3199 -0.1764 -0.0619  0.0377  0.1175  0.1837  0.2453  0.2986
  0.3482  0.3944  0.4372  0.4768  0.5139  0.5953  0.6603  0.7067  0.7321  0.7352
 -0.5591 -0.5323 -0.3440 -0.1879 -0.0602  0.0443  0.1282  0.1956  0.2553  0.3093
  0.3570  0.4008  0.4413  0.4790  0.5142  0.5922  0.6548  0.6989  0.7216  0.7227
  0.7051
 -0.4401 -0.4670 -0.3710 -0.2109 -0.0676  0.0447  0.1352  0.2065  0.2659  0.3197
  0.3659  0.4076  0.4460  0.4815  0.5148  0.5889  0.6494  0.6921  0.7133  0.7135
  0.6964  0.6666
 -0.3544 -0.2590 -0.2728 -0.2185 -0.0850  0.0395  0.1381  0.2151  0.2764  0.3288
  0.3754  0.4155  0.4519  0.4853  0.5166  0.5864  0.6444  0.6860  0.7065  0.7064
  0.6898  0.6611  0.6240  0.5813
 -0.3415 -0.2007 -0.1019 -0.0822 -0.0713  0.0276  0.1336  0.2191  0.2857  0.3391
  0.3853  0.4247  0.4594  0.4910  0.5202  0.5854  0.6404  0.6807  0.7010  0.7010
  0.6849  0.6571  0.6210  0.5793  0.5340  0.4843  0.4293  0.3702  0.3094  0.2500
 -0.3427 -0.1923 -0.0653  0.0311  0.0804  0.0877  0.1324  0.2164  0.2906  0.3487
  0.3953  0.4351  0.4688  0.4987  0.5261  0.5867  0.6380  0.6766  0.6967  0.6971
  0.6815  0.6544  0.6191  0.5780  0.5333  0.4856  0.4341  0.3781  0.3177  0.2562
  0.1961
 -0.3496 -0.1951 -0.0602  0.0529  0.1433  0.2049  0.2351  0.2522  0.2943  0.3544
  0.4054  0.4456  0.4797  0.5086  0.5344  0.5905  0.6378  0.6741  0.6937  0.6946
  0.6796  0.6530  0.6183  0.5775  0.5331  0.4860  0.4355  0.3817  0.3249  0.2652
  0.2030
 -0.3672 -0.2030 -0.0622  0.0574  0.1574  0.2395  0.3022  0.3452  0.3708  0.3904
  0.4195  0.4584  0.4922  0.5210  0.5456  0.5976  0.6410  0.6745  0.6928  0.6937
  0.6791  0.6528  0.6181  0.5774  0.5328  0.4857  0.4361  0.3841  0.3296  0.2721
  0.2111
 -0.3860 -0.2177 -0.0715  0.0548  0.1601  0.2481  0.3214  0.3805  0.4256  0.4583
  0.4807  0.4978  0.5160  0.5376  0.5592  0.6066  0.6462  0.6767  0.6938  0.6948
  0.6808  0.6549  0.6204  0.5797  0.5347  0.4871  0.4375  0.3861  0.3328  0.2772
  0.2195
 -0.4174 -0.2404 -0.0867  0.0460  0.1588  0.2514  0.3284  0.3931  0.4466  0.4895
  0.5230  0.5480  0.5663  0.5798  0.5915  0.6209  0.6542  0.6817  0.6973  0.6980
  0.6846  0.6592  0.6249  0.5841  0.5386  0.4901  0.4396  0.3879  0.3349  0.2805
  0.2248
 -0.4614 -0.2710 -0.1052  0.0297  0.1509  0.2514  0.3330  0.4004  0.4568  0.5043
  0.5435  0.5748  0.5993  0.6180  0.6425  0.6405  0.6650  0.6895  0.7033
 [Fe/H] =  0.50 [alpha/Fe] =-0.40 BC value =  I   
 -0.5825 -0.4129 -0.2729 -0.1596 -0.0439  0.0477  0.1223  0.1877  0.2466  0.3009
  0.3518  0.3994  0.4435  0.4842  0.5217  0.6030  0.6686  0.7165  0.7472
 -0.6567 -0.4508 -0.2834 -0.1507 -0.0393  0.0572  0.1343  0.1988  0.2596  0.3125
  0.3615  0.4069  0.4489  0.4877  0.5237  0.6022  0.6647  0.7103  0.7375  0.7446
 -0.6765 -0.4998 -0.3135 -0.1586 -0.0401  0.0631  0.1451  0.2108  0.2708  0.3235
  0.3703  0.4135  0.4534  0.4901  0.5244  0.5997  0.6603  0.7043  0.7293  0.7346
  0.7210
 -0.4728 -0.5055 -0.3497 -0.1817 -0.0431  0.0642  0.1526  0.2219  0.2802  0.3340
  0.3794  0.4204  0.4581  0.4929  0.5252  0.5967  0.6554  0.6985  0.7226  0.7269
  0.7133  0.6858
 -0.3675 -0.3356 -0.3351 -0.2073 -0.0604  0.0613  0.1555  0.2308  0.2909  0.3428
