 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = UX   
 -0.8909 -0.7036 -0.5781 -0.4913 -0.4270 -0.3768 -0.3348 -0.2968 -0.2598 -0.2241
 -9.1852 -8.1817 -7.3636 -6.7481 -6.3078 -5.9903 -5.7449 -5.5354 -5.3552 -5.1894
 -4.9777 -4.6883 -4.3712 -4.0464 -3.7320 -3.0268 -2.4254 -1.9138 -1.4848 -1.1337
 -0.8604 -0.6662 -0.5375 -0.4519 -0.3925 -0.3488 -0.3148 -0.2866 -0.2615 -0.2377
 -0.2151
 -9.5809 -8.5366 -7.6248 -6.8858 -6.3223 -5.9074 -5.5943 -5.3376 -5.1044 -4.8859
 -4.6892 -4.5009 -4.2910 -4.0456 -3.7676 -3.0571 -2.4415 -1.9218 -1.4879 -1.1309
 -0.8486 -0.6422 -0.5040 -0.4145 -0.3558 -0.3156 -0.2864 -0.2647 -0.2479 -0.2342
 -0.2220
-10.0241 -8.9634 -7.9963 -7.1619 -6.4844 -5.9592 -5.5598 -5.2484 -4.9863 -4.7436
 -4.5115 -4.2954 -4.0951 -3.9050 -3.7053 -3.1099 -2.4857 -1.9552 -1.5125 -1.1469
 -0.8532 -0.6310 -0.4779 -0.3794 -0.3172 -0.2777 -0.2525 -0.2360 -0.2250 -0.2172
 -0.2118
-10.4726 -9.4436 -8.4578 -7.5593 -6.7866 -6.1552 -5.6568 -5.2671 -4.9555 -4.6901
 -4.4457 -4.2115 -3.9875 -3.7777 -3.5837 -3.1079 -2.5600 -2.0213 -1.5674 -1.1902
 -0.8825 -0.6418 -0.4682 -0.3534 -0.2816 -0.2380 -0.2126 -0.1985 -0.1915 -0.1890
 -0.1891
-10.8751 -9.9083 -8.9482 -8.0301 -7.1947 -6.4733 -5.8773 -5.3986 -5.0159 -4.7036
 -4.4362 -4.1922 -3.9587 -3.7332 -3.5194 -3.0476 -2.5938 -2.1023 -1.6408 -1.2511
 -0.9292 -0.6707 -0.4752 -0.3395 -0.2522 -0.1994 -0.1697 -0.1547 -0.1494 -0.1502
 -0.1544
-11.2100-10.3190 -9.4176 -8.5212 -7.6671 -6.8882 -6.2102 -5.6427 -5.1782 -4.7998
 -4.4867 -4.2173 -3.9733 -3.7415 -3.5174 -3.0105 -2.5812 -2.1583 -1.7227
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = UX   
-11.1295-10.4444 -9.8322 -9.1872 -8.3672 -7.5443 -7.0020 -6.6240 -6.3226 -6.0408
 -5.7728 -5.5138 -5.2626 -5.0171 -4.7746 -4.1659 -3.5484 -2.9352 -2.3300
-10.0065 -9.6376 -9.2113 -8.7845 -8.2336 -7.4766 -6.8354 -6.3921 -6.0425 -5.7369
 -5.4482 -5.1730 -4.9091 -4.6540 -4.4043 -3.7949 -3.1988 -2.6265 -2.0995 -1.6484
 -9.0297 -8.7445 -8.5678 -8.2957 -7.9659 -7.4661 -6.8061 -6.2650 -5.8626 -5.5260
