 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -5.6847 -5.3122 -5.1110 -5.0077 -4.7377 -4.3797 -4.0299 -3.7147 -3.4452 -3.2075
 -2.9902 -2.7862 -2.5956 -2.4197 -2.2588 -1.9167 -1.6319 -1.3802 -1.1544 -0.9517
 -0.7729 -0.6205
 -5.6454 -5.2180 -4.8802 -4.6512 -4.5222 -4.3543 -4.0564 -3.7400 -3.4501 -3.1996
 -2.9770 -2.7699 -2.5756 -2.3950 -2.2289 -1.8769 -1.5908 -1.3450 -1.1297 -0.9399
 -0.7728 -0.6293 -0.5079 -0.4039
 -5.6451 -5.2056 -4.8230 -4.5131 -4.2762 -4.0999 -3.9603 -3.7578 -3.4873 -3.2218
 -2.9875 -2.7769 -2.5792 -2.3941 -2.2226 -1.8579 -1.5665 -1.3230 -1.1147 -0.9345
 -0.7774 -0.6420 -0.5274 -0.4294 -0.3434 -0.2664 -0.1960 -0.1303 -0.0722 -0.0352
 -5.6690 -5.2286 -4.8289 -4.4836 -4.1967 -3.9640 -3.7671 -3.5999 -3.4447 -3.2486
 -3.0179 -2.8009 -2.6005 -2.4116 -2.2349 -1.8557 -1.5558 -1.3112 -1.1070 -0.9336
 -0.7846 -0.6566 -0.5484 -0.4566 -0.3767 -0.3055 -0.2410 -0.1821 -0.1280 -0.0813
 -0.0543
 -5.7005 -5.2718 -4.8670 -4.5015 -4.1855 -3.9206 -3.6977 -3.4995 -3.3188 -3.1556
 -2.9979 -2.8200 -2.6302 -2.4422 -2.2625 -1.8686 -1.5568 -1.3080 -1.1051 -0.9359
 -0.7930 -0.6713 -0.5690 -0.4830 -0.4094 -0.3441 -0.2856 -0.2326 -0.1839 -0.1399
 -0.1043
 -5.7341 -5.3153 -4.9180 -4.5446 -4.2097 -3.9198 -3.6741 -3.4622 -3.2703 -3.0903
 -2.9222 -2.7666 -2.6151 -2.4562 -2.2902 -1.8917 -1.5665 -1.3101 -1.1057 -0.9387
 -0.7997 -0.6831 -0.5860 -0.5057 -0.4384 -0.3796 -0.3271 -0.2794 -0.2360 -0.1970
 -0.1631
 -5.7663 -5.3647 -4.9794 -4.6086 -4.2637 -3.9552 -3.6874 -3.4576 -3.2569 -3.0733
 -2.8995 -2.7344 -2.5795 -2.4324 -2.2887 -1.9253 -1.5913 -1.3242 -1.1146 -0.9467
