 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  R   
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  R   
 -2.3648 -2.0494 -1.7597 -1.5097 -1.2849 -1.0819 -0.9220 -0.7865 -0.6747 -0.5753
 -0.4817 -0.3943 -0.3127 -0.2363 -0.1647 -0.0079  0.1146  0.2034  0.2635
 -2.1528 -2.0434 -1.7609 -1.4974 -1.2652 -1.0595 -0.8925 -0.7559 -0.6418 -0.5423
 -0.4507 -0.3658 -0.2866 -0.2125 -0.1432  0.0062  0.1205  0.2018  0.2555  0.2886
 -1.9582 -1.9376 -1.7601 -1.5088 -1.2708 -1.0583 -0.8817 -0.7375 -0.6201 -0.5200
 -0.4301 -0.3473 -0.2705 -0.1988 -0.1320  0.0118  0.1210  0.1978  0.2480  0.2788
  0.2952
 -1.8095 -1.6529 -1.6249 -1.5065 -1.2892 -1.0764 -0.8887 -0.7329 -0.6075 -0.5043
 -0.4150 -0.3339 -0.2592 -0.1899 -0.1254  0.0134  0.1189  0.1929  0.2410  0.2703
  0.2856  0.2913
 -1.7893 -1.5590 -1.3950 -1.3271 -1.2673 -1.0962 -0.9092 -0.7426 -0.6052 -0.4945
 -0.4033 -0.3230 -0.2498 -0.1825 -0.1201  0.0138  0.1160  0.1881  0.2349  0.2631
  0.2775  0.2822  0.2810  0.2759
 -1.8031 -1.5545 -1.3429 -1.1791 -1.0733 -1.0161 -0.9177 -0.7630 -0.6161 -0.4933
 -0.3948 -0.3135 -0.2411 -0.1752 -0.1147  0.0146  0.1137  0.1842  0.2301  0.2575
  0.2711  0.2746  0.2720  0.2656  0.2560  0.2420  0.2225  0.1965  0.1649  0.1327
 -1.8324 -1.5780 -1.3508 -1.1562 -0.9978 -0.8761 -0.7892 -0.7217 -0.6257 -0.5036
 -0.3938 -0.3061 -0.2329 -0.1677 -0.1084  0.0170  0.1130  0.1819  0.2273  0.2541
  0.2669  0.2692  0.2645  0.2563  0.2453  0.2315  0.2144  0.1927  0.1649  0.1311
  0.0960
 -1.8729 -1.6155 -1.3816 -1.1739 -0.9950 -0.8446 -0.7209 -0.6196 -0.5397 -0.4714
 -0.3927 -0.3034 -0.2260 -0.1602 -0.1014  0.0212  0.1144  0.1817  0.2267  0.2532
  0.2653  0.2662  0.2594  0.2484  0.2353  0.2203  0.2029  0.1832  0.1595  0.1300
  0.0937
 -1.9197 -1.6577 -1.4222 -1.2078 -1.0175 -0.8528 -0.7123 -0.5926 -0.4900 -0.4032
 -0.3317 -0.2699 -0.2086 -0.1490 -0.0921  0.0283  0.1191  0.1849  0.2292  0.2555
  0.2669  0.2665  0.2574  0.2431  0.2267  0.2092  0.1904  0.1705  0.1482  0.1221
  0.0912
 -1.9842 -1.7088 -1.4708 -1.2552 -1.0586 -0.8841 -0.7323 -0.6008 -0.4871 -0.3881
 -0.3023 -0.2294 -0.1682 -0.1172 -0.0713  0.0365  0.1250  0.1897  0.2337  0.2601
  0.2714  0.2703  0.2593  0.2419  0.2217  0.2006  0.1791  0.1570  0.1340  0.1099
  0.0820
 -2.0755 -1.7719 -1.5239 -1.3062 -1.1084 -0.9287 -0.7683 -0.6277 -0.5049 -0.3975
 -0.3034 -0.2215 -0.1510 -0.0917 -0.0433  0.0527  0.1341  0.1969  0.2405  0.2671
  0.2788  0.2774  0.2654  0.2455  0.2214  0.1962  0.1707  0.1455  0.1203  0.0947
  0.0690
 -2.2096 -1.8560 -1.5867 -1.3605 -1.1606 -0.9795 -0.8151 -0.6674 -0.5369 -0.4218
 -0.3205 -0.2315 -0.1540 -0.0874 -0.0315  0.0707  0.1464  0.2069  0.2494
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  R   
 -2.2812 -1.9689 -1.6964 -1.4636 -1.2449 -1.0500 -0.8980 -0.7673 -0.6525 -0.5538
 -0.4620 -0.3761 -0.2964 -0.2218 -0.1521  0.0021  0.1231  0.2137  0.2782
 -2.2134 -1.9962 -1.7112 -1.4576 -1.2349 -1.0336 -0.8741 -0.7388 -0.6233 -0.5247
 -0.4342 -0.3505 -0.2729 -0.2003 -0.1324  0.0159  0.1319  0.2158  0.2715  0.3060
 -2.0822 -1.9825 -1.7373 -1.4774 -1.2441 -1.0367 -0.8630 -0.7222 -0.6047 -0.5046
 -0.4156 -0.3338 -0.2582 -0.1878 -0.1220  0.0216  0.1331  0.2128  0.2651  0.2970
  0.3143
 -1.9085 -1.7656 -1.7106 -1.5017 -1.2683 -1.0565 -0.8708 -0.7178 -0.5939 -0.4906
 -0.4019 -0.3216 -0.2478 -0.1793 -0.1156  0.0234  0.1315  0.2087  0.2589  0.2894
  0.3058  0.3119
 -1.7978 -1.5792 -1.4746 -1.4449 -1.2878 -1.0826 -0.8928 -0.7278 -0.5921 -0.4823
 -0.3914 -0.3115 -0.2390 -0.1723 -0.1105  0.0238  0.1290  0.2043  0.2534  0.2829
  0.2986  0.3041  0.3024  0.2967
 -1.8231 -1.5624 -1.3574 -1.2261 -1.1739 -1.0873 -0.9181 -0.7499 -0.6028 -0.4819
 -0.3839 -0.3029 -0.2308 -0.1653 -0.1051  0.0248  0.1267  0.2005  0.2489  0.2778
  0.2929  0.2976  0.2950  0.2879  0.2770  0.2622  0.2415  0.2135  0.1809  0.1477
 -1.8768 -1.5953 -1.3573 -1.1653 -1.0239 -0.9338 -0.8719 -0.7660 -0.6241 -0.4928
 -0.3838 -0.2963 -0.2232 -0.1580 -0.0989  0.0272  0.1258  0.1979  0.2458  0.2745
  0.2889  0.2928  0.2889  0.2802  0.2685  0.2537  0.2351  0.2115  0.1820  0.1471
  0.1112
 -1.9476 -1.6535 -1.3969 -1.1791 -1.0000 -0.8588 -0.7502 -0.6685 -0.5972 -0.5042
 -0.3941 -0.2958 -0.2173 -0.1512 -0.0921  0.0314  0.1269  0.1973  0.2447  0.2731
  0.2871  0.2900  0.2846  0.2739  0.2603  0.2444  0.2258  0.2045  0.1787  0.1471
  0.1097
 -2.0252 -1.7228 -1.4563 -1.2223 -1.0224 -0.8561 -0.7198 -0.6075 -0.5142 -0.4369
 -0.3674 -0.2927 -0.2131 -0.1440 -0.0842  0.0381  0.1313  0.1998  0.2464  0.2746
  0.2880  0.2898  0.2828  0.2697  0.2534  0.2352  0.2153  0.1935  0.1695  0.1415
  0.1082
 -2.1128 -1.8035 -1.5294 -1.2872 -1.0733 -0.8894 -0.7347 -0.6047 -0.4947 -0.3999
 -0.3184 -0.2488 -0.1871 -0.1288 -0.0745  0.0447  0.1365  0.2037  0.2499  0.2782
  0.2915  0.2926  0.2843  0.2690  0.2496  0.2283  0.2059  0.1825  0.1577  0.1309
  0.1014
 -2.2252 -1.8956 -1.6087 -1.3606 -1.1398 -0.9444 -0.7748 -0.6302 -0.5071 -0.4012
 -0.3091 -0.2289 -0.1596 -0.0999 -0.0494  0.0557  0.1435  0.2098  0.2557  0.2842
  0.2977  0.2987  0.2894  0.2723  0.2500  0.2251  0.1992  0.1729  0.1461  0.1184
  0.0904
 -2.3625 -1.9990 -1.6957 -1.4382 -1.2121 -1.0115 -0.8325 -0.6758 -0.5405 -0.4237
 -0.3225 -0.2343 -0.1573 -0.0905 -0.0089  0.0711  0.1523  0.2181  0.2638
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  R   
 -2.2302 -1.9189 -1.6556 -1.4357 -1.2179 -1.0297 -0.8765 -0.7485 -0.6341 -0.5366
 -0.4453 -0.3604 -0.2817 -0.2086 -0.1403  0.0114  0.1322  0.2249  0.2933
 -2.2626 -1.9563 -1.6735 -1.4271 -1.2123 -1.0159 -0.8550 -0.7235 -0.6077 -0.5101
 -0.4201 -0.3371 -0.2604 -0.1890 -0.1221  0.0250  0.1426  0.2295  0.2882  0.3246
 -2.0634 -1.9860 -1.7034 -1.4502 -1.2232 -1.0199 -0.8477 -0.7091 -0.5914 -0.4920
 -0.4032 -0.3219 -0.2469 -0.1773 -0.1123  0.0307  0.1445  0.2276  0.2829  0.3166
  0.3350
 -1.9037 -1.8920 -1.7303 -1.4845 -1.2480 -1.0402 -0.8563 -0.7054 -0.5827 -0.4793
 -0.3907 -0.3105 -0.2371 -0.1693 -0.1061  0.0327  0.1434  0.2243  0.2777  0.3100
  0.3275  0.3343
 -1.8049 -1.6265 -1.6018 -1.4923 -1.2792 -1.0668 -0.8777 -0.7147 -0.5814 -0.4720
 -0.3810 -0.3013 -0.2289 -0.1626 -0.1011  0.0334  0.1411  0.2204  0.2728  0.3043
  0.3212  0.3275  0.3259  0.3188
 -1.8280 -1.5667 -1.3867 -1.3207 -1.2653 -1.0938 -0.9062 -0.7371 -0.5914 -0.4719
 -0.3743 -0.2933 -0.2212 -0.1559 -0.0958  0.0344  0.1389  0.2167  0.2686  0.2996
  0.3160  0.3218  0.3197  0.3121  0.3009  0.2846  0.2617  0.2327  0.1994  0.1648
 -1.8974 -1.5975 -1.3589 -1.1819 -1.0776 -1.0269 -0.9225 -0.7640 -0.6135 -0.4825
 -0.3744 -0.2873 -0.2141 -0.1489 -0.0897  0.0370  0.1381  0.2140  0.2654  0.2963
  0.3122  0.3174  0.3145  0.3059  0.2936  0.2785  0.2591  0.2336  0.2015  0.1656
  0.1286
 -1.9956 -1.6692 -1.3979 -1.1785 -1.0082 -0.8863 -0.8058 -0.7376 -0.6324 -0.5033
 -0.3854 -0.2874 -0.2088 -0.1423 -0.0831  0.0412  0.1391  0.2129  0.2637  0.2946
  0.3103  0.3147  0.3108  0.3008  0.2871  0.2707  0.2512  0.2279  0.1999  0.1668
  0.1283
