 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -2.2032 -2.0509 -1.9029 -1.7597 -1.6250 -1.5024 -1.3935 -1.2972 -1.2113 -1.1334
 -1.0626 -1.0005 -0.9481 -0.9029 -0.8586 -0.7369 -0.6182 -0.5247 -0.4546 -0.4034
 -0.3672 -0.3431 -0.3283 -0.3193 -0.3133 -0.3086 -0.3050 -0.3024 -0.3011 -0.3021
 -0.3068
 -2.1946 -2.0537 -1.9107 -1.7687 -1.6306 -1.5010 -1.3836 -1.2793 -1.1873 -1.1061
 -1.0336 -0.9690 -0.9116 -0.8618 -0.8187 -0.7215 -0.6173 -0.5244 -0.4538 -0.4023
 -0.3664 -0.3433 -0.3305 -0.3249 -0.3232 -0.3231 -0.3238 -0.3248 -0.3264 -0.3292
 -0.3338
 -2.1639 -2.0379 -1.9072 -1.7730 -1.6385 -1.5086 -1.3879 -1.2790 -1.1825 -1.0974
 -1.0221 -0.9553 -0.8957 -0.8424 -0.7949 -0.6975 -0.6088 -0.5230 -0.4524 -0.4002
 -0.3638 -0.3409 -0.3290 -0.3257 -0.3277 -0.3321 -0.3376 -0.3432 -0.3488 -0.3547
 -0.3613
 -2.1119 -2.0003 -1.8837 -1.7627 -1.6372 -1.5131 -1.3949 -1.2857 -1.1874 -1.1001
 -1.0224 -0.9531 -0.8910 -0.8352 -0.7872 -0.6649 -0.5927 -0.5205 -0.4504
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =F350LP
 -3.2134 -3.1576 -3.0932 -3.0137 -2.9397 -2.8080 -2.5796 -2.2741 -1.9868 -1.6850
 -1.4745 -1.3132 -1.1877 -1.0851 -0.9970 -0.8179
 -2.9687 -2.9069 -2.8445 -2.7745 -2.6979 -2.5842 -2.4001 -2.1386 -1.8640 -1.6193
 -1.4211 -1.2657 -1.1434 -1.0438 -0.9587 -0.7866 -0.6519 -0.5429 -0.4531
 -2.7676 -2.6962 -2.6307 -2.5643 -2.4890 -2.3919 -2.2448 -2.0254 -1.7894 -1.5701
 -1.3842 -1.2340 -1.1138 -1.0157 -0.9323 -0.7645 -0.6345 -0.5315 -0.4488 -0.3820
 -0.3276
 -2.6101 -2.5255 -2.4518 -2.3831 -2.3129 -2.2310 -2.1137 -1.9345 -1.7331 -1.5374
 -1.3638 -1.2181 -1.0989 -1.0008 -0.9178 -0.7516 -0.6244 -0.5251 -0.4466 -0.3836
 -0.3329 -0.2920 -0.2589
 -2.4927 -2.3939 -2.3086 -2.2323 -2.1598 -2.0843 -1.9918 -1.8499 -1.6801 -1.5079
 -1.3484 -1.2094 -1.0920 -0.9939 -0.9106 -0.7451 -0.6193 -0.5220 -0.4464 -0.3864
 -0.3386 -0.3004 -0.2691 -0.2435 -0.2233
 -2.3816 -2.2820 -2.1925 -2.1102 -2.0319 -1.9552 -1.8731 -1.7641 -1.6241 -1.4750
 -1.3314 -1.2015 -1.0881 -0.9910 -0.9078 -0.7425 -0.6173 -0.5211 -0.4474 -0.3898
 -0.3446 -0.3091 -0.2806 -0.2574 -0.2386 -0.2235
 -2.2927 -2.1637 -2.0588 -1.9747 -1.9039 -1.8353 -1.7602 -1.6730 -1.5614 -1.4356
 -1.3090 -1.1902 -1.0833 -0.9892 -0.9071 -0.7421 -0.6171 -0.5216 -0.4490 -0.3933
 -0.3504 -0.3175 -0.2919 -0.2715 -0.2547 -0.2410 -0.2307 -0.2243 -0.2224 -0.2266
 -2.2644 -2.1142 -1.9804 -1.8661 -1.7699 -1.6878 -1.6153 -1.5457 -1.4673 -1.3753
 -1.2742 -1.1717 -1.0744 -0.9857 -0.9061 -0.7427 -0.6178 -0.5225 -0.4505 -0.3961
 -0.3552 -0.3249 -0.3024 -0.2851 -0.2712 -0.2599 -0.2513 -0.2452 -0.2428 -0.2457
 -0.2546
 -2.2617 -2.1029 -1.9547 -1.8196 -1.7003 -1.5966 -1.5052 -1.4214 -1.3408 -1.2625
 -1.1901 -1.1204 -1.0488 -0.9750 -0.9024 -0.7437 -0.6190 -0.5234 -0.4514 -0.3979
