 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  B   
 -0.7948 -0.7053 -0.6365 -0.5826 -0.5376 -0.4974 -0.4600 -0.4241 -0.3896 -0.3568
 -0.3261
 -5.1684 -4.8428 -4.5421 -4.2638 -4.0052 -3.7638 -3.5368 -3.3201 -3.1122 -2.9139
 -2.7258 -2.5487 -2.3821 -2.2255 -2.0804 -1.7394 -1.4694 -1.2478 -1.0612
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  B   
 -6.6343 -6.4446 -6.2590 -6.0658 -5.8701 -5.6341 -5.3360 -4.9795 -4.6388 -4.3287
 -4.0379 -3.7645 -3.5099 -3.2747 -3.0559 -2.5649
 -6.0449 -5.8334 -5.6318 -5.4325 -5.2326 -5.0142 -4.7582 -4.4656 -4.1860 -3.9244
 -3.6709 -3.4205 -3.1775 -2.9508 -2.7431 -2.2920 -1.8996 -1.5436 -1.2305
 -5.5907 -5.3487 -5.1256 -4.9158 -4.7127 -4.5084 -4.2877 -4.0464 -3.8143 -3.5924
 -3.3726 -3.1480 -2.9211 -2.7039 -2.5049 -2.0830 -1.7326 -1.4259 -1.1544 -0.9237
 -0.7341
 -5.2717 -4.9905 -4.7404 -4.5157 -4.3103 -4.1168 -3.9245 -3.7219 -3.5237 -3.3327
 -3.1430 -2.9470 -2.7407 -2.5340 -2.3413 -1.9379 -1.6152 -1.3418 -1.1023 -0.8957
 -0.7236 -0.5789 -0.4541
 -5.0940 -4.7542 -4.4720 -4.2318 -4.0168 -3.8241 -3.6457 -3.4699 -3.2967 -3.1290
 -2.9635 -2.7941 -2.6134 -2.4219 -2.2352 -1.8425 -1.5369 -1.2853 -1.0689 -0.8814
 -0.7237 -0.5901 -0.4740 -0.3711 -0.2776
 -5.0476 -4.6491 -4.3181 -4.0438 -3.8159 -3.6259 -3.4614 -3.2986 -3.1366 -2.9794
 -2.8268 -2.6754 -2.5186 -2.3482 -2.1706 -1.7838 -1.4875 -1.2497 -1.0493 -0.8769
 -0.7309 -0.6073 -0.4996 -0.4034 -0.3161 -0.2359
 -5.1095 -4.6708 -4.2932 -3.9749 -3.7117 -3.4954 -3.3186 -3.1724 -3.0389 -2.9007
 -2.7492 -2.5970 -2.4481 -2.2966 -2.1335 -1.7515 -1.4585 -1.2288 -1.0393 -0.8785
 -0.7424 -0.6275 -0.5277 -0.4384 -0.3568 -0.2817 -0.2130 -0.1475 -0.0875 -0.0495
 -5.2369 -4.7618 -4.3524 -4.0058 -3.7149 -3.4728 -3.2714 -3.1012 -2.9537 -2.8231
