 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  U   
 -5.2793 -5.2923 -5.3049 -5.3114 -5.3065 -5.2862 -5.2462 -5.1812 -5.0871 -4.9613
 -4.8021 -4.6091 -4.3841 -4.1348 -3.8741 -3.2442 -2.6796 -2.1835 -1.7588 -1.4078
 -1.1294 -0.9195 -0.7580
 -4.9502 -4.9264 -4.9183 -4.9142 -4.9055 -4.8859 -4.8506 -4.7947 -4.7142 -4.6056
 -4.4664 -4.2949 -4.0905 -3.8585 -3.6108 -3.0067 -2.4726 -2.0089 -1.6149 -1.2920
 -1.0364 -0.8433 -0.6991 -0.5888 -0.4997
 -4.8956 -4.7614 -4.6772 -4.6291 -4.5998 -4.5735 -4.5380 -4.4871 -4.4164 -4.3221
 -4.2014 -4.0515 -3.8703 -3.6589 -3.4260 -2.8419 -2.3273 -1.8853 -1.5106 -1.2044
 -0.9628 -0.7806 -0.6480 -0.5502 -0.4739 -0.4104
 -5.1266 -4.8780 -4.6823 -4.5382 -4.4384 -4.3694 -4.3182 -4.2640 -4.1952 -4.1085
 -4.0005 -3.8685 -3.7091 -3.5199 -3.3042 -2.7364 -2.2314 -1.8028 -1.4396 -1.1419
 -0.9074 -0.7298 -0.6018 -0.5107 -0.4434 -0.3905 -0.3463 -0.3066 -0.2682 -0.2293
 -5.4457 -5.1289 -4.8556 -4.6278 -4.4445 -4.3015 -4.1947 -4.1192 -4.0548 -3.9739
 -3.8695 -3.7435 -3.5968 -3.4269 -3.2305 -2.6807 -2.1776 -1.7542 -1.3972 -1.1020
 -0.8685 -0.6908 -0.5622 -0.4727 -0.4101 -0.3640 -0.3284 -0.2986 -0.2721 -0.2465
 -0.2184
 -5.8372 -5.4482 -5.1105 -4.8179 -4.5688 -4.3615 -4.1920 -4.0557 -3.9491 -3.8610
 -3.7740 -3.6696 -3.5353 -3.3742 -3.1922 -2.6668 -2.1606 -1.7355 -1.3795 -1.0833
