 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -7.3160 -6.9076 -6.5597 -6.2669 -6.0269 -5.8328 -5.6772 -5.5538 -5.4480 -5.3188
 -5.1531 -4.9606 -4.7450 -4.5026 -4.2405 -3.6153 -3.0827 -2.6259 -2.2406 -1.9322
 -1.7025 -1.5461 -1.4441 -1.3771 -1.3314 -1.2984 -1.2728 -1.2512 -1.2297 -1.2035
 -7.6954 -7.1965 -6.7722 -6.4096 -6.1000 -5.8374 -5.6160 -5.4286 -5.2685 -5.1317
 -5.0034 -4.8496 -4.6550 -4.4311 -4.1867 -3.5682 -3.0367 -2.5859 -2.2038 -1.8943
 -1.6596 -1.4967 -1.3916 -1.3250 -1.2825 -1.2547 -1.2359 -1.2222 -1.2107 -1.1988
 -1.1828
 -8.2404 -7.6256 -7.1037 -6.6599 -6.2794 -5.9520 -5.6699 -5.4269 -5.2148 -5.0270
 -4.8578 -4.7045 -4.5535 -4.3761 -4.1636 -3.5693 -3.0307 -2.5785 -2.1952 -1.8799
 -1.6351 -1.4600 -1.3456 -1.2747 -1.2316 -1.2059 -1.1911 -1.1828 -1.1779 -1.1745
 -1.1712
 -8.9356 -8.2041 -7.5696 -7.0261 -6.5600 -6.1593 -5.8121 -5.5112 -5.2485 -5.0169
 -4.8086 -4.6183 -4.4432 -4.2782 -4.1080 -3.5954 -3.0556 -2.5955 -2.2078 -1.8846
 -1.6272 -1.4359 -1.3069 -1.2266 -1.1793 -1.1529 -1.1400 -1.1351 -1.1352 -1.1374
 -1.1409
 -9.7310 -8.9086 -8.1712 -7.5262 -6.9631 -6.4751 -6.0524 -5.6863 -5.3678 -5.0886
 -4.8408 -4.6173 -4.4126 -4.2227 -4.0443 -3.6052 -3.1136 -2.6444 -2.2483 -1.9158
 -1.6441 -1.4338 -1.2843 -1.1877 -1.1302 -1.0986 -1.0840 -1.0801 -1.0829 -1.0897
 -1.0980
-10.5381 -9.6561 -8.8464 -8.1210 -7.4705 -6.8951 -6.3895 -5.9490 -5.5666 -5.2337
 -4.9412 -4.6811 -4.4463 -4.2311 -4.0314 -3.5866 -3.1586 -2.7123 -2.3069 -1.9640
 -1.6789 -1.4504 -1.2792 -1.1618 -1.0884 -1.0466 -1.0264 -1.0203 -1.0233 -1.0323
 -1.0442
-11.3043-10.3865 -9.5368 -8.7557 -8.0429 -7.3963 -6.8157 -6.2998 -5.8477 -5.4535
 -5.1097 -4.8073 -4.5379 -4.2948 -4.0693 -3.5396 -3.1906 -2.7992 -2.3836
