 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  g   
 -2.2901 -2.1518 -2.0222 -1.8885 -1.7470 -1.3943 -1.0849 -0.8445 -0.6661 -0.5311
 -0.4247 -0.3385 -0.2677 -0.2085 -0.1580 -0.1136 -0.0742 -0.0386 -0.0066  0.0215
  0.0448
 -5.7397 -5.1217 -4.5640 -4.0762 -3.6594 -3.3105 -3.0198 -2.7760 -2.5680 -2.3866
 -2.2262 -2.0835 -1.9559 -1.8390 -1.7251 -1.4187 -1.1132 -0.8640 -0.6766 -0.5367
 -0.4293 -0.3446 -0.2769 -0.2221 -0.1768 -0.1384 -0.1049 -0.0747 -0.0472 -0.0229
 -0.0019
 -5.9070 -5.2901 -4.7179 -4.2018 -3.7546 -3.3747 -3.0568 -2.7914 -2.5675 -2.3759
 -2.2086 -2.0603 -1.9265 -1.8044 -1.6913 -1.4237 -1.1448 -0.8899 -0.6927 -0.5455
 -0.4346 -0.3495 -0.2833 -0.2315 -0.1908 -0.1579 -0.1304 -0.1063 -0.0845 -0.0648
 -0.0473
 -6.0250 -5.4295 -4.8672 -4.3502 -3.8854 -3.4840 -3.1425 -2.8549 -2.6121 -2.4051
 -2.2258 -2.0681 -1.9268 -1.7984 -1.6456 -1.4093 -1.1797 -0.9222 -0.7144
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  g   
 -7.3123 -7.1107 -6.9231 -6.7325 -6.5005 -6.1362 -5.5183 -4.6439 -3.8485 -3.2563
 -2.8450 -2.5402 -2.2958 -2.0872 -1.9061 -1.5383 -1.2569 -1.0213 -0.8097
 -6.8534 -6.6227 -6.4139 -6.2128 -5.9864 -5.6707 -5.1484 -4.4145 -3.6995 -3.1436
 -2.7455 -2.4476 -2.2077 -2.0030 -1.8227 -1.4557 -1.1783 -0.9537 -0.7590 -0.5843
 -6.4897 -6.2263 -5.9882 -5.7670 -5.5408 -5.2618 -4.8409 -4.2417 -3.6135 -3.0889
