 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  r   
 -1.0235 -0.8198 -0.6706 -0.5561 -0.4622 -0.2809 -0.1513 -0.0596  0.0044  0.0477
  0.0756
 -5.1908 -4.6910 -4.1973 -3.7171 -3.2583 -2.8275 -2.4110 -1.9868 -1.5985 -1.2714
 -1.0106 -0.8115 -0.6625 -0.5485 -0.4562 -0.2793 -0.1532 -0.0642 -0.0032  0.0377
  0.0637  0.0801
 -4.7704 -4.1788 -3.6653 -3.2892 -2.9403 -2.5876 -2.2261 -1.8692 -1.5349 -1.2428
 -1.0006 -0.8081 -0.6598 -0.5455 -0.4538 -0.2803 -0.1566 -0.0693 -0.0101  0.0289
  0.0531  0.0677  0.0765  0.0806
 -4.4342 -3.7311 -3.2157 -2.7996 -2.4584 -2.1693 -1.9163 -1.6736 -1.4294 -1.1934
 -0.9818 -0.8030 -0.6579 -0.5436 -0.4522 -0.2812 -0.1596 -0.0734 -0.0154  0.0221
  0.0444  0.0567  0.0635  0.0665  0.0659  0.0623  0.0535  0.0373  0.0141 -0.0105
 -4.2574 -3.5795 -3.0037 -2.5368 -2.1657 -1.8653 -1.6132 -1.3950 -1.2088 -1.0535
 -0.9141 -0.7787 -0.6514 -0.5410 -0.4498 -0.2808 -0.1611 -0.0758 -0.0185  0.0178
  0.0385  0.0483  0.0520  0.0526  0.0507  0.0463  0.0386  0.0272  0.0095 -0.0163
 -0.0445
 -4.2536 -3.5519 -2.9358 -2.4285 -2.0257 -1.7092 -1.4552 -1.2444 -1.0651 -0.9138
 -0.7913 -0.6944 -0.6098 -0.5263 -0.4446 -0.2782 -0.1602 -0.0759 -0.0188  0.0168
  0.0360  0.0433  0.0435  0.0405  0.0358  0.0297  0.0217  0.0112 -0.0026 -0.0223
 -0.0509
 -4.2448 -3.5506 -2.9255 -2.3963 -1.9708 -1.6374 -1.3757 -1.1658 -0.9928 -0.8475
 -0.7251 -0.6239 -0.5426 -0.4764 -0.4163 -0.2713 -0.1556 -0.0725 -0.0158  0.0194
  0.0375  0.0426  0.0391  0.0317  0.0230  0.0138  0.0036 -0.0076 -0.0206 -0.0368
 -0.0585
 -4.2023 -3.5479 -2.9362 -2.4069 -1.9711 -1.6244 -1.3535 -1.1379 -0.9643 -0.8205
