 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  I   
 -0.2220 -0.0507  0.0915  0.2062  0.2962  0.3647  0.4157  0.4521  0.4768  0.4934
  0.5043  0.5138  0.5251  0.5383  0.5532  0.5966  0.6330  0.6525  0.6566  0.6472
  0.6267  0.5977  0.5619  0.5215  0.4785  0.4333  0.3859  0.3364  0.2842  0.2285
  0.1695
 -0.2179 -0.0402  0.1092  0.2320  0.3303  0.4070  0.4652  0.5082  0.5390  0.5605
  0.5737  0.5790  0.5786  0.5772  0.5793  0.6047  0.6363  0.6538  0.6568  0.6470
  0.6262  0.5967  0.5602  0.5187  0.4745  0.4289  0.3818  0.3332  0.2830  0.2304
  0.1746
 -0.2244 -0.0436  0.1106  0.2383  0.3416  0.4232  0.4862  0.5338  0.5685  0.5932
  0.6101  0.6209  0.6267  0.6282  0.6265  0.6248  0.6428  0.6578  0.6596  0.6496
