 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = BX   
 -0.7077 -0.5806 -0.4692 -0.3699 -0.2792
 -4.9944 -4.5729 -4.2201 -3.9382 -3.7122 -3.5254 -3.3634 -3.2144 -3.0687 -2.9187
 -2.7643 -2.6145 -2.4645 -2.3028 -2.1308 -1.7568 -1.4659 -1.2273 -1.0249 -0.8569
 -0.7190 -0.6018 -0.4984 -0.4051 -0.3198 -0.2420
 -5.0326 -4.6001 -4.2348 -3.9278 -3.6694 -3.4509 -3.2646 -3.1033 -2.9606 -2.8309
 -2.6952 -2.5423 -2.3876 -2.2346 -2.0757 -1.7116 -1.4309 -1.2061 -1.0183 -0.8619
 -0.7338 -0.6254 -0.5299 -0.4432 -0.3633 -0.2893 -0.2215 -0.1570 -0.0983 -0.0618
 -5.0907 -4.6562 -4.2838 -3.9672 -3.6963 -3.4623 -3.2579 -3.0775 -2.9159 -2.7676
 -2.6285 -2.4933 -2.3523 -2.2053 -2.0512 -1.6896 -1.4124 -1.1954 -1.0172 -0.8692
 -0.7487 -0.6485 -0.5608 -0.4812 -0.4073 -0.3383 -0.2744 -0.2152 -0.1604 -0.1133
 -0.0867
 -5.1454 -4.7205 -4.3492 -4.0278 -3.7486 -3.5037 -3.2861 -3.0905 -2.9134 -2.7512
 -2.5994 -2.4554 -2.3169 -2.1823 -2.0443 -1.6895 -1.4066 -1.1924 -1.0196 -0.8770
 -0.7617 -0.6681 -0.5881 -0.5161 -0.4493 -0.3863 -0.3273 -0.2722 -0.2215 -0.1761
 -0.1406
 -5.1747 -4.7659 -4.4077 -4.0906 -3.8096 -3.5583 -3.3314 -3.1247 -2.9350 -2.7602
 -2.5974 -2.4444 -2.2992 -2.1611 -2.0290 -1.6984 -1.4117 -1.1932 -1.0228 -0.8833
 -0.7708 -0.6817 -0.6085 -0.5444 -0.4854 -0.4296 -0.3769 -0.3270 -0.2804 -0.2379
 -0.2016
 -5.1776 -4.7981 -4.4570 -4.1510 -3.8749 -3.6229 -3.3909 -3.1763 -2.9772 -2.7923
 -2.6198 -2.4582 -2.3060 -2.1621 -2.0261 -1.7078 -1.4286 -1.2035 -1.0307 -0.8921
 -0.7802 -0.6925 -0.6236 -0.5663 -0.5152 -0.4676 -0.4224 -0.3793 -0.3382 -0.2998
 -0.2643
 -5.1575 -4.8058 -4.4851 -4.1936 -3.9272 -3.6810 -3.4505 -3.2331 -3.0283 -2.8358
 -2.6555 -2.4864 -2.3276 -2.1779 -2.0367 -1.7160 -1.4432 -1.2177 -1.0403 -0.9009
 -0.7889 -0.7009 -0.6334 -0.5804 -0.5362 -0.4967 -0.4598 -0.4244 -0.3903 -0.3579
 -0.3274
 -5.1150 -4.7917 -4.4934 -4.2176 -3.9616 -3.7228 -3.4985 -3.2846 -3.0795 -2.8838
 -2.6982 -2.5233 -2.3587 -2.2039 -2.0608 -1.7230 -1.4555 -1.2358 -1.0516
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = BX   
 -6.6412 -6.4461 -6.2549 -6.0562 -5.8554 -5.6142 -5.3106 -4.9490 -4.6046 -4.2921
 -4.0003 -3.7270 -3.4732 -3.2389 -3.0211 -2.5341
 -6.0538 -5.8353 -5.6274 -5.4224 -5.2174 -4.9942 -4.7337 -4.4368 -4.1541 -3.8907
 -3.6365 -3.3863 -3.1442 -2.9187 -2.7123 -2.2650 -1.8767 -1.5249 -1.2159
 -5.6010 -5.3515 -5.1218 -4.9062 -4.6980 -4.4894 -4.2648 -4.0199 -3.7852 -3.5618
 -3.3414 -3.1170 -2.8910 -2.6751 -2.4775 -2.0592 -1.7125 -1.4095 -1.1415 -0.9140
 -0.7269
 -5.2828 -4.9947 -4.7381 -4.5076 -4.2972 -4.0997 -3.9039 -3.6983 -3.4979 -3.3054
 -3.1150 -2.9191 -2.7136 -2.5081 -2.3167 -1.9167 -1.5974 -1.3272 -1.0908 -0.8871
 -0.7173 -0.5745 -0.4514
 -5.1004 -4.7552 -4.4689 -4.2243 -4.0052 -3.8088 -3.6274 -3.4490 -3.2737 -3.1046
 -2.9384 -2.7689 -2.5887 -2.3982 -2.2128 -1.8233 -1.5207 -1.2719 -1.0583 -0.8735
 -0.7179 -0.5861 -0.4716 -0.3701 -0.2779
 -5.0470 -4.6445 -4.3102 -4.0329 -3.8025 -3.6103 -3.4438 -3.2792 -3.1156 -2.9573
 -2.8041 -2.6525 -2.4959 -2.3263 -2.1498 -1.7660 -1.4724 -1.2372 -1.0394 -0.8694
 -0.7255 -0.6035 -0.4972 -0.4023 -0.3161 -0.2369
 -5.1037 -4.6614 -4.2810 -3.9604 -3.6954 -3.4777 -3.2997 -3.1525 -3.0182 -2.8795
 -2.7277 -2.5755 -2.4268 -2.2758 -2.1137 -1.7346 -1.4441 -1.2169 -1.0298 -0.8711
 -0.7371 -0.6238 -0.5253 -0.4371 -0.3565 -0.2823 -0.2144 -0.1499 -0.0910 -0.0537
 -5.2261 -4.7482 -4.3365 -3.9881 -3.6960 -3.4531 -3.2510 -3.0804 -2.9325 -2.8018
 -2.6786 -2.5452 -2.3971 -2.2456 -2.0938 -1.7220 -1.4301 -1.2063 -1.0261 -0.8757
 -0.7496 -0.6441 -0.5533 -0.4722 -0.3978 -0.3288 -0.2653 -0.2066 -0.1520 -0.1041
 -0.0767
 -5.4017 -4.8902 -4.4477 -4.0719 -3.7560 -3.4906 -3.2663 -3.0752 -2.9097 -2.7623
 -2.6267 -2.4991 -2.3734 -2.2386 -2.0928 -1.7241 -1.4269 -1.2026 -1.0260 -0.8812
 -0.7621 -0.6621 -0.5785 -0.5048 -0.4373 -0.3744 -0.3160 -0.2609 -0.2106 -0.1666
 -0.1301
 -5.5862 -5.0613 -4.5936 -4.1941 -3.8548 -3.5675 -3.3224 -3.1111 -2.9264 -2.7625
 -2.6134 -2.4740 -2.3413 -2.2137 -2.0855 -1.7376 -1.4307 -1.2022 -1.0267 -0.8853
 -0.7693 -0.6750 -0.5977 -0.5314 -0.4715 -0.4158 -0.3637 -0.3146 -0.2691 -0.2277
 -0.1915
 -5.7482 -5.2297 -4.7601 -4.3472 -3.9895 -3.6817 -3.4162 -3.1850 -2.9811 -2.7992
 -2.6345 -2.4828 -2.3403 -2.2049 -2.0755 -1.7557 -1.4515 -1.2113 -1.0326 -0.8920
 -0.7779 -0.6860 -0.6127 -0.5526 -0.5003 -0.4524 -0.4076 -0.3652 -0.3252 -0.2881
 -0.2539
 -5.8625 -5.3675 -4.9135 -4.5002 -4.1361 -3.8156 -3.5339 -3.2847 -3.0625 -2.8631
 -2.6821 -2.5162 -2.3624 -2.2182 -2.0818 -1.7656 -1.4759 -1.2296 -1.0422 -0.8995
 -0.7857 -0.6944 -0.6228 -0.5668 -0.5209 -0.4806 -0.4439 -0.4091 -0.3759 -0.3446
 -0.3156
 -5.9082 -5.4523 -5.0265 -4.6308 -4.2723 -3.9500 -3.6606 -3.3993 -3.1624 -2.9471
 -2.7507 -2.5709 -2.4050 -2.2506 -2.1044 -1.7673 -1.5039 -1.2571 -1.0555
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = BX   
 -7.0584 -6.9302 -6.7934 -6.6349 -6.4733 -6.2143 -5.7861 -5.2083 -4.7112 -4.1987
 -3.8500 -3.5608 -3.3112 -3.0878 -2.8838 -2.4409
 -6.4440 -6.3006 -6.1527 -5.9896 -5.8076 -5.5599 -5.1970 -4.7186 -4.2575 -3.8752
 -3.5604 -3.2889 -3.0470 -2.8287 -2.6307 -2.2094 -1.8601 -1.5423 -1.2529
 -5.9351 -5.7727 -5.6104 -5.4402 -5.2495 -5.0187 -4.7143 -4.3231 -3.9441 -3.6152
 -3.3321 -3.0799 -2.8485 -2.6361 -2.4427 -2.0360 -1.7067 -1.4245 -1.1738 -0.9505
 -0.7576
 -5.5317 -5.3465 -5.1665 -4.9867 -4.7990 -4.5907 -4.3380 -4.0218 -3.7047 -3.4187
 -3.1651 -2.9338 -2.7157 -2.5100 -2.3198 -1.9207 -1.6062 -1.3449 -1.1183 -0.9176
 -0.7424 -0.5934 -0.4648
 -5.2533 -5.0325 -4.8268 -4.6302 -4.4377 -4.2421 -4.0302 -3.7762 -3.5102 -3.2615
 -3.0355 -2.8264 -2.6254 -2.4296 -2.2432 -1.8473 -1.5407 -1.2924 -1.0819 -0.8981
 -0.7373 -0.5988 -0.4793 -0.3748 -0.2800
 -5.1267 -4.8403 -4.5952 -4.3740 -4.1669 -3.9699 -3.7766 -3.5696 -3.3466 -3.1303
 -2.9292 -2.7414 -2.5595 -2.3779 -2.1983 -1.8037 -1.4998 -1.2593 -1.0595 -0.8881
 -0.7393 -0.6107 -0.4995 -0.4013 -0.3135 -0.2329
 -5.1445 -4.7738 -4.4552 -4.1859 -3.9584 -3.7622 -3.5813 -3.4026 -3.2131 -3.0226
 -2.8412 -2.6706 -2.5063 -2.3418 -2.1734 -1.7815 -1.4763 -1.2397 -1.0472 -0.8848
 -0.7456 -0.6258 -0.5224 -0.4313 -0.3491 -0.2742 -0.2057 -0.1405 -0.0819 -0.0443
 -5.2454 -4.8181 -4.4414 -4.1161 -3.8406 -3.6080 -3.4109 -3.2438 -3.0928 -2.9410
 -2.7817 -2.6212 -2.4652 -2.3126 -2.1588 -1.7752 -1.4656 -1.2295 -1.0415 -0.8855
 -0.7540 -0.6419 -0.5458 -0.4617 -0.3859 -0.3166 -0.2534 -0.1950 -0.1403 -0.0926
 -0.0640
 -5.4215 -4.9401 -4.5155 -4.1467 -3.8306 -3.5640 -3.3399 -3.1505 -2.9870 -2.8426
 -2.7118 -2.5839 -2.4464 -2.2996 -2.1509 -1.7812 -1.4656 -1.2263 -1.0402 -0.8885
 -0.7625 -0.6569 -0.5676 -0.4904 -0.4215 -0.3584 -0.3005 -0.2471 -0.1982 -0.1536
 -0.1171
 -5.6871 -5.1365 -4.6606 -4.2480 -3.8948 -3.5957 -3.3439 -3.1317 -2.9512 -2.7945
 -2.6545 -2.5263 -2.4052 -2.2830 -2.1503 -1.7931 -1.4720 -1.2268 -1.0399 -0.8910
 -0.7689 -0.6682 -0.5847 -0.5142 -0.4525 -0.3965 -0.3449 -0.2969 -0.2527 -0.2126
 -0.1773
 -6.0043 -5.4143 -4.8850 -4.4250 -4.0309 -3.6967 -3.4149 -3.1767 -2.9739 -2.7994
 -2.6460 -2.5074 -2.3785 -2.2555 -2.1352 -1.8149 -1.4923 -1.2372 -1.0458 -0.8968
 -0.7767 -0.6788 -0.5993 -0.5343 -0.4793 -0.4305 -0.3861 -0.3446 -0.3060 -0.2706
 -0.2387
 -6.3132 -5.7072 -5.1555 -4.6573 -4.2240 -3.8537 -3.5396 -3.2729 -3.0448 -2.8479
 -2.6755 -2.5218 -2.3817 -2.2506 -2.1255 -1.8252 -1.5223 -1.2560 -1.0560 -0.9041
 -0.7841 -0.6875 -0.6101 -0.5488 -0.4993 -0.4574 -0.4205 -0.3863 -0.3544 -0.3247
 -0.2975
 -6.5390 -5.9636 -5.4132 -4.9065 -4.4496 -4.0510 -3.7078 -3.4126 -3.1581 -2.9368
 -2.7424 -2.5695 -2.4136 -2.2707 -2.1212 -1.8240 -1.5620 -1.2832 -1.0705
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value = BX   
 -7.2304 -7.1180 -6.9959 -6.8497 -6.7050 -6.4424 -5.9720 -5.3218 -4.7522 -4.1909
 -3.8248 -3.5303 -3.2812 -3.0613 -2.8612 -2.4287
 -6.6183 -6.4922 -6.3607 -6.2117 -6.0414 -5.7909 -5.3976 -4.8570 -4.3262 -3.8977
 -3.5613 -3.2826 -3.0405 -2.8247 -2.6294 -2.2145 -1.8692 -1.5616 -1.2789
 -6.1046 -5.9608 -5.8161 -5.6611 -5.4800 -5.2478 -4.9218 -4.4794 -4.0394 -3.6647
 -3.3563 -3.0937 -2.8603 -2.6492 -2.4575 -2.0539 -1.7272 -1.4472 -1.1980 -0.9743
 -0.7790
 -5.6893 -5.5238 -5.3621 -5.1979 -5.0207 -4.8131 -4.5446 -4.1890 -3.8214 -3.4919
