 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  R   
  0.2018  0.1929  0.1746  0.1521  0.1291  0.1071  0.0862  0.0666  0.0477  0.0289
  0.0094
 -2.0277 -1.7999 -1.5705 -1.3427 -1.1281 -0.9347 -0.7661 -0.6220 -0.4994 -0.3946
 -0.3038 -0.2248 -0.1560 -0.0967 -0.0523  0.0513  0.1175  0.1620  0.1904
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  R   
 -3.7272 -3.5906 -3.4529 -3.3066 -3.2129 -3.0335 -2.6885 -2.1929 -1.7238 -1.2065
 -0.8803 -0.6529 -0.4910 -0.3672 -0.2675 -0.0770
 -3.4235 -3.2716 -3.1260 -2.9800 -2.8485 -2.6698 -2.3734 -1.9402 -1.4882 -1.0984
 -0.8023 -0.5898 -0.4378 -0.3236 -0.2319 -0.0566  0.0718  0.1651  0.2291
 -3.1873 -3.0197 -2.8626 -2.7102 -2.5555 -2.3790 -2.1231 -1.7494 -1.3652 -1.0245
 -0.7530 -0.5510 -0.4044 -0.2954 -0.2088 -0.0447  0.0741  0.1592  0.2167  0.2521
  0.2711
 -3.0186 -2.8349 -2.6627 -2.4972 -2.3339 -2.1611 -1.9376 -1.6205 -1.2882 -0.9848
 -0.7324 -0.5365 -0.3908 -0.2826 -0.1982 -0.0413  0.0711  0.1511  0.2049  0.2384
  0.2565  0.2649  0.2653
 -2.8882 -2.6951 -2.5117 -2.3334 -2.1571 -1.9789 -1.7823 -1.5170 -1.2285 -0.9571
 -0.7228 -0.5333 -0.3874 -0.2780 -0.1939 -0.0415  0.0662  0.1428  0.1941  0.2261
  0.2433  0.2507  0.2516  0.2478  0.2377
 -2.7130 -2.5272 -2.3575 -2.1891 -2.0129 -1.8306 -1.6401 -1.4210 -1.1725 -0.9304
 -0.7144 -0.5332 -0.3885 -0.2774 -0.1923 -0.0425  0.0616  0.1356  0.1848  0.2154
  0.2316  0.2380  0.2384  0.2344  0.2267  0.2137
 -2.5831 -2.3486 -2.1450 -1.9691 -1.8112 -1.6584 -1.4939 -1.3097 -1.1046 -0.8953
 -0.7006 -0.5308 -0.3898 -0.2780 -0.1915 -0.0427  0.0585  0.1301  0.1778  0.2069
  0.2218  0.2267  0.2257  0.2210  0.2131  0.2019  0.1865  0.1650  0.1364  0.1069
 -2.5391 -2.2689 -2.0202 -1.7995 -1.6072 -1.4356 -1.2757 -1.1208 -0.9638 -0.8087
 -0.6574 -0.5146 -0.3861 -0.2779 -0.1901 -0.0411  0.0577  0.1272  0.1735  0.2013
  0.2147  0.2177  0.2144  0.2078  0.1990  0.1879  0.1742  0.1567  0.1337  0.1032
  0.0709
 -2.5478 -2.2599 -1.9823 -1.7253 -1.4963 -1.2967 -1.1205 -0.9597 -0.8080 -0.6669
 -0.5445 -0.4413 -0.3496 -0.2641 -0.1852 -0.0374  0.0596  0.1272  0.1723  0.1991
