 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  J   
  1.7188  1.6800  1.6474  1.6208  1.5988  1.5495  1.4944  1.4304  1.3585  1.2809
  1.1989  1.1136
  2.2784  2.2342  2.1827  2.1265  2.0677  2.0080  1.9487  1.8906  1.8346  1.7819
  1.7334  1.6901  1.6527  1.6215  1.5958  1.5421  1.4853  1.4205  1.3484  1.2711
  1.1901  1.1064  1.0210  0.9350
  2.2468  2.2281  2.1940  2.1479  2.0938  2.0359  1.9770  1.9184  1.8606  1.8051
  1.7531  1.7057  1.6636  1.6276  1.5976  1.5380  1.4793  1.4137  1.3413  1.2639
  1.1834  1.1005  1.0161  0.9310  0.8457  0.7599  0.6734  0.5854  0.4971  0.4120
  2.1829  2.1721  2.1567  2.1323  2.0969  2.0516  1.9989  1.9423  1.8856  1.8296
  1.7759  1.7254  1.6794  1.6388  1.6041  1.5371  1.4760  1.4093  1.3365  1.2590
  1.1785  1.0959  1.0119  0.9273  0.8428  0.7586  0.6742  0.5895  0.5036  0.4174
  0.3340
  2.1528  2.1327  2.1130  2.0918  2.0665  2.0348  1.9964  1.9512  1.8992  1.8451
  1.7929  1.7435  1.6971  1.6540  1.6153  1.5393  1.4752  1.4072  1.3338  1.2562
  1.1754  1.0927  1.0086  0.9240  0.8397  0.7560  0.6729  0.5902  0.5072  0.4233
  0.3388
  2.1472  2.1199  2.0925  2.0654  2.0381  2.0086  1.9756  1.9383  1.8961  1.8486
  1.7990  1.7507  1.7057  1.6647  1.6269  1.5448  1.4763  1.4066  1.3323  1.2541
  1.1729  1.0897  1.0053  0.9201  0.8353  0.7514  0.6686  0.5863  0.5044  0.4229
  0.3419
  2.1533  2.1227  2.0901  2.0573  2.0248  1.9924  1.9591  1.9240  1.8858  1.8442
  1.7997  1.7544  1.7107  1.6702  1.6333  1.5533  1.4807  1.4091  1.3338  1.2552
  1.1737  1.0901  1.0051  0.9194  0.8338  0.7493  0.6661  0.5844  0.5038  0.4238
  0.3443
  2.1623  2.1301  2.0960  2.0602  2.0237  1.9873  1.9510  1.9147  1.8775  1.8387
  1.7981  1.7562  1.7146  1.6750  1.6384  1.5591  1.4875  1.4137  1.3372  1.2579
  1.1761  1.0921  1.0067  0.9204  0.8340  0.7485  0.6643  0.5820  0.5014  0.4219
  0.3460
  2.1714  2.1383  2.1035  2.0669  2.0293  1.9905  1.9515  1.9128  1.8744  1.8361
  1.7975  1.7583  1.7190  1.6805  1.6422  1.5622  1.4967  1.4204  1.3425
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  J   
  2.1537  2.1024  2.0533  2.0068  1.9635  1.9238  1.8879  1.8546  1.8190  1.7829
  1.7491  1.7192  1.6942  1.6733  1.6551  1.6111  1.5595  1.4966  1.4220
  2.1960  2.1407  2.0860  2.0324  1.9819  1.9352  1.8926  1.8534  1.8144  1.7754
  1.7385  1.7054  1.6772  1.6537  1.6337  1.5871  1.5339  1.4710  1.3992  1.3198
  2.2354  2.1804  2.1235  2.0665  2.0111  1.9586  1.9094  1.8639  1.8205  1.7783
  1.7382  1.7016  1.6698  1.6431  1.6206  1.5708  1.5163  1.4529  1.3813  1.3034
  1.2203
  2.2685  2.2161  2.1599  2.1021  2.0443  1.9879  1.9338  1.8828  1.8346  1.7887
  1.7453  1.7053  1.6697  1.6393  1.6137  1.5599  1.5040  1.4399  1.3683  1.2911
  1.2096  1.1247
  2.2930  2.2453  2.1921  2.1355  2.0775  2.0194  1.9625  1.9075  1.8550  1.8051
  1.7583  1.7148  1.6755  1.6412  1.6119  1.5528  1.4953  1.4307  1.3589  1.2819
  1.2013  1.1180  1.0326  0.9463
  2.2773  2.2615  2.2165  2.1642  2.1081  2.0503  1.9924  1.9354  1.8797  1.8264
  1.7760  1.7291  1.6862  1.6479  1.6148  1.5491  1.4894  1.4241  1.3522  1.2752
  1.1950  1.1125  1.0283  0.9430  0.8570  0.7701  0.6824  0.5936  0.5048  0.4193
  2.2301  2.2236  2.2050  2.1728  2.1292  2.0771  2.0207  1.9635  1.9066  1.8509
  1.7976  1.7474  1.7011  1.6591  1.6221  1.5487  1.4860  1.4197  1.3475  1.2705
  1.1904  1.1083  1.0247  0.9402  0.8552  0.7702  0.6850  0.5989  0.5117  0.4250
  0.3413
  2.1791  2.1664  2.1529  2.1349  2.1091  2.0748  2.0326  1.9836  1.9294  1.8746
  1.8206  1.7686  1.7196  1.6743  1.6335  1.5516  1.4851  1.4173  1.3446  1.2676
  1.1874  1.1052  1.0219  0.9376  0.8531  0.7688  0.6847  0.6009  0.5166  0.4315
  0.3465
  2.1621  2.1401  2.1185  2.0968  2.0734  2.0458  2.0134  1.9763  1.9332  1.8841
  1.8330  1.7831  1.7355  1.6902  1.6477  1.5576  1.4862  1.4165  1.3428  1.2653
  1.1848  1.1023  1.0186  0.9342  0.8495  0.7652  0.6816  0.5987  0.5161  0.4333
  0.3501
  2.1641  2.1362  2.1079  2.0795  2.0514  2.0226  1.9918  1.9581  1.9209  1.8796
  1.8340  1.7867  1.7409  1.6977  1.6577  1.5677  1.4906  1.4187  1.3439  1.2659
  1.1852  1.1023  1.0183  0.9336  0.8486  0.7640  0.6802  0.5975  0.5157  0.4337
  0.3541
  2.1709  2.1418  2.1103  2.0773  2.0442  2.0111  1.9779  1.9440  1.9083  1.8701
  1.8291  1.7857  1.7418  1.6996  1.6605  1.5751  1.4979  1.4231  1.3470  1.2682
  1.1871  1.1039  1.0195  0.9343  0.8489  0.7637  0.6793  0.5962  0.5144  0.4338
  0.3586
  2.1773  2.1471  2.1153  2.0817  2.0461  2.0099  1.9734  1.9370  1.9004  1.8631
