 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
  0.0890  0.0949  0.0895  0.0758  0.0576  0.0379  0.0179 -0.0021 -0.0221 -0.0427
 -0.0632
 -3.0409 -2.5885 -2.2389 -1.9422 -1.6786 -1.4407 -1.2283 -1.0429 -0.8838 -0.7470
 -0.6288 -0.5263 -0.4375 -0.3613 -0.2970 -0.1767 -0.0842 -0.0100  0.0426
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  r   
 -2.8359 -2.4691 -2.1560 -1.8930 -1.6510 -1.4370 -1.2659 -1.1151 -0.9821 -0.8687
 -0.7639 -0.6664 -0.5762 -0.4922 -0.4141 -0.2427 -0.1084 -0.0078  0.0639
 -2.7557 -2.4935 -2.1663 -1.8790 -1.6311 -1.4103 -1.2337 -1.0800 -0.9470 -0.8337
 -0.7301 -0.6347 -0.5464 -0.4645 -0.3882 -0.2232 -0.0958 -0.0035  0.0606  0.1051
 -2.6091 -2.4799 -2.1948 -1.8987 -1.6362 -1.4069 -1.2164 -1.0595 -0.9253 -0.8108
 -0.7085 -0.6148 -0.5285 -0.4486 -0.3743 -0.2143 -0.0918 -0.0040  0.0564  0.0978
  0.1253
 -2.4199 -2.2475 -2.1715 -1.9280 -1.6620 -1.4245 -1.2198 -1.0518 -0.9130 -0.7954
 -0.6936 -0.6012 -0.5166 -0.4384 -0.3660 -0.2105 -0.0917 -0.0065  0.0518  0.0912
  0.1172  0.1328
 -2.3068 -2.0480 -1.9209 -1.8745 -1.6877 -1.4532 -1.2406 -1.0589 -0.9095 -0.7863
 -0.6826 -0.5908 -0.5074 -0.4308 -0.3602 -0.2090 -0.0931 -0.0098  0.0472  0.0855
  0.1102  0.1246  0.1318  0.1347
 -2.3539 -2.0371 -1.7973 -1.6432 -1.5740 -1.4652 -1.2693 -1.0804 -0.9182 -0.7848
 -0.6749 -0.5823 -0.4993 -0.4239 -0.3547 -0.2075 -0.0947 -0.0129  0.0434  0.0807
  0.1044  0.1176  0.1233  0.1242  0.1213  0.1143  0.1009  0.0797  0.0534  0.0257
 -2.4456 -2.0898 -1.8043 -1.5807 -1.4172 -1.3089 -1.2291 -1.1015 -0.9399 -0.7942
 -0.6739 -0.5757 -0.4921 -0.4170 -0.3489 -0.2050 -0.0952 -0.0150  0.0408  0.0776
  0.1003  0.1123  0.1162  0.1152  0.1109  0.1034  0.0919  0.0750  0.0518  0.0226
 -0.0082
 -2.5692 -2.1841 -1.8637 -1.6030 -1.3947 -1.2323 -1.1057 -1.0072 -0.9189 -0.8083
 -0.6834 -0.5745 -0.4863 -0.4107 -0.3427 -0.2012 -0.0939 -0.0153  0.0399  0.0765
  0.0985  0.1091  0.1112  0.1076  0.1010  0.0919  0.0800  0.0652  0.0457  0.0198
 -0.0124
 -2.7056 -2.3022 -1.9578 -1.6667 -1.4271 -1.2333 -1.0767 -0.9472 -0.8380 -0.7456
 -0.6615 -0.5727 -0.4819 -0.4038 -0.3353 -0.1949 -0.0897 -0.0126  0.0420  0.0782
  0.0994  0.1088  0.1089  0.1025  0.0927  0.0809  0.0673  0.0515  0.0334  0.0112
 -0.0167
 -2.8518 -2.4385 -2.0789 -1.7679 -1.5011 -1.2793 -1.0978 -0.9480 -0.8216 -0.7120
 -0.6167 -0.5343 -0.4603 -0.3914 -0.3275 -0.1892 -0.0850 -0.0088  0.0455  0.0818
  0.1028  0.1113  0.1098  0.1009  0.0877  0.0723  0.0557  0.0379  0.0187 -0.0026
 -0.0269
 -3.0226 -2.5874 -2.2113 -1.8888 -1.6055 -1.3602 -1.1538 -0.9825 -0.8394 -0.7174
 -0.6114 -0.5186 -0.4376 -0.3674 -0.3077 -0.1814 -0.0788 -0.0031  0.0510  0.0877
  0.1089  0.1171  0.1144  0.1035  0.0870  0.0677  0.0472  0.0261  0.0044 -0.0182
 -0.0411
 -3.2181 -2.7488 -2.3525 -2.0180 -1.7250 -1.4669 -1.2406 -1.0473 -0.8849 -0.7476
 -0.6302 -0.5285 -0.4397 -0.3626 -0.2759 -0.1715 -0.0711  0.0045  0.0585
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  r   
 -2.7791 -2.4169 -2.1146 -1.8664 -1.6259 -1.4184 -1.2447 -1.0958 -0.9627 -0.8503
 -0.7458 -0.6492 -0.5601 -0.4776 -0.4009 -0.2316 -0.0971  0.0060  0.0820
 -2.8094 -2.4516 -2.1276 -1.8494 -1.6106 -1.3952 -1.2165 -1.0656 -0.9315 -0.8189
 -0.7156 -0.6208 -0.5335 -0.4526 -0.3773 -0.2129 -0.0827  0.0133  0.0798  0.1250
 -2.5883 -2.4831 -2.1591 -1.8716 -1.6170 -1.3929 -1.2039 -1.0483 -0.9130 -0.7987
