 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -0.0822 -0.0513 -0.0274 -0.0047  0.0212  0.0977  0.1631  0.2044  0.2233  0.2242
  0.2107  0.1859  0.1538  0.1186  0.0823  0.0455  0.0075 -0.0318 -0.0729 -0.1168
 -0.1651
 -0.9715 -0.7959 -0.6594 -0.5497 -0.4566 -0.3725 -0.2949 -0.2229 -0.1577 -0.1000
 -0.0502 -0.0086  0.0250  0.0507  0.0710  0.1184  0.1711  0.2100  0.2283  0.2295
  0.2163  0.1913  0.1575  0.1193  0.0800  0.0407  0.0014 -0.0383 -0.0787 -0.1204
 -0.1646
 -1.0168 -0.8066 -0.6485 -0.5244 -0.4262 -0.3443 -0.2713 -0.2041 -0.1416 -0.0841
 -0.0324  0.0130  0.0520  0.0846  0.1109  0.1563  0.1902  0.2196  0.2363  0.2375
  0.2248  0.2001  0.1655  0.1248  0.0820  0.0393 -0.0028 -0.0442 -0.0854 -0.1269
 -0.1686
 -1.1124 -0.8507 -0.6618 -0.5166 -0.4030 -0.3143 -0.2419 -0.1785 -0.1208 -0.0671
 -0.0171  0.0283  0.0689  0.1042  0.1342  0.1876  0.2181  0.2372  0.2478
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  i   
 -1.6189 -1.3831 -1.1725 -0.9978 -0.8445 -0.7056 -0.5962 -0.5022 -0.4234 -0.3491
 -0.2784 -0.2117 -0.1493 -0.0907 -0.0356  0.0873  0.1865  0.2571  0.2949
 -1.4527 -1.3908 -1.1819 -0.9923 -0.8314 -0.6912 -0.5774 -0.4833 -0.4028 -0.3292
 -0.2610 -0.1974 -0.1377 -0.0816 -0.0287  0.0886  0.1815  0.2452  0.2775  0.2823
 -1.2913 -1.3020 -1.1820 -1.0002 -0.8316 -0.6856 -0.5662 -0.4679 -0.3863 -0.3132
 -0.2475 -0.1867 -0.1298 -0.0763 -0.0257  0.0867  0.1752  0.2344  0.2637  0.2684
  0.2556
 -1.1579 -1.0569 -1.0604 -0.9906 -0.8385 -0.6905 -0.5630 -0.4582 -0.3727 -0.2994
 -0.2353 -0.1769 -0.1226 -0.0717 -0.0235  0.0841  0.1691  0.2253  0.2526  0.2572
  0.2454  0.2231
 -1.1193 -0.9649 -0.8575 -0.8270 -0.8057 -0.6940 -0.5669 -0.4549 -0.3633 -0.2880
 -0.2233 -0.1667 -0.1147 -0.0661 -0.0204  0.0822  0.1639  0.2179  0.2440  0.2484
  0.2374  0.2158  0.1883  0.1566
 -1.0967 -0.9357 -0.7972 -0.6898 -0.6276 -0.6074 -0.5564 -0.4569 -0.3598 -0.2789
 -0.2121 -0.1557 -0.1053 -0.0589 -0.0154  0.0820  0.1603  0.2123  0.2375  0.2419
  0.2312  0.2101  0.1828  0.1515  0.1168  0.0780  0.0342 -0.0150 -0.0679 -0.1198
 -1.0787 -0.9181 -0.7754 -0.6513 -0.5488 -0.4733 -0.4275 -0.3998 -0.3497 -0.2740
 -0.2031 -0.1444 -0.0947 -0.0498 -0.0083  0.0842  0.1588  0.2089  0.2335  0.2377
  0.2273  0.2062  0.1783  0.1468  0.1126  0.0754  0.0348 -0.0099 -0.0594 -0.1128
 -0.1657
 -1.0720 -0.9029 -0.7604 -0.6347 -0.5237 -0.4291 -0.3521 -0.2933 -0.2530 -0.2234
 -0.1849 -0.1327 -0.0828 -0.0390  0.0011  0.0891  0.1599  0.2079  0.2319  0.2362
  0.2258  0.2045  0.1757  0.1429  0.1080  0.0712  0.0318 -0.0101 -0.0554 -0.1049
 -0.1591
 -1.0820 -0.8940 -0.7447 -0.6192 -0.5086 -0.4106 -0.3246 -0.2515 -0.1913 -0.1436
 -0.1082 -0.0810 -0.0522 -0.0198  0.0149  0.0976  0.1647  0.2103  0.2333  0.2375
  0.2269  0.2051  0.1752  0.1404  0.1037  0.0659  0.0265 -0.0141 -0.0569 -0.1029
 -0.1529
 -1.1196 -0.9047 -0.7377 -0.6052 -0.4945 -0.3977 -0.3113 -0.2343 -0.1672 -0.1099
 -0.0619 -0.0233  0.0066  0.0305  0.0517  0.1103  0.1715  0.2150  0.2373  0.2416
  0.2313  0.2093  0.1784  0.1417  0.1025  0.0625  0.0220 -0.0191 -0.0612 -0.1048
 -0.1509
 -1.1917 -0.9403 -0.7484 -0.5982 -0.4797 -0.3824 -0.2976 -0.2219 -0.1539 -0.0935
 -0.0407  0.0044  0.0424  0.0735  0.0981  0.1429  0.1846  0.2229  0.2440  0.2483
  0.2384  0.2167  0.1853  0.1469  0.1050  0.0622  0.0193 -0.0234 -0.0662 -0.1096
 -0.1530
 -1.3094 -1.0079 -0.7836 -0.6094 -0.4731 -0.3666 -0.2804 -0.2063 -0.1405 -0.0810
 -0.0273  0.0201  0.0615  0.0969  0.1267  0.1788  0.2116  0.2367  0.2538
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  i   
 -1.5741 -1.3383 -1.1370 -0.9715 -0.8189 -0.6836 -0.5798 -0.4905 -0.4100 -0.3373
 -0.2687 -0.2036 -0.1429 -0.0860 -0.0328  0.0858  0.1793  0.2493  0.2993
 -1.5194 -1.3639 -1.1492 -0.9649 -0.8094 -0.6711 -0.5630 -0.4707 -0.3900 -0.3181
 -0.2516 -0.1895 -0.1314 -0.0769 -0.0256  0.0882  0.1801  0.2468  0.2846  0.2950
 -1.4057 -1.3491 -1.1673 -0.9751 -0.8093 -0.6671 -0.5499 -0.4549 -0.3744 -0.3023
 -0.2381 -0.1786 -0.1232 -0.0712 -0.0221  0.0872  0.1755  0.2383  0.2728  0.2818
  0.2718
 -1.2501 -1.1567 -1.1365 -0.9873 -0.8189 -0.6716 -0.5465 -0.4444 -0.3609 -0.2886
 -0.2258 -0.1686 -0.1157 -0.0662 -0.0195  0.0852  0.1705  0.2307  0.2631  0.2716
  0.2625  0.2413
 -1.1374 -0.9880 -0.9263 -0.9270 -0.8235 -0.6800 -0.5505 -0.4408 -0.3512 -0.2774
 -0.2138 -0.1583 -0.1075 -0.0603 -0.0160  0.0836  0.1659  0.2242  0.2554  0.2635
  0.2551  0.2350  0.2072  0.1750
 -1.1264 -0.9525 -0.8146 -0.7306 -0.7119 -0.6683 -0.5562 -0.4436 -0.3471 -0.2683
 -0.2026 -0.1471 -0.0980 -0.0528 -0.0107  0.0837  0.1625  0.2190  0.2494  0.2574
  0.2494  0.2300  0.2030  0.1711  0.1354  0.0957  0.0506 -0.0005 -0.0543 -0.1070
 -1.1293 -0.9460 -0.7908 -0.6644 -0.5724 -0.5218 -0.4974 -0.4391 -0.3485 -0.2638
 -0.1940 -0.1360 -0.0872 -0.0435 -0.0032  0.0862  0.1610  0.2155  0.2452  0.2533
  0.2455  0.2266  0.1997  0.1679  0.1329  0.0947  0.0525  0.0061 -0.0449 -0.0993
 -0.1527
 -1.1471 -0.9497 -0.7868 -0.6492 -0.5345 -0.4433 -0.3772 -0.3349 -0.3034 -0.2548
 -0.1882 -0.1269 -0.0759 -0.0328  0.0062  0.0913  0.1620  0.2142  0.2432  0.2514
  0.2438  0.2249  0.1977  0.1653  0.1299  0.0922  0.0517  0.0084 -0.0387 -0.0904
 -0.1455
 -1.1733 -0.9636 -0.7886 -0.6449 -0.5232 -0.4200 -0.3343 -0.2655 -0.2126 -0.1739
 -0.1425 -0.1066 -0.0622 -0.0196  0.0184  0.0999  0.1668  0.2161  0.2439  0.2519
  0.2442  0.2250  0.1973  0.1638  0.1271  0.0886  0.0483  0.0059 -0.0386 -0.0864
 -0.1384
 -1.2433 -1.0000 -0.8028 -0.6472 -0.5203 -0.4129 -0.3208 -0.2420 -0.1761 -0.1217
 -0.0780 -0.0439 -0.0163  0.0108  0.0385  0.1101  0.1733  0.2202  0.2469  0.2549
  0.2475  0.2282  0.2000  0.1654  0.1270  0.0868  0.0455  0.0031 -0.0407 -0.0864
 -0.1344
 -1.3400 -1.0613 -0.8363 -0.6596 -0.5209 -0.4089 -0.3143 -0.2324 -0.1615 -0.1004
 -0.0484 -0.0051  0.0306  0.0593  0.0830  0.1321  0.1833  0.2272  0.2527  0.2605
  0.2534  0.2343  0.2057  0.1702  0.1300  0.0876  0.0443  0.0005 -0.0438 -0.0890
 -0.1346
 -1.4633 -1.1476 -0.8914 -0.6905 -0.5317 -0.4076 -0.3082 -0.2248 -0.1527 -0.0894
 -0.0340  0.0138  0.0547  0.0893  0.1519  0.1659  0.1968  0.2371  0.2613
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  i   
 -1.5293 -1.2948 -1.1022 -0.9474 -0.7956 -0.6658 -0.5613 -0.4754 -0.3963 -0.3260
