 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  u   
 -4.6747 -4.4248 -4.1959 -3.9829 -3.7817 -3.3076 -2.8491 -2.4206 -2.0634 -1.7734
 -1.5358 -1.3469 -1.2071 -1.1131 -1.0558 -1.0249 -1.0122 -1.0115 -1.0188 -1.0311
 -1.0458
-10.4213 -9.6136 -8.8643 -8.1706 -7.5366 -6.9591 -6.4365 -5.9661 -5.5468 -5.1757
 -4.8475 -4.5563 -4.2948 -4.0565 -3.8269 -3.3085 -2.9135 -2.5014 -2.1225
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  u   
 -7.8013 -7.8301 -7.8526 -7.8645 -7.8633 -7.8374 -7.7794 -7.6875 -7.5260 -7.3862
 -7.1882 -6.9610 -6.7058 -6.4233 -6.1247 -5.3720
 -7.1631 -7.1961 -7.2212 -7.2346 -7.2331 -7.2104 -7.1600 -7.0767 -6.9551 -6.7936
 -6.5938 -6.3566 -6.0874 -5.7972 -5.4998 -4.7811 -4.1244 -3.5080 -2.9664
 -6.6116 -6.6379 -6.6590 -6.6702 -6.6672 -6.6458 -6.6006 -6.5251 -6.4144 -6.2648
 -6.0738 -5.8419 -5.5749 -5.2879 -4.9971 -4.3128 -3.7057 -3.1723 -2.7180 -2.3513
 -2.0712
 -6.1468 -6.1555 -6.1660 -6.1713 -6.1655 -6.1437 -6.1012 -6.0327 -5.9334 -5.7998
 -5.6282 -5.4169 -5.1683 -4.8954 -4.6166 -3.9671 -3.4061 -2.9249 -2.5224 -2.1986
 -1.9504 -1.7696 -1.6375
 -5.8373 -5.7932 -5.7739 -5.7633 -5.7498 -5.7254 -5.6843 -5.6216 -5.5331 -5.4157
 -5.2658 -5.0806 -4.8586 -4.6068 -4.3423 -3.7204 -3.1915 -2.7443 -2.3736 -2.0773
 -1.8500 -1.6859 -1.5701 -1.4854 -1.4202
 -5.8604 -5.6836 -5.5653 -5.4902 -5.4435 -5.4060 -5.3614 -5.3007 -5.2198 -5.1152
 -4.9841 -4.8233 -4.6294 -4.4029 -4.1550 -3.5530 -3.0431 -2.6168 -2.2644 -1.9836
 -1.7685 -1.6134 -1.5069 -1.4333 -1.3794 -1.3375
 -6.1186 -5.8476 -5.6227 -5.4461 -5.3156 -5.2236 -5.1546 -5.0875 -5.0036 -4.9011
 -4.7786 -4.6341 -4.4639 -4.2638 -4.0356 -3.4494 -2.9475 -2.5320 -2.1888 -1.9147
 -1.7044 -1.5519 -1.4485 -1.3801 -1.3338 -1.3005 -1.2746 -1.2527 -1.2309 -1.2033
 -6.4365 -6.1048 -5.8143 -5.5654 -5.3594 -5.1931 -5.0617 -4.9619 -4.8810 -4.7889
 -4.6679 -4.5216 -4.3565 -4.1722 -3.9665 -3.3977 -2.8951 -2.4825 -2.1425 -1.8684
 -1.6569 -1.5017 -1.3959 -1.3278 -1.2843 -1.2563 -1.2372 -1.2232 -1.2114 -1.1989
 -1.1803
 -6.8361 -6.4302 -6.0767 -5.7684 -5.5016 -5.2757 -5.0875 -4.9319 -4.8030 -4.6921
 -4.5860 -4.4670 -4.3171 -4.1362 -3.9367 -3.3892 -2.8804 -2.4634 -2.1218 -1.8435
 -1.6256 -1.4631 -1.3501 -1.2775 -1.2332 -1.2069 -1.1919 -1.1834 -1.1779 -1.1745
 -1.1688
 -7.4000 -6.8719 -6.4308 -6.0512 -5.7227 -5.4387 -5.1950 -4.9877 -4.8114 -4.6587
 -4.5200 -4.3872 -4.2531 -4.1070 -3.9341 -3.4110 -2.8948 -2.4679 -2.1203 -1.8357
 -1.6083 -1.4347 -1.3106 -1.2295 -1.1808 -1.1536 -1.1403 -1.1353 -1.1352 -1.1373
 -1.1398
 -8.1691 -7.5135 -6.9473 -6.4656 -6.0535 -5.6993 -5.3937 -5.1293 -4.9006 -4.7019
 -4.5253 -4.3629 -4.2074 -4.0544 -3.8996 -3.4527 -2.9459 -2.5040 -2.1455 -1.8518
 -1.6126 -1.4246 -1.2852 -1.1901 -1.1315 -1.0990 -1.0840 -1.0798 -1.0825 -1.0891
 -1.0970
 -9.1349 -8.3485 -7.6559 -7.0499 -6.5281 -6.0808 -5.6958 -5.3629 -5.0733 -4.8207
 -4.5981 -4.3988 -4.2156 -4.0424 -3.8750 -3.4624 -3.0111 -2.5641 -2.1902 -1.8849
 -1.6335 -1.4308 -1.2745 -1.1623 -1.0892 -1.0467 -1.0260 -1.0196 -1.0226 -1.0313
 -1.0431
-10.1707 -9.2969 -8.4986 -7.7862 -7.1535 -6.6014 -6.1217 -5.7045 -5.3415 -5.0246
 -4.7468 -4.5012 -4.2812 -4.0804 -3.8603 -3.4401 -3.0904 -2.6482 -2.2544
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  u   
 -7.8833 -7.9115 -7.9315 -7.9382 -7.9299 -7.8947 -7.8225 -7.7139 -7.5429 -7.3993
 -7.2158 -7.0125 -6.7827 -6.5253 -6.2435 -5.5038
 -7.2546 -7.2870 -7.3101 -7.3201 -7.3140 -7.2853 -7.2273 -7.1351 -7.0065 -6.8462
 -6.6586 -6.4427 -6.1975 -5.9281 -5.6435 -4.9312 -4.2593 -3.6405 -3.0891
 -6.7076 -6.7355 -6.7565 -6.7665 -6.7615 -6.7374 -6.6897 -6.6113 -6.4986 -6.3514
 -6.1701 -5.9555 -5.7094 -5.4400 -5.1596 -4.4772 -3.8549 -3.3037 -2.8313 -2.4450
 -2.1470
 -6.2423 -6.2570 -6.2707 -6.2774 -6.2723 -6.2511 -6.2097 -6.1425 -6.0452 -5.9149
 -5.7503 -5.5509 -5.3184 -5.0610 -4.7918 -4.1418 -3.5621 -3.0579 -2.6336 -2.2900
 -2.0231 -1.8273 -1.6817
 -5.9081 -5.8856 -5.8782 -5.8740 -5.8645 -5.8434 -5.8059 -5.7472 -5.6631 -5.5500
 -5.4054 -5.2276 -5.0164 -4.7770 -4.5217 -3.8996 -3.3513 -2.8792 -2.4843 -2.1671
 -1.9213 -1.7407 -1.6111 -1.5169 -1.4449
 -5.8517 -5.7164 -5.6314 -5.5823 -5.5518 -5.5237 -5.4858 -5.4318 -5.3572 -5.2585
 -5.1325 -4.9769 -4.7894 -4.5714 -4.3316 -3.7312 -3.2030 -2.7522 -2.3750 -2.0724
 -1.8387 -1.6669 -1.5471 -1.4637 -1.4028 -1.3549
 -6.0852 -5.8339 -5.6350 -5.4879 -5.3852 -5.3136 -5.2595 -5.2020 -5.1293 -5.0381
 -4.9252 -4.7878 -4.6227 -4.4274 -4.2057 -3.6229 -3.1048 -2.6667 -2.2993 -2.0032
 -1.7743 -1.6050 -1.4876 -1.4090 -1.3554 -1.3163 -1.2860 -1.2604 -1.2351 -1.2046
 -6.4057 -6.0853 -5.8080 -5.5761 -5.3889 -5.2421 -5.1318 -5.0530 -4.9850 -4.8996
 -4.7898 -4.6583 -4.5059 -4.3303 -4.1284 -3.5650 -3.0492 -2.6157 -2.2529 -1.9572
 -1.7270 -1.5553 -1.4350 -1.3559 -1.3048 -1.2711 -1.2478 -1.2301 -1.2153 -1.2002
 -1.1788
 -6.7997 -6.4054 -6.0625 -5.7648 -5.5110 -5.2993 -5.1257 -4.9857 -4.8756 -4.7840
 -4.6930 -4.5836 -4.4431 -4.2755 -4.0876 -3.5494 -3.0312 -2.5955 -2.2324 -1.9334
