 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  g   
 -2.0211 -1.8941 -1.7724 -1.6543 -1.5333 -1.2202 -0.9670 -0.7832 -0.6450 -0.5373
 -0.4522 -0.3822 -0.3209 -0.2646 -0.2115 -0.1607 -0.1128 -0.0680 -0.0272  0.0080
  0.0320
 -4.3092 -3.9443 -3.6235 -3.3389 -3.0869 -2.8625 -2.6611 -2.4786 -2.3120 -2.1590
 -2.0166 -1.8827 -1.7553 -1.6339 -1.5175 -1.2270 -0.9742 -0.7842 -0.6450 -0.5386
 -0.4564 -0.3918 -0.3376 -0.2889 -0.2429 -0.1987 -0.1562 -0.1155 -0.0774 -0.0431
 -0.0152
 -4.2445 -3.9154 -3.6187 -3.3522 -3.1120 -2.8937 -2.6934 -2.5086 -2.3375 -2.1785
 -2.0300 -1.8905 -1.7585 -1.6331 -1.5139 -1.2337 -0.9885 -0.7932 -0.6492 -0.5414
 -0.4594 -0.3971 -0.3481 -0.3064 -0.2682 -0.2315 -0.1959 -0.1612 -0.1277 -0.0963
 -0.0669
 -4.1685 -3.8682 -3.5948 -3.3462 -3.1200 -2.9121 -2.7183 -2.5360 -2.3642 -2.2024
 -2.0502 -1.9069 -1.7715 -1.6430 -1.5208 -1.2402 -1.0002 -0.8047 -0.6556 -0.5448
 -0.4616 -0.3992 -0.3525 -0.3160 -0.2848 -0.2560 -0.2283 -0.2008 -0.1736 -0.1472
 -0.1224
 -4.0836 -3.8098 -3.5578 -3.3256 -3.1111 -2.9126 -2.7277 -2.5523 -2.3843 -2.2237
 -2.0707 -1.9256 -1.7882 -1.6580 -1.5382 -1.2465 -1.0093 -0.8187 -0.6642
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  g   
 -6.2715 -6.0082 -5.7520 -5.4905 -5.2320 -4.9348 -4.5770 -4.1639 -3.7877 -3.4612
 -3.1670 -2.8993 -2.6561 -2.4362 -2.2360 -1.8063
 -5.7519 -5.4404 -5.1541 -4.8823 -4.6208 -4.3483 -4.0425 -3.7053 -3.3978 -3.1231
 -2.8678 -2.6245 -2.3945 -2.1841 -1.9949 -1.6006 -1.2762 -0.9939 -0.7529
 -5.3496 -4.9996 -4.6858 -4.4012 -4.1372 -3.8836 -3.6206 -3.3432 -3.0879 -2.8544
 -2.6328 -2.4148 -2.2008 -1.9998 -1.8185 -1.4480 -1.1576 -0.9143 -0.7057 -0.5314
 -0.3873
 -5.0646 -4.6858 -4.3471 -4.0472 -3.7812 -3.5407 -3.3113 -3.0776 -2.8580 -2.6551
 -2.4620 -2.2702 -2.0750 -1.8833 -1.7068 -1.3485 -1.0780 -0.8596 -0.6752 -0.5192
 -0.3893 -0.2793 -0.1842
 -4.8235 -4.4148 -4.0830 -3.7903 -3.5260 -3.2907 -3.0790 -2.8766 -2.6836 -2.5037
 -2.3332 -2.1653 -1.9925 -1.8140 -1.6422 -1.2886 -1.0279 -0.8246 -0.6570 -0.5155
 -0.3965 -0.2949 -0.2059 -0.1264 -0.0548
 -4.6723 -4.2311 -3.8651 -3.5618 -3.3094 -3.0980 -2.9144 -2.7350 -2.5596 -2.3934
 -2.2365 -2.0854 -1.9335 -1.7733 -1.6091 -1.2570 -0.9990 -0.8039 -0.6475 -0.5171
 -0.4075 -0.3137 -0.2308 -0.1563 -0.0883 -0.0264
 -4.6584 -4.1856 -3.7826 -3.4455 -3.1681 -2.9405 -2.7547 -2.6018 -2.4648 -2.3269
 -2.1794 -2.0323 -1.8895 -1.7462 -1.5948 -1.2449 -0.9847 -0.7927 -0.6431 -0.5213
 -0.4199 -0.3335 -0.2571 -0.1878 -0.1240 -0.0652 -0.0116  0.0373  0.0791  0.1039
 -4.7127 -4.2172 -3.7917 -3.4342 -3.1368 -2.8911 -2.6876 -2.5166 -2.3697 -2.2421
 -2.1255 -2.0030 -1.8683 -1.7295 -1.5893 -1.2463 -0.9810 -0.7878 -0.6417 -0.5257
 -0.4311 -0.3518 -0.2824 -0.2192 -0.1604 -0.1055 -0.0548 -0.0084  0.0332  0.0665
  0.0828
 -4.8011 -4.2940 -3.8528 -3.4779 -3.1641 -2.9024 -2.6830 -2.4974 -2.3379 -2.1972
 -2.0697 -1.9522 -1.8390 -1.7193 -1.5899 -1.2575 -0.9856 -0.7878 -0.6417 -0.5291
 -0.4387 -0.3666 -0.3041 -0.2477 -0.1951 -0.1453 -0.0986 -0.0542 -0.0143  0.0188
  0.0434
 -4.8749 -4.3789 -3.9329 -3.5497 -3.2235 -2.9480 -2.7147 -2.5150 -2.3420 -2.1896
 -2.0520 -1.9247 -1.8048 -1.6907 -1.5772 -1.2713 -0.9950 -0.7902 -0.6416 -0.5300
 -0.4435 -0.3754 -0.3194 -0.2703 -0.2248 -0.1814 -0.1401 -0.1009 -0.0643 -0.0315
 -0.0041
 -4.9173 -4.4468 -4.0177 -3.6372 -3.3063 -3.0213 -2.7761 -2.5637 -2.3777 -2.2127
 -2.0641 -1.9279 -1.8004 -1.6797 -1.5647 -1.2833 -1.0154 -0.8009 -0.6461 -0.5324
 -0.4465 -0.3807 -0.3294 -0.2869 -0.2488 -0.2129 -0.1784 -0.1449 -0.1130 -0.0832
 -0.0554
 -4.9226 -4.4861 -4.0836 -3.7153 -3.3898 -3.1030 -2.8512 -2.6291 -2.4320 -2.2557
 -2.0961 -1.9502 -1.8149 -1.6880 -1.5677 -1.2889 -1.0348 -0.8181 -0.6544 -0.5359
 -0.4484 -0.3829 -0.3339 -0.2962 -0.2648 -0.2364 -0.2096 -0.1832 -0.1574 -0.1325
 -0.1093
 -4.8858 -4.4891 -4.1181 -3.7728 -3.4596 -3.1785 -2.9269 -2.7005 -2.4961 -2.3107
 -2.1416 -1.9868 -1.8437 -1.7102 -1.5862 -1.2881 -1.0532 -0.8418 -0.6665
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  g   
 -6.9269 -6.7260 -6.5244 -6.3045 -6.0845 -5.7542 -5.2328 -4.5388 -3.9765 -3.4162
 -3.0550 -2.7645 -2.5201 -2.3057 -2.1145 -1.7154
 -6.3655 -6.1321 -5.9081 -5.6778 -5.4330 -5.1163 -4.6681 -4.0932 -3.5678 -3.1529
 -2.8255 -2.5528 -2.3169 -2.1086 -1.9233 -1.5434 -1.2457 -0.9879 -0.7605
 -5.9155 -5.6487 -5.3988 -5.1540 -4.8962 -4.5988 -4.2183 -3.7461 -3.3112 -2.9506
 -2.6532 -2.3982 -2.1720 -1.9694 -1.7882 -1.4196 -1.1382 -0.9081 -0.7107 -0.5394
 -0.3933
 -5.5769 -5.2758 -4.9965 -4.7331 -4.4742 -4.2017 -3.8834 -3.4975 -3.1281 -2.8093
 -2.5381 -2.3007 -2.0854 -1.8881 -1.7092 -1.3440 -1.0719 -0.8572 -0.6780 -0.5236
 -0.3908 -0.2776 -0.1800
 -5.3337 -5.0040 -4.6962 -4.4096 -4.1407 -3.8808 -3.6116 -3.2984 -2.9836 -2.7011
 -2.4548 -2.2359 -2.0342 -1.8445 -1.6681 -1.3023 -1.0324 -0.8259 -0.6582 -0.5162
 -0.3942 -0.2892 -0.1980 -0.1177 -0.0456
 -5.1074 -4.7646 -4.4564 -4.1664 -3.8895 -3.6290 -3.3824 -3.1268 -2.8601 -2.6108
 -2.3878 -2.1873 -2.0012 -1.8227 -1.6514 -1.2840 -1.0116 -0.8081 -0.6475 -0.5144
 -0.4013 -0.3041 -0.2192 -0.1437 -0.0758 -0.0141
 -4.9802 -4.5655 -4.2098 -3.9055 -3.6423 -3.4083 -3.1885 -2.9729 -2.7500 -2.5319
 -2.3301 -2.1463 -1.9755 -1.8109 -1.6484 -1.2817 -1.0040 -0.7996 -0.6426 -0.5158
 -0.4100 -0.3198 -0.2415 -0.1715 -0.1078 -0.0497  0.0030  0.0513  0.0920  0.1164
 -4.9780 -4.5103 -4.1012 -3.7500 -3.4521 -3.1983 -2.9803 -2.7919 -2.6196 -2.4510
 -2.2809 -2.1137 -1.9541 -1.8012 -1.6510 -1.2905 -1.0061 -0.7976 -0.6414 -0.5185
 -0.4184 -0.3347 -0.2628 -0.1990 -0.1405 -0.0866 -0.0373  0.0077  0.0482  0.0807
  0.0975
 -5.0649 -4.5546 -4.1042 -3.7150 -3.3833 -3.1042 -2.8689 -2.6681 -2.4926 -2.3370
 -2.1987 -2.0690 -1.9354 -1.7955 -1.6543 -1.3073 -1.0162 -0.8011 -0.6428 -0.5215
 -0.4253 -0.3471 -0.2814 -0.2240 -0.1718 -0.1230 -0.0779 -0.0362  0.0012  0.0344
  0.0586
 -5.2154 -4.6658 -4.1808 -3.7580 -3.3964 -3.0915 -2.8357 -2.6202 -2.4360 -2.2753
 -2.1323 -2.0035 -1.8856 -1.7711 -1.6500 -1.3255 -1.0303 -0.8074 -0.6445 -0.5230
 -0.4292 -0.3549 -0.2947 -0.2439 -0.1985 -0.1561 -0.1165 -0.0791 -0.0447 -0.0138
  0.0120
 -5.3850 -4.8274 -4.3169 -3.8666 -3.4775 -3.1468 -2.8685 -2.6342 -2.4352 -2.2641
 -2.1138 -1.9789 -1.8551 -1.7394 -1.6289 -1.3434 -1.0545 -0.8220 -0.6518 -0.5269
 -0.4330 -0.3607 -0.3044 -0.2592 -0.2205 -0.1852 -0.1521 -0.1205 -0.0906 -0.0632
 -0.0388
 -5.5253 -4.9780 -4.4721 -4.0083 -3.5997 -3.2475 -2.9477 -2.6933 -2.4767 -2.2905
 -2.1279 -1.9836 -1.8526 -1.7311 -1.6164 -1.3473 -1.0807 -0.8430 -0.6633 -0.5325
 -0.4362 -0.3641 -0.3097 -0.2684 -0.2355 -0.2072 -0.1813 -0.1565 -0.1327 -0.1101
 -0.0892
 -5.6052 -5.0955 -4.6062 -4.1519 -3.7381 -3.3738 -3.0583 -2.7863 -2.5522 -2.3494
 -2.1719 -2.0147 -1.8732 -1.7438 -1.6125 -1.3372 -1.1089 -0.8704 -0.6790
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  g   
 -7.1333 -6.9521 -6.7690 -6.5667 -6.3693 -6.0367 -5.4638 -4.6772 -4.0284 -3.4143
 -3.0330 -2.7356 -2.4891 -2.2762 -2.0872 -1.6950
 -6.5744 -6.3622 -6.1587 -5.9470 -5.7180 -5.3980 -4.9098 -4.2546 -3.6459 -3.1784
 -2.8262 -2.5442 -2.3059 -2.0981 -1.9137 -1.5368 -1.2416 -0.9914 -0.7690
 -6.1204 -5.8754 -5.6466 -5.4204 -5.1748 -4.8745 -4.4633 -3.9239 -3.4146 -3.0012
 -2.6748 -2.4070 -2.1767 -1.9734 -1.7921 -1.4234 -1.1429 -0.9146 -0.7183 -0.5469
 -0.3990
 -5.7713 -5.4917 -5.2327 -4.9869 -4.7397 -4.4662 -4.1243 -3.6851 -3.2528 -2.8827
 -2.5788 -2.3240 -2.1015 -1.9021 -1.7224 -1.3548 -1.0805 -0.8649 -0.6847 -0.5294
 -0.3945 -0.2790 -0.1791
 -5.5163 -5.2048 -4.9142 -4.6429 -4.3847 -4.1259 -3.8415 -3.4884 -3.1219 -2.7927
 -2.5121 -2.2719 -2.0590 -1.8650 -1.6871 -1.3176 -1.0434 -0.8340 -0.6641 -0.5201
 -0.3959 -0.2886 -0.1950 -0.1126 -0.0396
 -5.2940 -4.9735 -4.6716 -4.3838 -4.1095 -3.8490 -3.5937 -3.3112 -3.0042 -2.7146
 -2.4587 -2.2348 -2.0341 -1.8481 -1.6740 -1.3022 -1.0241 -0.8163 -0.6525 -0.5166
 -0.4010 -0.3013 -0.2146 -0.1379 -0.0693 -0.0074
 -5.1106 -4.7249 -4.3982 -4.1165 -3.8629 -3.6204 -3.3819 -3.1445 -2.8909 -2.6400
 -2.4095 -2.2031 -2.0160 -1.8410 -1.6736 -1.3017 -1.0175 -0.8078 -0.6468 -0.5166
 -0.4078 -0.3150 -0.2346 -0.1635 -0.0994 -0.0412  0.0115  0.0592  0.0994  0.1232
 -5.0740 -4.6228 -4.2299 -3.8957 -3.6106 -3.3634 -3.1466 -2.9513 -2.7584 -2.5588
 -2.3606 -2.1730 -1.9995 -1.8366 -1.6789 -1.3118 -1.0209 -0.8062 -0.6452 -0.5184
 -0.4149 -0.3282 -0.2540 -0.1888 -0.1300 -0.0763 -0.0275  0.0172  0.0569  0.0887
  0.1051
 -5.1392 -4.6396 -4.1982 -3.8159 -3.4907 -3.2153 -2.9800 -2.7754 -2.5932 -2.4278
 -2.2772 -2.1313 -1.9821 -1.8320 -1.6846 -1.3295 -1.0322 -0.8104 -0.6466 -0.5211
 -0.4211 -0.3393 -0.2709 -0.2120 -0.1593 -0.1108 -0.0663 -0.0254  0.0121  0.0437
  0.0676
