 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  i   
 -1.2038 -0.9971 -0.8124 -0.6457 -0.4993 -0.3729 -0.2665 -0.1784 -0.1061 -0.0466
  0.0028  0.0442  0.0791  0.1081  0.1315  0.1661  0.1849  0.2036  0.2151  0.2143
  0.2022  0.1796  0.1484  0.1107  0.0697  0.0280 -0.0133 -0.0541 -0.0945 -0.1352
 -0.1767
 -1.2287 -1.0133 -0.8232 -0.6554 -0.5062 -0.3767 -0.2668 -0.1750 -0.0994 -0.0372
  0.0145  0.0576  0.0938  0.1245  0.1482  0.2163  0.2167  0.2169  0.2259
 [Fe/H] = -0.50 [alpha/Fe] = 0.20 BC value =  i   
 -2.6339 -2.5218 -2.4025 -2.2640 -2.1081 -1.8785 -1.5433 -1.1473 -0.7890 -0.5266
 -0.3365 -0.2182 -0.1276 -0.0546  0.0063  0.1279
 -2.3073 -2.1858 -2.0698 -1.9469 -1.8075 -1.6196 -1.3506 -1.0064 -0.6975 -0.4715
 -0.3152 -0.2029 -0.1167 -0.0475  0.0102  0.1229  0.2044  0.2591  0.2880
 -2.0413 -1.9071 -1.7887 -1.6745 -1.5506 -1.3984 -1.1872 -0.9106 -0.6515 -0.4481
 -0.3019 -0.1941 -0.1108 -0.0440  0.0115  0.1177  0.1928  0.2423  0.2676  0.2717
  0.2604
 -1.8359 -1.6857 -1.5592 -1.4468 -1.3373 -1.2150 -1.0531 -0.8356 -0.6175 -0.4352
