 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -4.2772 -4.0268 -3.7624 -3.5193 -3.2877 -2.7482 -2.2582 -1.8162 -1.4221 -1.0705
 -0.7553 -0.4782 -0.2503 -0.0769  0.0545  0.1587  0.2446  0.3178  0.3805  0.4343
  0.4803
 -9.8357 -8.6415 -7.5192 -6.5647 -5.8250 -5.2840 -4.8971 -4.6155 -4.3966 -4.2144
 -4.0582 -3.9134 -3.7441 -3.5482 -3.3358 -2.7910 -2.2877 -1.8371 -1.4422 -1.0934
 -0.7835 -0.5117 -0.2860 -0.1125  0.0167  0.1156  0.1944  0.2600  0.3150  0.3607
  0.3982
-10.3118 -9.2013 -8.0946 -7.0770 -6.2144 -5.5350 -5.0237 -4.6446 -4.3589 -4.1304
 -3.9347 -3.7617 -3.6061 -3.4536 -3.3008 -2.8552 -2.3495 -1.8881 -1.4873 -1.1371
 -0.8277 -0.5570 -0.3308 -0.1546 -0.0244  0.0719  0.1455  0.2040  0.2518  0.2927
  0.3227
-10.6925 -9.6952 -8.6453 -7.6261 -6.7050 -5.9243 -5.2957 -4.8086 -4.4359 -4.1469
 -3.9122 -3.7102 -3.5290 -3.3617 -3.2046 -2.8392 -2.4202 -1.9589 -1.5487 -1.1930
 -0.8807 -0.6078 -0.3787 -0.1983 -0.0646  0.0316  0.1017  0.1548  0.1962  0.2286
  0.2558
-10.9689-10.0921 -9.1298 -8.1523 -7.2248 -6.3919 -5.6795 -5.0946 -4.6286 -4.2619
 -3.9700 -3.7304 -3.5238 -3.3372 -3.1626 -2.7760 -2.4225 -2.0337 -1.6247
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F390M
-10.3209 -9.4671 -8.5509 -7.6669 -6.9023 -6.3476 -5.9919 -5.7170 -5.4782 -5.2797
 -5.0851 -4.8922 -4.7031 -4.5168 -4.3332 -3.8756 -3.3969 -2.8959 -2.3773
 -9.4289 -8.9799 -8.3500 -7.5855 -6.8034 -6.1637 -5.7423 -5.4304 -5.1742 -4.9606
 -4.7559 -4.5571 -4.3636 -4.1743 -3.9877 -3.5291 -3.0696 -2.5972 -2.1059 -1.6018
 -8.6729 -8.3676 -7.9680 -7.4766 -6.8147 -6.1217 -5.5969 -5.2314 -4.9502 -4.7160
 -4.5024 -4.2980 -4.1009 -3.9094 -3.7220 -3.2653 -2.8147 -2.3615 -1.9048 -1.4532
 -1.0218
 -8.0919 -7.6125 -7.4452 -7.1628 -6.7658 -6.1919 -5.5905 -5.1355 -4.8080 -4.5469
 -4.3223 -4.1108 -3.9088 -3.7141 -3.5248 -3.0689 -2.6256 -2.1880 -1.7582 -1.3439
 -0.9510 -0.5970
 -7.8802 -7.1167 -6.7804 -6.6780 -6.4878 -6.1689 -5.6852 -5.1631 -4.7569 -4.4557
 -4.2109 -3.9905 -3.7819 -3.5823 -3.3895 -2.9304 -2.4907 -2.0645 -1.6545 -1.2672
 -0.9042 -0.5736 -0.2990 -0.0844
 -8.1622 -7.1396 -6.4768 -6.1259 -6.0005 -5.8921 -5.6530 -5.2661 -4.8153 -4.4457
 -4.1635 -3.9298 -3.7135 -3.5079 -3.3103 -2.8434 -2.4031 -1.9833 -1.5869 -1.2185
 -0.8777 -0.5667 -0.3022 -0.0951  0.0671  0.2008  0.3168  0.4223  0.5176  0.5970
 -8.6969 -7.4639 -6.5642 -5.9689 -5.6112 -5.4258 -5.3282 -5.1820 -4.9026 -4.5306
 -4.1882 -3.9218 -3.6954 -3.4832 -3.2803 -2.8032 -2.3580 -1.9395 -1.5511 -1.1950
 -0.8696 -0.5739 -0.3183 -0.1153  0.0407  0.1650  0.2689  0.3583  0.4377  0.5092
  0.5702
 -9.3406 -8.0220 -6.9168 -6.1113 -5.5616 -5.2027 -4.9744 -4.8276 -4.7110 -4.5451
 -4.2813 -3.9732 -3.7195 -3.4995 -3.2911 -2.8034 -2.3504 -1.9288 -1.5434 -1.1943
 -0.8779 -0.5933 -0.3451 -0.1447  0.0081  0.1261  0.2211  0.3008  0.3685  0.4264
  0.4769
-10.1382 -8.6796 -7.4666 -6.4753 -5.7435 -5.2274 -4.8708 -4.6210 -4.4362 -4.2904
 -4.1577 -3.9975 -3.7732 -3.5432 -3.3298 -2.8329 -2.3707 -1.9424 -1.5553 -1.2087
 -0.8975 -0.6189 -0.3766 -0.1786 -0.0273  0.0865  0.1750  0.2464  0.3060  0.3554
  0.3955
