 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -4.2957 -3.7766 -3.3063 -2.8802 -2.5023 -2.1800 -1.9144 -1.6990 -1.5224 -1.3736
 -1.2434 -1.1270 -1.0220 -0.9284 -0.8441 -0.6537 -0.4802 -0.3376 -0.2262 -0.1425
 -0.0823 -0.0410 -0.0148  0.0003  0.0085  0.0133  0.0165  0.0191  0.0210  0.0220
  0.0227
 -4.4861 -3.9597 -3.4930 -3.0663 -2.6780 -2.3323 -2.0343 -1.7852 -1.5804 -1.4110
 -1.2680 -1.1440 -1.0338 -0.9348 -0.8458 -0.6568 -0.4943 -0.3501 -0.2336
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F555W
 -3.9215 -3.4513 -3.0734 -2.7672 -2.4888 -2.2361 -2.0219 -1.8241 -1.6444 -1.4909
 -1.3470 -1.2129 -1.0901 -0.9786 -0.8781 -0.6680 -0.4965 -0.3547 -0.2385
 -3.8355 -3.4718 -3.0659 -2.7276 -2.4412 -2.1839 -1.9669 -1.7685 -1.5900 -1.4357
 -1.2920 -1.1590 -1.0373 -0.9269 -0.8277 -0.6237 -0.4655 -0.3350 -0.2226 -0.1245
 -3.6704 -3.4742 -3.1017 -2.7410 -2.4328 -2.1658 -1.9376 -1.7395 -1.5624 -1.4065
 -1.2639 -1.1319 -1.0106 -0.9005 -0.8013 -0.5987 -0.4441 -0.3190 -0.2130 -0.1221
 -0.0456
 -3.4556 -3.2194 -3.0970 -2.7826 -2.4598 -2.1786 -1.9362 -1.7305 -1.5520 -1.3942
 -1.2524 -1.1213 -1.0004 -0.8901 -0.7903 -0.5862 -0.4323 -0.3099 -0.2081 -0.1221
 -0.0504  0.0083
 -3.3373 -2.9965 -2.8230 -2.7434 -2.5006 -2.2137 -1.9588 -1.7401 -1.5544 -1.3936
 -1.2515 -1.1211 -1.0007 -0.8901 -0.7896 -0.5824 -0.4269 -0.3053 -0.2061 -0.1236
 -0.0558 -0.0008  0.0445  0.0835
 -3.4222 -2.9982 -2.6886 -2.4901 -2.3904 -2.2422 -1.9987 -1.7686 -1.5707 -1.4030
 -1.2574 -1.1276 -1.0076 -0.8971 -0.7959 -0.5852 -0.4264 -0.3040 -0.2060 -0.1260
 -0.0612 -0.0093  0.0327  0.0679  0.0979  0.1229  0.1414  0.1520  0.1553  0.1520
 -3.5805 -3.0881 -2.7091 -2.4243 -2.2197 -2.0805 -1.9714 -1.8055 -1.6042 -1.4235
 -1.2709 -1.1387 -1.0192 -0.9087 -0.8071 -0.5930 -0.4300 -0.3051 -0.2068 -0.1283
 -0.0658 -0.0166  0.0221  0.0538  0.0808  0.1036  0.1220  0.1347  0.1402  0.1380
  0.1292
