 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F125W
 -1.0358 -1.0368 -1.0616 -1.1023 -1.0863 -1.0643 -1.0527 -1.0477 -1.0470 -1.0470
 -1.0485 -1.0532 -1.0614 -1.0733 -1.0887 -1.1378 -1.1972 -1.2647 -1.3394 -1.4208
 -1.5075 -1.5962
 -1.0112 -1.0148 -1.0142 -1.0246 -1.0565 -1.0715 -1.0586 -1.0511 -1.0504 -1.0527
 -1.0551 -1.0602 -1.0686 -1.0807 -1.0962 -1.1464 -1.2067 -1.2746 -1.3491 -1.4298
 -1.5153 -1.6029 -1.6905 -1.7779
 -0.9763 -0.9923 -0.9965 -0.9974 -1.0031 -1.0198 -1.0455 -1.0541 -1.0519 -1.0542
 -1.0588 -1.0645 -1.0731 -1.0852 -1.1008 -1.1517 -1.2129 -1.2812 -1.3559 -1.4363
 -1.5212 -1.6083 -1.6954 -1.7818 -1.8678 -1.9540 -2.0411 -2.1295 -2.2184 -2.3044
 -0.9312 -0.9597 -0.9753 -0.9821 -0.9861 -0.9923 -1.0033 -1.0212 -1.0419 -1.0532
 -1.0591 -1.0663 -1.0754 -1.0875 -1.1030 -1.1543 -1.2164 -1.2852 -1.3601 -1.4404
 -1.5250 -1.6122 -1.6994 -1.7856 -1.8708 -1.9556 -2.0403 -2.1254 -2.2117 -2.2987
 -2.3835
 -0.8778 -0.9171 -0.9444 -0.9615 -0.9718 -0.9795 -0.9883 -0.9994 -1.0137 -1.0317
 -1.0502 -1.0644 -1.0756 -1.0879 -1.1033 -1.1548 -1.2176 -1.2870 -1.3620 -1.4422
 -1.5267 -1.6142 -1.7021 -1.7889 -1.8742 -1.9583 -2.0419 -2.1249 -2.2081 -2.2924
 -2.3779
 -0.8196 -0.8672 -0.9042 -0.9316 -0.9509 -0.9649 -0.9767 -0.9886 -1.0019 -1.0167
 -1.0333 -1.0517 -1.0696 -1.0858 -1.1023 -1.1536 -1.2173 -1.2873 -1.3627 -1.4429
 -1.5275 -1.6153 -1.7043 -1.7924 -1.8787 -1.9632 -2.0464 -2.1286 -2.2102 -2.2918
 -2.3743
 -0.7599 -0.8118 -0.8565 -0.8929 -0.9213 -0.9434 -0.9611 -0.9767 -0.9921 -1.0079
 -1.0246 -1.0423 -1.0610 -1.0802 -1.0996 -1.1513 -1.2144 -1.2849 -1.3604 -1.4405
 -1.5248 -1.6126 -1.7024 -1.7920 -1.8798 -1.9654 -2.0491 -2.1311 -2.2119 -2.2919
 -2.3717
 -0.7024 -0.7560 -0.8048 -0.8476 -0.8838 -0.9137 -0.9386 -0.9597 -0.9790 -0.9976
 -1.0163 -1.0354 -1.0551 -1.0754 -1.0962 -1.1510 -1.2113 -1.2810 -1.3566 -1.4365
 -1.5206 -1.6081 -1.6982 -1.7890 -1.8785 -1.9658 -2.0509 -2.1336 -2.2146 -2.2941
 -2.3723
 -0.6487 -0.7019 -0.7527 -0.7991 -0.8407 -0.8771 -0.9087 -0.9361 -0.9605 -0.9831
 -1.0047 -1.0263 -1.0480 -1.0701 -1.0924 -1.1505 -1.2110 -1.2773 -1.3518
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F125W
 -1.1421 -1.1002 -1.0685 -1.0468 -1.0287 -1.0116 -1.0034 -0.9981 -0.9980 -0.9982
 -0.9994 -1.0025 -1.0085 -1.0181 -1.0309 -1.0747 -1.1323 -1.2014 -1.2795
 -1.1283 -1.1345 -1.0928 -1.0638 -1.0446 -1.0300 -1.0223 -1.0182 -1.0171 -1.0167
