 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F098M
 -0.8815 -0.8845 -0.8775 -0.8667 -0.8586 -0.8514 -0.8568 -0.8714 -0.8967 -0.9330
 -0.9793 -1.0333 -1.0928 -1.1553 -1.2182 -1.2803 -1.3415 -1.4020 -1.4622 -1.5234
 -1.5865
 -1.0324 -1.0321 -1.0186 -0.9933 -0.9596 -0.9231 -0.8888 -0.8611 -0.8421 -0.8317
 -0.8288 -0.8323 -0.8398 -0.8451 -0.8470 -0.8475 -0.8541 -0.8695 -0.8949 -0.9310
 -0.9771 -1.0313 -1.0916 -1.1556 -1.2209 -1.2857 -1.3495 -1.4122 -1.4740 -1.5355
 -1.5973
 -0.9362 -0.9504 -0.9528 -0.9446 -0.9271 -0.9030 -0.8762 -0.8502 -0.8284 -0.8126
 -0.8030 -0.7992 -0.8003 -0.8054 -0.8120 -0.8323 -0.8486 -0.8653 -0.8909 -0.9267
 -0.9724 -1.0265 -1.0871 -1.1522 -1.2197 -1.2874 -1.3542 -1.4197 -1.4839 -1.5471
 -1.6091
 -0.8301 -0.8532 -0.8712 -0.8785 -0.8761 -0.8664 -0.8514 -0.8336 -0.8158 -0.8001
 -0.7883 -0.7812 -0.7783 -0.7794 -0.7536 -0.8058 -0.8403 -0.8588 -0.8847
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = F098M
 -1.5060 -1.3796 -1.2759 -1.1927 -1.1072 -1.0397 -0.9923 -0.9574 -0.9235 -0.8941
 -0.8666 -0.8425 -0.8230 -0.8084 -0.7979 -0.7833 -0.7814 -0.7899 -0.8073
 -1.5507 -1.4238 -1.3067 -1.2084 -1.1276 -1.0567 -1.0057 -0.9686 -0.9332 -0.9034
 -0.8768 -0.8541 -0.8360 -0.8226 -0.8130 -0.8009 -0.8006 -0.8106 -0.8306 -0.8603
