 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -3.3132 -2.9199 -2.5907 -2.3190 -2.0968 -1.9151 -1.7635 -1.6412 -1.5359 -1.4078
 -1.2617 -1.1327 -1.0167 -0.9103 -0.8135 -0.6116 -0.4566 -0.3376 -0.2468 -0.1781
 -0.1270 -0.0887 -0.0580 -0.0316 -0.0083  0.0118  0.0289  0.0408  0.0453  0.0413
  0.0307
 -3.4280 -3.0145 -2.6552 -2.3545 -2.1066 -1.9017 -1.7301 -1.5809 -1.4511 -1.3409
 -1.2418 -1.1356 -1.0264 -0.9209 -0.8241 -0.6206 -0.4622 -0.3399 -0.2477 -0.1793
 -0.1299 -0.0947 -0.0685 -0.0467 -0.0276 -0.0104  0.0041  0.0160  0.0239  0.0253
  0.0164
 -3.5668 -3.1339 -2.7538 -2.4239 -2.1483 -1.9208 -1.7317 -1.5708 -1.4294 -1.3032
 -1.1918 -1.0949 -1.0081 -0.9211 -0.8324 -0.6296 -0.4685 -0.3423 -0.2474 -0.1782
 -0.1295 -0.0966 -0.0745 -0.0579 -0.0438 -0.0310 -0.0197 -0.0099 -0.0022  0.0019
 -0.0004
 -3.7238 -3.2810 -2.8862 -2.5341 -2.2296 -1.9747 -1.7638 -1.5874 -1.4366 -1.3037
 -1.1845 -1.0778 -0.9839 -0.9012 -0.8246 -0.6405 -0.4782 -0.3483 -0.2493 -0.1776
 -0.1279 -0.0957 -0.0764 -0.0646 -0.0560 -0.0486 -0.0418 -0.0355 -0.0302 -0.0266
 -0.0260
 -3.8935 -3.4371 -3.0351 -2.6715 -2.3463 -2.0643 -1.8267 -1.6290 -1.4629 -1.3204
 -1.1953 -1.0835 -0.9834 -0.8943 -0.8147 -0.6433 -0.4886 -0.3562 -0.2528 -0.1772
 -0.1252 -0.0922 -0.0740 -0.0656 -0.0622 -0.0605 -0.0594 -0.0580 -0.0566 -0.0556
 -0.0548
 -4.0792 -3.6015 -3.1913 -2.8226 -2.4873 -2.1868 -1.9240 -1.7006 -1.5132 -1.3551
 -1.2195 -1.1010 -0.9959 -0.9020 -0.8179 -0.6420 -0.4958 -0.3655 -0.2584
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  V   
 -3.9306 -3.4678 -3.0774 -2.7589 -2.4804 -2.2259 -2.0100 -1.8130 -1.6423 -1.4904
 -1.3462 -1.2124 -1.0902 -0.9799 -0.8807 -0.6743 -0.5112 -0.3749 -0.2568
 -3.6485 -3.4428 -3.0497 -2.7087 -2.4197 -2.1646 -1.9466 -1.7538 -1.5832 -1.4306
 -1.2878 -1.1558 -1.0352 -0.9265 -0.8293 -0.6305 -0.4768 -0.3511 -0.2446 -0.1543
 -3.3980 -3.3250 -3.0512 -2.7092 -2.4044 -2.1396 -1.9152 -1.7208 -1.5505 -1.3982
 -1.2573 -1.1269 -1.0074 -0.8994 -0.8027 -0.6063 -0.4570 -0.3372 -0.2376 -0.1545
 -0.0868
 -3.2154 -2.9797 -2.9076 -2.7186 -2.4223 -2.1481 -1.9109 -1.7091 -1.5357 -1.3828
 -1.2437 -1.1149 -0.9963 -0.8887 -0.7919 -0.5948 -0.4467 -0.3299 -0.2347 -0.1565
 -0.0935 -0.0427
 -3.2083 -2.8708 -2.6371 -2.5236 -2.4151 -2.1752 -1.9301 -1.7162 -1.5349 -1.3786
 -1.2402 -1.1129 -0.9954 -0.8881 -0.7910 -0.5920 -0.4427 -0.3268 -0.2343 -0.1596
 -0.1003 -0.0531 -0.0142  0.0193
 -3.2688 -2.8821 -2.5793 -2.3531 -2.2007 -2.1030 -1.9525 -1.7423 -1.5491 -1.3845
 -1.2432 -1.1170 -1.0006 -0.8938 -0.7965 -0.5951 -0.4432 -0.3266 -0.2351 -0.1629
