 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -3.0922 -2.8707 -2.6749 -2.4955 -2.3259 -1.9485 -1.6395 -1.3869 -1.1743 -0.9922
 -0.8361 -0.7022 -0.5864 -0.4870 -0.4025 -0.3303 -0.2675 -0.2124 -0.1623 -0.1166
 -0.0802
 -6.1462 -5.5816 -5.0831 -4.6445 -4.2752 -3.9773 -3.7424 -3.5501 -3.3827 -3.2306
 -3.0788 -2.9064 -2.7162 -2.5339 -2.3616 -1.9736 -1.6513 -1.3897 -1.1741 -0.9930
 -0.8399 -0.7101 -0.5997 -0.5057 -0.4267 -0.3602 -0.3033 -0.2537 -0.2098 -0.1710
 -0.1369
 -6.2764 -5.7269 -5.2255 -4.7679 -4.3647 -4.0238 -3.7453 -3.5196 -3.3300 -3.1603
 -3.0031 -2.8555 -2.7107 -2.5589 -2.4015 -2.0144 -1.6791 -1.4062 -1.1842 -1.0012
 -0.8486 -0.7210 -0.6141 -0.5245 -0.4503 -0.3890 -0.3379 -0.2941 -0.2559 -0.2223
 -0.1932
 -6.3915 -5.8620 -5.3692 -4.9098 -4.4890 -4.1176 -3.8015 -3.5394 -3.3229 -3.1383
 -2.9721 -2.8170 -2.6708 -2.5327 -2.3974 -2.0540 -1.7179 -1.4325 -1.2019 -1.0142
 -0.8600 -0.7325 -0.6274 -0.5409 -0.4705 -0.4139 -0.3682 -0.3303 -0.2980 -0.2701
 -0.2444
 -6.4913 -5.9870 -5.4940 -5.0485 -4.6274 -4.2418 -3.8986 -3.6039 -3.3561 -3.1477
 -2.9686 -2.8077 -2.6574 -2.5154 -2.3493 -2.0924 -1.7677 -1.4686 -1.2272
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  B   
 -6.3989 -5.8217 -5.3466 -4.9636 -4.6088 -4.3025 -4.0347 -3.7905 -3.5609 -3.3654
 -3.1803 -3.0066 -2.8446 -2.6942 -2.5546 -2.2446 -1.9620 -1.6976 -1.4493
 -6.4324 -5.8912 -5.3812 -4.9409 -4.5692 -4.2398 -3.9576 -3.7053 -3.4708 -3.2703
 -3.0822 -2.9061 -2.7419 -2.5894 -2.4478 -2.1377 -1.8685 -1.6168 -1.3738 -1.1399
