 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  U   
 -1.0401 -0.8277 -0.6806 -0.5733
 -8.9190 -7.9525 -7.2563 -6.7974 -6.5137 -6.3506 -6.2549 -6.1145 -5.8361 -5.4234
 -5.0189 -4.6819 -4.3685 -4.0729 -3.7931 -3.1553 -2.5852 -2.0780 -1.6428 -1.2815
 -0.9932 -0.7807 -0.6352 -0.5348 -0.4603 -0.4021 -0.3542 -0.3114 -0.2700 -0.2291
 -9.2977 -8.2151 -7.3588 -6.7416 -6.3170 -6.0278 -5.8202 -5.6647 -5.5319 -5.3476
 -5.0496 -4.7010 -4.3817 -4.0792 -3.7921 -3.1386 -2.5607 -2.0512 -1.6154 -1.2541
 -0.9645 -0.7471 -0.5972 -0.4970 -0.4277 -0.3766 -0.3366 -0.3035 -0.2743 -0.2464
 -0.2180
 -9.7697 -8.6313 -7.6540 -6.8815 -6.3143 -5.9104 -5.6169 -5.3844 -5.1845 -5.0095
 -4.8456 -4.6445 -4.3908 -4.1133 -3.8288 -3.1622 -2.5736 -2.0581 -1.6174 -1.2505
 -0.9546 -0.7276 -0.5679 -0.4622 -0.3927 -0.3451 -0.3110 -0.2849 -0.2639 -0.2462
 -0.2301
-10.2874 -9.1106 -8.0772 -7.1880 -6.4829 -5.9515 -5.5598 -5.2626 -5.0176 -4.7972
 -4.5944 -4.4108 -4.2324 -4.0443 -3.8330 -3.2124 -2.6135 -2.0897 -1.6416 -1.2662
 -0.9600 -0.7204 -0.5467 -0.4307 -0.3566 -0.3091 -0.2783 -0.2574 -0.2428 -0.2320
 -0.2237
-10.8040 -9.6681 -8.5918 -7.6279 -6.8128 -6.1580 -5.6518 -5.2660 -4.9649 -4.7130
 -4.4851 -4.2721 -4.0742 -3.8894 -3.7150 -3.2470 -2.6856 -2.1540 -1.6970 -1.3104
 -0.9906 -0.7348 -0.5425 -0.4099 -0.3247 -0.2722 -0.2407 -0.2223 -0.2119 -0.2065
 -0.2041
-11.2568-10.1925 -9.1364 -8.1393 -7.2523 -6.4988 -5.8847 -5.3986 -5.0170 -4.7119
 -4.4554 -4.2249 -4.0091 -3.8045 -3.6130 -3.1853 -2.7392 -2.2365 -1.7718 -1.3736
 -1.0396 -0.7669 -0.5549 -0.4017 -0.3000 -0.2370 -0.2006 -0.1810 -0.1722 -0.1704
 -0.1720
-11.6266-10.6538 -9.6554 -8.6750 -7.7548 -6.9363 -6.2345 -5.6539 -5.1834 -4.8056
 -4.4975 -4.2368 -4.0042 -3.7871 -3.5804 -3.1196 -2.7210 -2.3036 -1.8589
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  U   
-11.1591-10.4543 -9.7765 -9.0011 -8.1201 -7.3633 -6.8696 -6.5052 -6.2228 -5.9737
 -5.7298 -5.4924 -5.2614 -5.0343 -4.8086 -4.2384 -3.6555 -3.0692 -2.4956
-10.0312 -9.7578 -9.2879 -8.7675 -8.0568 -7.2684 -6.6832 -6.2697 -5.9493 -5.6746
 -5.4143 -5.1655 -4.9256 -4.6919 -4.4615 -3.8911 -3.3236 -2.7715 -2.2555 -1.7961
 -9.1965 -9.0108 -8.7209 -8.3898 -7.9541 -7.2954 -6.6296 -6.1318 -5.7650 -5.4621
 -5.1855 -4.9246 -4.6759 -4.4365 -4.2031 -3.6354 -3.0817 -2.5540 -2.0741 -1.6556
 -1.3110
 -8.7020 -8.1971 -8.0590 -7.8973 -7.6504 -7.2739 -6.6950 -6.1103 -5.6713 -5.3300
 -5.0360 -4.7619 -4.5031 -4.2566 -4.0191 -3.4517 -2.9081 -2.3965 -1.9392 -1.5467
 -1.2236 -0.9773
 -8.6714 -7.8817 -7.4346 -7.2691 -7.1870 -7.0058 -6.6898 -6.1936 -5.6764 -5.2760
 -4.9558 -4.6682 -4.3984 -4.1433 -3.8997 -3.3273 -2.7888 -2.2870 -1.8425 -1.4652
 -1.1557 -0.9172 -0.7466 -0.6229
 -8.9024 -7.9135 -7.2365 -6.8242 -6.6125 -6.5239 -6.4119 -6.1672 -5.7672 -5.3059
 -4.9356 -4.6315 -4.3513 -4.0874 -3.8365 -3.2544 -2.7157 -2.2183 -1.7794 -1.4090
 -1.1063 -0.8703 -0.7004 -0.5822 -0.4958 -0.4293 -0.3747 -0.3257 -0.2792 -0.2335
 -9.3395 -8.1901 -7.3165 -6.7128 -6.3206 -6.0758 -5.9273 -5.8223 -5.6639 -5.3751
 -4.9843 -4.6412 -4.3498 -4.0783 -3.8209 -3.2266 -2.6836 -2.1861 -1.7475 -1.3775
 -1.0748 -0.8368 -0.6629 -0.5432 -0.4610 -0.4011 -0.3544 -0.3161 -0.2825 -0.2503
 -0.2172
 -9.8921 -8.6582 -7.6242 -6.8372 -6.2809 -5.8985 -5.6338 -5.4378 -5.2837 -5.1442
 -4.9620 -4.6839 -4.3822 -4.1048 -3.8422 -3.2371 -2.6878 -2.1873 -1.7452 -1.3704
 -1.0621 -0.8176 -0.6350 -0.5089 -0.4250 -0.3679 -0.3272 -0.2962 -0.2712 -0.2497
 -0.2297
-10.4623 -9.2144 -8.0942 -7.1590 -6.4373 -5.9120 -5.5374 -5.2613 -5.0401 -4.8495
 -4.6813 -4.5229 -4.3362 -4.1170 -3.8787 -3.2737 -2.7180 -2.2127 -1.7656 -1.3827
 -1.0651 -0.8100 -0.6158 -0.4791 -0.3891 -0.3311 -0.2933 -0.2672 -0.2485 -0.2345
 -0.2232
-11.0179 -9.8015 -8.6586 -7.6400 -6.7860 -6.1144 -5.6102 -5.2369 -4.9522 -4.7182
 -4.5110 -4.3230 -4.1525 -3.9862 -3.8181 -3.3292 -2.7788 -2.2700 -1.8175 -1.4250
 -1.0944 -0.8247 -0.6145 -0.4618 -0.3596 -0.2950 -0.2556 -0.2318 -0.2173 -0.2085
 -0.2036
-11.5073-10.3600 -9.2369 -8.1887 -7.2594 -6.4764 -5.8461 -5.3581 -4.9846 -4.6926
 -4.4506 -4.2366 -4.0406 -3.8594 -3.6896 -3.2963 -2.8454 -2.3450 -1.8883 -1.4872
 -1.1436 -0.8579 -0.6300 -0.4584 -0.3391 -0.2626 -0.2167 -0.1909 -0.1777 -0.1725
 -0.1712
-11.9017-10.8435 -9.7770 -8.7447 -7.7894 -6.9405 -6.2167 -5.6220 -5.1479 -4.7744
 -4.4756 -4.2272 -4.0091 -3.8093 -3.6222 -3.2107 -2.8380 -2.4201 -1.9721
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  U   
-11.2963-10.4933 -9.6589 -8.7422 -7.8374 -7.1596 -6.7336 -6.4150 -6.1501 -5.9251
 -5.7059 -5.4898 -5.2775 -5.0670 -4.8571 -4.3223 -3.7763 -3.2231 -2.6653
-10.3278 -9.8938 -9.3331 -8.6483 -7.8098 -7.0406 -6.5304 -6.1615 -5.8707 -5.6268
 -5.3953 -5.1721 -4.9551 -4.7418 -4.5294 -3.9966 -3.4569 -2.9239 -2.4201 -1.9598
 -9.5116 -9.2205 -8.8495 -8.4285 -7.8311 -7.0706 -6.4396 -6.0013 -5.6729 -5.4048
 -5.1611 -4.9300 -4.7083 -4.4930 -4.2808 -3.7545 -3.2277 -2.7134 -2.2369 -1.8143
 -1.4542
 -8.8833 -8.4285 -8.2761 -8.0218 -7.6863 -7.1592 -6.4935 -5.9487 -5.5591 -5.2561
