 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  V   
 -1.6244 -1.4272 -1.2522 -1.1007 -0.9700 -0.7070 -0.5082 -0.3643 -0.2631 -0.1896
 -0.1350 -0.0938 -0.0617 -0.0349 -0.0117  0.0083  0.0248  0.0366  0.0419  0.0384
  0.0288
 -4.9329 -4.2777 -3.7078 -3.2322 -2.8458 -2.5308 -2.2666 -2.0359 -1.8299 -1.6509
 -1.4996 -1.3655 -1.2341 -1.1032 -0.9798 -0.7205 -0.5201 -0.3713 -0.2664 -0.1923
 -0.1390 -0.1005 -0.0721 -0.0497 -0.0305 -0.0135  0.0009  0.0126  0.0207  0.0220
  0.0141
 -4.9869 -4.3097 -3.7058 -3.1895 -2.7648 -2.4219 -2.1440 -1.9128 -1.7147 -1.5419
 -1.3926 -1.2669 -1.1614 -1.0661 -0.9701 -0.7316 -0.5315 -0.3787 -0.2692 -0.1931
 -0.1401 -0.1035 -0.0786 -0.0608 -0.0464 -0.0337 -0.0225 -0.0128 -0.0054 -0.0015
 -0.0035
 -5.0351 -4.3766 -3.7608 -3.2219 -2.7679 -2.3983 -2.1014 -1.8609 -1.6621 -1.4934
 -1.3477 -1.2212 -1.1119 -1.0176 -0.9345 -0.7369 -0.5455 -0.3897 -0.2749 -0.1947
 -0.1403 -0.1043 -0.0816 -0.0678 -0.0584 -0.0508 -0.0442 -0.0381 -0.0330 -0.0297
 -0.0293
 -5.0523 -4.4231 -3.8310 -3.2866 -2.8188 -2.4294 -2.1128 -1.8577 -1.6501 -1.4777
 -1.3313 -1.2045 -1.0935 -0.9955 -0.9086 -0.7252 -0.5553 -0.4017 -0.2823 -0.1971
 -0.1395 -0.1026 -0.0808 -0.0697 -0.0649 -0.0627 -0.0614 -0.0602 -0.0590 -0.0583
 -0.0589
 -5.0490 -4.4537 -3.8886 -3.3670 -2.8994 -2.5001 -2.1675 -1.8957 -1.6737 -1.4910
 -1.3377 -1.2066 -1.0923 -0.9914 -0.8924 -0.6965 -0.5609 -0.4147 -0.2914
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  V   
 -6.9091 -6.5310 -6.1926 -5.8894 -5.6294 -5.2707 -4.6590 -3.7716 -2.9337 -2.2990
 -1.8597 -1.5542 -1.3311 -1.1577 -1.0145 -0.7407 -0.5437 -0.3919 -0.2680
 -6.5636 -6.1390 -5.7651 -5.4377 -5.1373 -4.7947 -4.2582 -3.5217 -2.7976 -2.2181
 -1.7996 -1.5019 -1.2830 -1.1127 -0.9723 -0.7027 -0.5114 -0.3693 -0.2567 -0.1636
 -6.3442 -5.8743 -5.4557 -5.0885 -4.7614 -4.4272 -3.9682 -3.3545 -2.7276 -2.1939
 -1.7872 -1.4892 -1.2681 -1.0969 -0.9564 -0.6862 -0.4954 -0.3576 -0.2513 -0.1652
 -0.0953
 -6.1792 -5.6838 -5.2304 -4.8235 -4.4595 -4.1178 -3.7262 -3.2148 -2.6753 -2.1894
 -1.7974 -1.4986 -1.2732 -1.0986 -0.9566 -0.6840 -0.4904 -0.3529 -0.2502 -0.1687
 -0.1031 -0.0503
 -5.8754 -5.4361 -5.0101 -4.6042 -4.2215 -3.8607 -3.5027 -3.0794 -2.6177 -2.1829
 -1.8130 -1.5181 -1.2892 -1.1106 -0.9661 -0.6909 -0.4930 -0.3531 -0.2516 -0.1732
 -0.1109 -0.0614 -0.0209  0.0135
 -5.3781 -4.9299 -4.5636 -4.2463 -3.9404 -3.6227 -3.2879 -2.9314 -2.5430 -2.1616
 -1.8215 -1.5376 -1.3094 -1.1279 -0.9809 -0.7032 -0.5010 -0.3567 -0.2544 -0.1778
 -0.1182 -0.0715 -0.0341 -0.0030  0.0233  0.0448  0.0606  0.0688  0.0694  0.0643
 -5.1347 -4.5914 -4.1410 -3.7764 -3.4744 -3.2095 -2.9591 -2.6959 -2.4054 -2.1011
 -1.8085 -1.5481 -1.3278 -1.1468 -0.9980 -0.7179 -0.5129 -0.3633 -0.2582 -0.1820
 -0.1244 -0.0802 -0.0460 -0.0181  0.0054  0.0252  0.0411  0.0518  0.0558  0.0517
  0.0416
 -5.0887 -4.4797 -3.9540 -3.5168 -3.1597 -2.8620 -2.6013 -2.3591 -2.1267 -1.9100
 -1.7079 -1.5141 -1.3290 -1.1611 -1.0151 -0.7340 -0.5272 -0.3727 -0.2631 -0.1855
 -0.1289 -0.0869 -0.0556 -0.0314 -0.0116  0.0052  0.0190  0.0299  0.0364  0.0364
  0.0278
 -5.1425 -4.4962 -3.9169 -3.4203 -3.0084 -2.6705 -2.3892 -2.1447 -1.9225 -1.7196
 -1.5413 -1.3906 -1.2602 -1.1381 -1.0174 -0.7479 -0.5405 -0.3825 -0.2679 -0.1876
 -0.1308 -0.0905 -0.0619 -0.0415 -0.0259 -0.0131 -0.0025  0.0062  0.0124  0.0149
  0.0113
 -5.2327 -4.5783 -3.9715 -3.4341 -2.9764 -2.5989 -2.2903 -2.0345 -1.8163 -1.6244
 -1.4546 -1.3069 -1.1818 -1.0761 -0.9824 -0.7594 -0.5565 -0.3959 -0.2760 -0.1911
 -0.1325 -0.0924 -0.0656 -0.0483 -0.0369 -0.0287 -0.0223 -0.0171 -0.0132 -0.0114
 -0.0126
 -5.2923 -4.6591 -4.0555 -3.4997 -3.0143 -2.6044 -2.2678 -1.9936 -1.7674 -1.5771
 -1.4129 -1.2700 -1.1453 -1.0376 -0.9444 -0.7503 -0.5700 -0.4100 -0.2858 -0.1957
 -0.1336 -0.0924 -0.0662 -0.0510 -0.0432 -0.0396 -0.0381 -0.0374 -0.0373 -0.0380
 -0.0401
 -5.3219 -4.7153 -4.1325 -3.5873 -3.0916 -2.6631 -2.3035 -2.0081 -1.7668 -1.5679
 -1.4009 -1.2579 -1.1336 -1.0247 -0.9034 -0.7206 -0.5810 -0.4248 -0.2973
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  V   
 -7.0027 -6.6608 -6.3646 -6.1128 -5.8782 -5.5653 -4.9763 -4.0505 -3.1530 -2.4352
 -1.9353 -1.5917 -1.3464 -1.1593 -1.0102 -0.7297 -0.5311 -0.3800 -0.2577
 -6.6637 -6.2790 -5.9510 -5.6781 -5.4353 -5.1447 -4.6229 -3.8425 -3.0386 -2.3717
 -1.8894 -1.5506 -1.3069 -1.1225 -0.9745 -0.6972 -0.5023 -0.3586 -0.2460 -0.1526
 -6.4494 -6.0180 -5.6442 -5.3295 -5.0613 -4.7829 -4.3496 -3.7013 -2.9944 -2.3703
