 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  R   
  0.2547  0.2629  0.2629  0.2572  0.2473  0.2335  0.2150  0.1899  0.1593  0.1284
 -2.7580 -2.5419 -2.3637 -2.2173 -2.0895 -1.9658 -1.8316 -1.6771 -1.4906 -1.2588
 -1.0092 -0.7695 -0.5572 -0.3818 -0.2443 -0.0354  0.0758  0.1496  0.1996  0.2309
  0.2484  0.2555  0.2542  0.2472  0.2364  0.2227  0.2057  0.1850  0.1584  0.1258
  0.0925
 -2.7002 -2.4427 -2.2135 -2.0198 -1.8602 -1.7253 -1.6015 -1.4747 -1.3250 -1.1498
 -0.9573 -0.7599 -0.5712 -0.4035 -0.2637 -0.0394  0.0759  0.1487  0.1976  0.2283
  0.2447  0.2504  0.2476  0.2385  0.2258  0.2109  0.1938  0.1746  0.1517  0.1236
  0.0890
 -2.7100 -2.4313 -2.1693 -1.9328 -1.7283 -1.5558 -1.4066 -1.2681 -1.1259 -0.9695
 -0.8083 -0.6560 -0.5164 -0.3874 -0.2686 -0.0429  0.0785  0.1511  0.1989  0.2287
  0.2440  0.2481  0.2434  0.2320  0.2167  0.1994  0.1807  0.1598  0.1368  0.1117
  0.0850
 -2.7585 -2.4717 -2.1945 -1.9312 -1.6910 -1.4796 -1.2973 -1.1371 -0.9888 -0.8421
 -0.6936 -0.5510 -0.4241 -0.3171 -0.2268 -0.0446  0.0811  0.1551  0.2022  0.2314
  0.2460  0.2488  0.2424  0.2289  0.2107  0.1903  0.1690  0.1473  0.1248  0.1006
  0.0747
 -2.8102 -2.5261 -2.2448 -1.9714 -1.7101 -1.4703 -1.2571 -1.0715 -0.9084 -0.7606
 -0.6221 -0.4909 -0.3705 -0.2655 -0.1780 -0.0230  0.0862  0.1613  0.2083  0.2368
  0.2509  0.2529  0.2452  0.2297  0.2088  0.1850  0.1602  0.1354  0.1107  0.0857
  0.0581
 -2.8601 -2.5745 -2.2958 -2.0208 -1.7511 -1.4968 -1.2630 -1.0556 -0.8753 -0.7184
 -0.5798 -0.4551 -0.3424 -0.2419 -0.1222  0.0219  0.0938  0.1697  0.2172
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  R   
 -4.0197 -3.9318 -3.9142 -3.8927 -3.7942 -3.5602 -3.1436 -2.5657 -2.0110 -1.4889
 -1.0533 -0.7305 -0.5012 -0.3386 -0.2204 -0.0257  0.1031  0.1951  0.2609
 -3.7699 -3.6584 -3.5591 -3.4691 -3.3717 -3.2221 -2.9488 -2.4676 -1.9514 -1.4592
 -1.0402 -0.7203 -0.4895 -0.3255 -0.2070 -0.0176  0.1044  0.1907  0.2508  0.2908
 -3.5685 -3.4286 -3.3053 -3.1968 -3.0941 -2.9696 -2.7610 -2.3807 -1.9269 -1.4710
 -1.0659 -0.7435 -0.5037 -0.3315 -0.2079 -0.0168  0.1018  0.1847  0.2415  0.2790
  0.3016
 -3.4116 -3.2458 -3.0967 -2.9647 -2.8476 -2.7319 -2.5762 -2.2892 -1.9054 -1.4940
 -1.1078 -0.7845 -0.5347 -0.3508 -0.2181 -0.0196  0.0974  0.1782  0.2330  0.2687
  0.2904  0.3009
 -3.2848 -3.1004 -2.9314 -2.7775 -2.6396 -2.5150 -2.3853 -2.1790 -1.8688 -1.5088
 -1.1499 -0.8325 -0.5756 -0.3797 -0.2358 -0.0243  0.0927  0.1720  0.2257  0.2601
  0.2809  0.2911  0.2926  0.2882
 -3.0889 -2.9554 -2.7847 -2.6232 -2.4723 -2.3319 -2.1995 -2.0457 -1.8070 -1.5037
 -1.1808 -0.8780 -0.6202 -0.4151 -0.2599 -0.0304  0.0886  0.1667  0.2197  0.2533
  0.2731  0.2827  0.2838  0.2784  0.2684  0.2533  0.2327  0.2058  0.1741  0.1423
 -2.8838 -2.7101 -2.5669 -2.4365 -2.3071 -2.1745 -2.0378 -1.8966 -1.7168 -1.4721
 -1.1922 -0.9133 -0.6626 -0.4535 -0.2888 -0.0381  0.0857  0.1630  0.2153  0.2484
  0.2673  0.2758  0.2762  0.2699  0.2588  0.2442  0.2261  0.2031  0.1743  0.1407
  0.1065
 -2.7619 -2.5303 -2.3351 -2.1790 -2.0540 -1.9470 -1.8437 -1.7285 -1.5847 -1.3992
 -1.1725 -0.9291 -0.6960 -0.4902 -0.3202 -0.0480  0.0841  0.1615  0.2128  0.2456
  0.2636  0.2710  0.2701  0.2624  0.2499  0.2343  0.2158  0.1948  0.1699  0.1396
  0.1039
 -2.7405 -2.4758 -2.2355 -2.0278 -1.8571 -1.7191 -1.6024 -1.4945 -1.3748 -1.2275
 -1.0561 -0.8725 -0.6863 -0.5070 -0.3453 -0.0591  0.0844  0.1630  0.2134  0.2454
  0.2626  0.2686  0.2661  0.2568  0.2423  0.2247  0.2049  0.1837  0.1600  0.1327
  0.1010
 -2.7799 -2.4984 -2.2346 -1.9900 -1.7750 -1.5931 -1.4411 -1.3090 -1.1832 -1.0488
 -0.8978 -0.7407 -0.5911 -0.4545 -0.3304 -0.0736  0.0831  0.1657  0.2159  0.2472
  0.2639  0.2689  0.2649  0.2538  0.2373  0.2172  0.1951  0.1718  0.1474  0.1220
  0.0930
 -2.8435 -2.5600 -2.2836 -2.0193 -1.7741 -1.5551 -1.3652 -1.2019 -1.0572 -0.9206
 -0.7821 -0.6402 -0.5024 -0.3776 -0.2700 -0.0646  0.0813  0.1699  0.2209  0.2517
  0.2679  0.2721  0.2668  0.2541  0.2355  0.2128  0.1878  0.1618  0.1354  0.1083
  0.0800
 -2.9114 -2.6267 -2.3487 -2.0761 -1.8161 -1.5734 -1.3540 -1.1608 -0.9924 -0.8432
 -0.7056 -0.5746 -0.4489 -0.3322 -0.1641 -0.0321  0.0790  0.1756  0.2284
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  R   
 -4.0914 -4.0376 -4.0512 -4.0457 -3.9496 -3.7072 -3.2930 -2.6709 -2.1422 -1.6291
 -1.1674 -0.8092 -0.5496 -0.3637 -0.2296 -0.0171  0.1155  0.2083  0.2745
 -3.8473 -3.7690 -3.7089 -3.6596 -3.5985 -3.4748 -3.1871 -2.6459 -2.1101 -1.6068
 -1.1606 -0.8067 -0.5449 -0.3563 -0.2202 -0.0104  0.1167  0.2047  0.2656  0.3064
 -3.6501 -3.5414 -3.4529 -3.3820 -3.3149 -3.2154 -3.0099 -2.6025 -2.1075 -1.6286
 -1.1960 -0.8403 -0.5688 -0.3703 -0.2267 -0.0110  0.1140  0.1991  0.2573  0.2957
  0.3194
 -3.4947 -3.3556 -3.2353 -3.1353 -3.0511 -2.9621 -2.8177 -2.5224 -2.1070 -1.6654
 -1.2490 -0.8934 -0.6110 -0.3994 -0.2445 -0.0159  0.1093  0.1929  0.2496  0.2864
  0.3091  0.3207
 -3.3736 -3.2090 -3.0607 -2.9305 -2.8197 -2.7223 -2.6114 -2.4095 -2.0843 -1.6953
 -1.3055 -0.9542 -0.6643 -0.4396 -0.2716 -0.0238  0.1040  0.1867  0.2427  0.2786
  0.3003  0.3115  0.3139  0.3089
 -3.2555 -3.0805 -2.9169 -2.7664 -2.6311 -2.5121 -2.4031 -2.2629 -2.0240 -1.7013
 -1.3489 -1.0131 -0.7222 -0.4873 -0.3062 -0.0345  0.0989  0.1812  0.2367  0.2722
  0.2930  0.3035  0.3057  0.3010  0.2905  0.2749  0.2533  0.2239  0.1912  0.1579
