 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = UX   
 -3.6335 -3.4680 -3.3155 -3.1695 -3.0260 -2.6600 -2.2313 -1.7891 -1.4144 -1.1042
 -0.8460 -0.6349 -0.4691 -0.3451 -0.2587 -0.2036 -0.1718 -0.1557 -0.1495 -0.1497
 -0.1522
 -8.8451 -7.9115 -7.1528 -6.4817 -5.8944 -5.3904 -4.9597 -4.5903 -4.2724 -3.9972
 -3.7577 -3.5472 -3.3589 -3.1861 -2.9749 -2.6286 -2.3044 -1.8663 -1.4750
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value = UX   
 -6.2850 -6.3147 -6.3289 -6.3273 -6.3032 -6.2527 -6.1733 -6.0633 -5.9254 -5.7742
 -5.6139 -5.4402 -5.2478 -5.0316 -4.7926 -4.1438 -3.4981 -2.8976 -2.3398
 -5.7313 -5.7607 -5.7790 -5.7830 -5.7694 -5.7350 -5.6759 -5.5859 -5.4691 -5.3317
 -5.1771 -5.0038 -4.8093 -4.5912 -4.3520 -3.7202 -3.1106 -2.5611 -2.0866 -1.6879
 -5.2473 -5.2740 -5.2929 -5.3005 -5.2936 -5.2695 -5.2249 -5.1549 -5.0586 -4.9384
 -4.7963 -4.6327 -4.4466 -4.2373 -4.0080 -3.4044 -2.8305 -2.3199 -1.8851 -1.5270
 -1.2382
 -4.8554 -4.8707 -4.8848 -4.8924 -4.8892 -4.8721 -4.8383 -4.7836 -4.7050 -4.6022
 -4.4760 -4.3267 -4.1541 -3.9583 -3.7421 -3.1681 -2.6249 -2.1440 -1.7353 -1.4016
 -1.1354 -0.9268
 -4.6007 -4.5743 -4.5668 -4.5648 -4.5595 -4.5453 -4.5181 -4.4743 -4.4100 -4.3232
 -4.2132 -4.0801 -3.9234 -3.7430 -3.5410 -2.9933 -2.4733 -2.0157 -1.6254 -1.3065
 -1.0536 -0.8567 -0.7075 -0.5954
 -4.6616 -4.5049 -4.4036 -4.3443 -4.3122 -4.2900 -4.2634 -4.2251 -4.1708 -4.0971
 -4.0022 -3.8851 -3.7450 -3.5811 -3.3943 -2.8705 -2.3655 -1.9242 -1.5477 -1.2370
 -0.9906 -0.7994 -0.6551 -0.5492 -0.4712 -0.4108 -0.3609 -0.3166 -0.2740 -0.2311
 -4.9612 -4.7038 -4.4941 -4.3337 -4.2171 -4.1356 -4.0800 -4.0381 -3.9870 -3.9208
 -3.8368 -3.7336 -3.6093 -3.4624 -3.2918 -2.7935 -2.2966 -1.8644 -1.4967 -1.1903
 -0.9451 -0.7546 -0.6107 -0.5058 -0.4316 -0.3778 -0.3367 -0.3027 -0.2729 -0.2436
 -0.2122
 -5.3118 -4.9919 -4.7131 -4.4764 -4.2823 -4.1273 -4.0058 -3.9151 -3.8532 -3.7945
 -3.7202 -3.6256 -3.5113 -3.3780 -3.2237 -2.7553 -2.2637 -1.8333 -1.4694 -1.1640
 -0.9157 -0.7214 -0.5741 -0.4666 -0.3920 -0.3410 -0.3054 -0.2786 -0.2572 -0.2388
 -0.2208
 -5.7351 -5.3396 -4.9961 -4.6972 -4.4398 -4.2228 -4.0432 -3.8960 -3.7794 -3.6908
 -3.6141 -3.5347 -3.4405 -3.3229 -3.1813 -2.7452 -2.2599 -1.8260 -1.4601 -1.1526
 -0.8988 -0.6975 -0.5437 -0.4306 -0.3523 -0.3010 -0.2681 -0.2443 -0.2272 -0.2162
 -0.2106
 -6.3319 -5.8193 -5.3837 -5.0094 -4.6865 -4.4085 -4.1715 -3.9720 -3.8062 -3.6701
 -3.5565 -3.4547 -3.3554 -3.2521 -3.1367 -2.7577 -2.2896 -1.8502 -1.4780 -1.1648
 -0.9030 -0.6911 -0.5266 -0.4040 -0.3177 -0.2614 -0.2272 -0.2073 -0.1962 -0.1898
 -0.1871
 -7.1842 -6.5169 -5.9447 -5.4601 -5.0471 -4.6945 -4.3929 -4.1352 -3.9162 -3.7314
 -3.5746 -3.4380 -3.3127 -3.1917 -3.0710 -2.7474 -2.3373 -1.8970 -1.5156 -1.1942
 -0.9236 -0.6998 -0.5224 -0.3873 -0.2897 -0.2244 -0.1849 -0.1632 -0.1532 -0.1505
 -0.1503
 -8.2738 -7.4586 -6.7391 -6.1135 -5.5757 -5.1196 -4.7318 -4.4013 -4.1190 -3.8773
 -3.6699 -3.4901 -3.3304 -3.1836 -2.9842 -2.7143 -2.4030 -1.9664 -1.5729
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value = UX   
 -6.4062 -6.4295 -6.4385 -6.4268 -6.3876 -6.3158 -6.2073 -6.0672 -5.9235 -5.7800
 -5.6365 -5.4890 -5.3311 -5.1539 -4.9516 -4.3566 -3.7096 -3.0929 -2.5151
 -5.8472 -5.8750 -5.8864 -5.8818 -5.8567 -5.8084 -5.7332 -5.6261 -5.4999 -5.3673
 -5.2289 -5.0821 -4.9217 -4.7416 -4.5372 -3.9492 -3.3331 -2.7575 -2.2582 -1.8384
 -5.3511 -5.3792 -5.3961 -5.3991 -5.3854 -5.3526 -5.2981 -5.2172 -5.1130 -4.9947
 -4.8661 -4.7259 -4.5709 -4.3970 -4.2009 -3.6398 -3.0578 -2.5184 -2.0541 -1.6712
 -1.3620
 -4.9343 -4.9583 -4.9759 -4.9834 -4.9777 -4.9564 -4.9173 -4.8567 -4.7728 -4.6701
 -4.5530 -4.4223 -4.2762 -4.1121 -3.9274 -3.3986 -2.8504 -2.3423 -1.9028 -1.5422
 -1.2545 -1.0264
 -4.6173 -4.6226 -4.6318 -4.6377 -4.6352 -4.6210 -4.5925 -4.5469 -4.4804 -4.3935
 -4.2889 -4.1691 -4.0333 -3.8799 -3.7073 -3.2090 -2.6900 -2.2096 -1.7905 -1.4440
 -1.1687 -0.9523 -0.7844 -0.6556
 -4.5523 -4.4245 -4.3864 -4.3702 -4.3603 -4.3466 -4.3233 -4.2870 -4.2341 -4.1618
 -4.0706 -3.9624 -3.8378 -3.6956 -3.5347 -3.0640 -2.5673 -2.1097 -1.7083 -1.3716
 -1.1023 -0.8914 -0.7287 -0.6056 -0.5130 -0.4418 -0.3840 -0.3333 -0.2849 -0.2368
 -4.7304 -4.5186 -4.3641 -4.2571 -4.1857 -4.1411 -4.1107 -4.0772 -4.0322 -3.9715
 -3.8930 -3.7970 -3.6842 -3.5539 -3.4051 -2.9611 -2.4804 -2.0379 -1.6506 -1.3213
 -1.0536 -0.8433 -0.6815 -0.5597 -0.4708 -0.4061 -0.3568 -0.3170 -0.2823 -0.2484
 -0.2127
 -5.0691 -4.7820 -4.5378 -4.3396 -4.1855 -4.0686 -3.9817 -3.9190 -3.8736 -3.8204
 -3.7518 -3.6670 -3.5659 -3.4478 -3.3116 -2.8960 -2.4284 -1.9935 -1.6149 -1.2903
 -1.0214 -0.8078 -0.6431 -0.5192 -0.4297 -0.3673 -0.3235 -0.2908 -0.2649 -0.2427
 -0.2208
 -5.4545 -5.1014 -4.7927 -4.5263 -4.3018 -4.1175 -3.9680 -3.8470 -3.7561 -3.6922
 -3.6324 -3.5621 -3.4750 -3.3694 -3.2455 -2.8598 -2.4059 -1.9730 -1.5963 -1.2732
 -1.0014 -0.7819 -0.6113 -0.4826 -0.3896 -0.3262 -0.2846 -0.2565 -0.2370 -0.2224
 -0.2102
 -5.9636 -5.5180 -5.1316 -4.7979 -4.5093 -4.2628 -4.0556 -3.8830 -3.7406 -3.6270
 -3.5378 -3.4591 -3.3804 -3.2937 -3.1913 -2.8500 -2.4167 -1.9848 -1.6052 -1.2794
 -1.0024 -0.7741 -0.5940 -0.4568 -0.3564 -0.2876 -0.2438 -0.2173 -0.2015 -0.1918
 -0.1858
 -6.6998 -6.1106 -5.6097 -5.1828 -4.8170 -4.5027 -4.2339 -4.0057 -3.8137 -3.6538
 -3.5216 -3.4097 -3.3089 -3.2117 -3.1131 -2.8302 -2.4475 -2.0196 -1.6349 -1.3034
 -1.0198 -0.7817 -0.5898 -0.4412 -0.3306 -0.2530 -0.2030 -0.1737 -0.1585 -0.1520
 -0.1476
 -7.7081 -6.9657 -6.3109 -5.7489 -5.2727 -4.8673 -4.5217 -4.2273 -3.9768 -3.7645
 -3.5852 -3.4326 -3.2991 -3.1769 -3.0109 -2.8004 -2.4983 -2.0774 -1.6854
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value = UX   
 -6.5732 -6.5895 -6.5762 -6.5319 -6.4579 -6.3547 -6.2305 -6.0697 -5.9350 -5.8017
 -5.6722 -5.5457 -5.4170 -5.2770 -5.1165 -4.6007 -3.9726 -3.3353 -2.7256
 -6.0118 -6.0336 -6.0377 -6.0200 -5.9776 -5.9079 -5.8077 -5.6745 -5.5407 -5.4120
 -5.2875 -5.1629 -5.0324 -4.8893 -4.7254 -4.2103 -3.6052 -3.0026 -2.4692 -2.0202
