 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -1.3684 -1.0714 -0.8371 -0.6583 -0.5146 -0.3940 -0.2885 -0.1919 -0.1037 -0.0307
 -9.3591 -8.1843 -7.2774 -6.6443 -6.2287 -5.9684 -5.8101 -5.6983 -5.5348 -5.2543
 -4.9083 -4.6126 -4.3599 -4.1234 -3.8976 -3.3724 -2.8938 -2.4555 -2.0582 -1.6990
 -1.3741 -1.0883 -0.8580 -0.6833 -0.5477 -0.4365 -0.3419 -0.2595 -0.1862 -0.1204
 -0.0644
 -9.9350 -8.7054 -7.6444 -6.8302 -6.2501 -5.8493 -5.5741 -5.3746 -5.2221 -5.0877
 -4.9161 -4.6657 -4.4013 -4.1582 -3.9267 -3.3872 -2.8972 -2.4552 -2.0611 -1.7094
 -1.3942 -1.1171 -0.8892 -0.7158 -0.5845 -0.4803 -0.3944 -0.3212 -0.2584 -0.2046
 -0.1586
-10.4746 -9.2805 -8.1582 -7.2036 -6.4640 -5.9229 -5.5360 -5.2544 -5.0355 -4.8534
 -4.6972 -4.5523 -4.3831 -4.1871 -3.9748 -3.4299 -2.9266 -2.4760 -2.0811 -1.7324
 -1.4224 -1.1507 -0.9250 -0.7514 -0.6222 -0.5233 -0.4445 -0.3789 -0.3239 -0.2782
 -0.2407
-10.9508 -9.8403 -8.7335 -7.7159 -6.8533 -6.1739 -5.6626 -5.2835 -4.9978 -4.7693
 -4.5736 -4.4007 -4.2451 -4.0925 -3.9397 -3.4941 -2.9884 -2.5271 -2.1262 -1.7760
 -1.4666 -1.1959 -0.9698 -0.7935 -0.6633 -0.5670 -0.4935 -0.4349 -0.3872 -0.3462
 -0.3162
-11.3315-10.3341 -9.2843 -8.2650 -7.3439 -6.5632 -5.9346 -5.4476 -5.0749 -4.7858
 -4.5511 -4.3492 -4.1679 -4.0006 -3.8436 -3.4781 -3.0591 -2.5978 -2.1876 -1.8319
 -1.5197 -1.2467 -1.0176 -0.8372 -0.7036 -0.6074 -0.5372 -0.4841 -0.4428 -0.4103
 -0.3832
-11.6079-10.7311 -9.7687 -8.7913 -7.8637 -7.0308 -6.3184 -5.7335 -5.2676 -4.9008
 -4.6089 -4.3693 -4.1628 -3.9761 -3.8015 -3.4150 -3.0615 -2.6726 -2.2637
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F390M
-10.9599-10.1060 -9.1898 -8.3058 -7.5412 -6.9865 -6.6308 -6.3560 -6.1172 -5.9187
 -5.7240 -5.5311 -5.3420 -5.1558 -4.9722 -4.5145 -4.0358 -3.5348 -3.0162
-10.0678 -9.6188 -8.9889 -8.2244 -7.4424 -6.8027 -6.3813 -6.0693 -5.8132 -5.5995
 -5.3949 -5.1961 -5.0026 -4.8133 -4.6267 -4.1681 -3.7086 -3.2361 -2.7449 -2.2407
 -9.3118 -9.0066 -8.6069 -8.1156 -7.4536 -6.7606 -6.2358 -5.8704 -5.5892 -5.3549
 -5.1414 -4.9369 -4.7398 -4.5484 -4.3610 -3.9043 -3.4536 -3.0004 -2.5438 -2.0921
 -1.6608
 -8.7308 -8.2514 -8.0842 -7.8017 -7.4048 -6.8308 -6.2294 -5.7744 -5.4470 -5.1859
 -4.9612 -4.7497 -4.5478 -4.3530 -4.1638 -3.7079 -3.2646 -2.8269 -2.3971 -1.9828
 -1.5899 -1.2360
 -8.5191 -7.7556 -7.4193 -7.3169 -7.1267 -6.8079 -6.3242 -5.8021 -5.3958 -5.0946
 -4.8499 -4.6294 -4.4208 -4.2212 -4.0284 -3.5693 -3.1297 -2.7034 -2.2935 -1.9062
 -1.5431 -1.2125 -0.9379 -0.7234
 -8.8011 -7.7786 -7.1157 -6.7649 -6.6394 -6.5310 -6.2919 -5.9050 -5.4542 -5.0846
 -4.8024 -4.5687 -4.3525 -4.1469 -3.9492 -3.4823 -3.0420 -2.6222 -2.2258 -1.8575
 -1.5167 -1.2057 -0.9411 -0.7341 -0.5718 -0.4381 -0.3221 -0.2166 -0.1213 -0.0419
 -9.3358 -8.1029 -7.2031 -6.6078 -6.2501 -6.0647 -5.9671 -5.8210 -5.5416 -5.1696
 -4.8271 -4.5607 -4.3343 -4.1221 -3.9193 -3.4421 -2.9969 -2.5785 -2.1901 -1.8340
 -1.5085 -1.2128 -0.9572 -0.7542 -0.5983 -0.4740 -0.3701 -0.2806 -0.2012 -0.1298
 -0.0688
 -9.9795 -8.6609 -7.5558 -6.7503 -6.2005 -5.8416 -5.6133 -5.4666 -5.3499 -5.1841
 -4.9203 -4.6121 -4.3585 -4.1384 -3.9300 -3.4424 -2.9893 -2.5678 -2.1824 -1.8332
 -1.5169 -1.2322 -0.9840 -0.7836 -0.6308 -0.5128 -0.4178 -0.3381 -0.2704 -0.2126
 -0.1621
-10.7771 -9.3185 -8.1055 -7.1142 -6.3825 -5.8663 -5.5097 -5.2599 -5.0751 -4.9294
 -4.7966 -4.6365 -4.4121 -4.1822 -3.9688 -3.4718 -3.0096 -2.5814 -2.1942 -1.8476
 -1.5364 -1.2578 -1.0155 -0.8175 -0.6663 -0.5524 -0.4640 -0.3925 -0.3329 -0.2835
 -0.2435
-11.2604 -9.9513 -8.7555 -7.6628 -6.7689 -6.0926 -5.6003 -5.2449 -4.9835 -4.7791
 -4.6095 -4.4632 -4.3276 -4.1720 -4.0013 -3.5308 -3.0618 -2.6262 -2.2339 -1.8857
 -1.5749 -1.2980 -1.0578 -0.8599 -0.7078 -0.5950 -0.5107 -0.4453 -0.3930 -0.3507
 -0.3165
-11.4613-10.4275 -9.3648 -8.2775 -7.2957 -6.4861 -5.8564 -5.3828 -5.0290 -4.7597
 -4.5450 -4.3637 -4.2051 -4.0619 -3.9198 -3.5619 -3.1319 -2.6905 -2.2914 -1.9385
 -1.6251 -1.3466 -1.1050 -0.9053 -0.7505 -0.6365 -0.5541 -0.4931 -0.4467 -0.4108
 -0.3817
-11.3796-10.7471 -9.8133 -8.8376 -7.8637 -6.9880 -6.2498 -5.6612 -5.2045 -4.8521
 -4.5772 -4.3551 -4.1668 -4.0007 -3.7243 -3.5651 -3.2199 -2.7743 -2.3667
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = F390M
-11.1847 -9.9623 -8.9326 -8.0770 -7.3626 -6.8790 -6.5588 -6.3197 -6.1065 -5.9306
 -5.7551 -5.5800 -5.4064 -5.2345 -5.0639 -4.6362 -4.1901 -3.7251 -3.2454
-10.3618 -9.6796 -8.8750 -7.9960 -7.2401 -6.6661 -6.2858 -6.0175 -5.7907 -5.6039
 -5.4224 -5.2445 -5.0694 -4.8965 -4.7245 -4.2969 -3.8653 -3.4214 -2.9592 -2.4768
 -9.3701 -9.1823 -8.6768 -8.0142 -7.2536 -6.5875 -6.1159 -5.7955 -5.5468 -5.3436
